     code  logKa    score
1    4llx   2.89  0.86674
2    5c28   5.66  0.80172
3    3uuo   7.96  0.85251
4    3ui7   9.00  0.98680
5    5c2h  11.09  0.97162
6    2v00   3.66  0.58844
7    3wz8   5.82  0.91052
8    3pww   7.32  0.37198
9    3prs   7.82  0.99249
10   3uri   9.00  0.91547
11   4m0z   5.19  0.86459
12   4m0y   6.46  0.95869
13   3qgy   7.80  0.96427
14   4qd6   8.64  0.79202
15   4rfm  10.05  0.84808
16   4cr9   4.10  0.98080
17   4cra   7.22  0.98344
18   4x6p   8.30  0.99212
19   4crc   8.72  0.99408
20   4ty7   9.52  0.97387
21   5aba   2.98  0.84818
22   5a7b   3.57  0.79344
23   4agn   3.97  0.91291
24   4agp   4.69  0.87010
25   4agq   5.01  0.91175
26   3bgz   6.26  0.96042
27   3jya   6.89  0.93622
28   2c3i   7.60  0.97569
29   4k18   8.96  0.99364
30   5dwr  11.22  0.99517
31   3mss   4.66  0.68747
32   3k5v   6.30  0.88343
33   3pyy   6.86  0.79249
34   2v7a   8.30  0.99785
35   4twp  10.00  0.96735
36   3wtj   6.53  0.99599
37   3zdg   7.10  0.96888
38   3u8k   8.66  0.98429
39   4qac   9.40  0.93114
40   3u8n  10.17  0.98742
41   1a30   4.30  0.73226
42   2qnq   6.11  0.98378
43   1g2k   7.96  0.99324
44   1eby   9.70  0.98519
45   3o9i  11.82  0.99810
46   4lzs   4.80  0.95427
47   3u5j   5.61  0.82417
48   4wiv   6.26  0.90766
49   4ogj   6.79  0.78226
50   3p5o   7.30  0.96004
51   1ps3   2.28  0.98228
52   3dx1   3.58  0.99118
53   3d4z   4.89  0.97226
54   3dx2   6.82  0.99770
55   3ejr   8.57  0.98941
56   3l7b   2.40  0.90850
57   4eky   3.52  0.97136
58   3g2n   4.09  0.99472
59   3syr   5.10  0.98897
60   3ebp   5.91  0.35447
61   2w66   4.05  0.97031
62   2w4x   4.85  0.97600
63   2wca   5.60  0.99275
64   2xj7   6.66  0.95612
65   2vvn   7.30  0.99592
66   3aru   3.22  0.95208
67   3arv   5.64  0.96763
68   3ary   6.00  0.94948
69   3arq   6.40  0.89702
70   3arp   7.15  0.19041
71   4ih5   4.11  0.46653
72   4ih7   5.24  0.97121
73   3cj4   6.51  0.97262
74   4eo8   8.15  0.96947
75   3gnw   9.10  0.99312
76   1gpk   5.37  0.81363
77   1gpn   6.48  0.80731
78   1h23   8.35  0.99082
79   1h22   9.10  0.99534
80   1e66   9.89  0.91880
81   3f3a   4.19  0.88084
82   3f3c   6.02  0.92099
83   4mme   6.50  0.97611
84   3f3d   7.16  0.96721
85   3f3e   7.70  0.93874
86   2wbg   4.45  0.99540
87   2cbv   5.48  0.95548
88   2j78   6.42  0.99367
89   2j7h   7.19  0.98323
90   2cet   8.02  0.98942
91   3udh   2.85  0.99525
92   3rsx   4.41  0.94138
93   4djv   6.72  0.99963
94   2vkm   8.74  0.98216
95   4gid  10.77  0.99463
96   4jfs   5.27  0.94547
97   4j28   5.70  0.97994
98   2wvt   6.12  0.96493
99   2xii   7.20  0.97476
100  4pcs   7.85  0.96708
101  3rr4   4.55  0.94593
102  1s38   5.15  0.98908
103  1r5y   6.46  0.98622
104  3gc5   7.26  0.99687
105  3ge7   8.70  0.99263
106  4dli   5.62  0.78201
107  2zb1   6.32  0.86729
108  4f9w   6.94  0.98871
109  3e92   8.00  0.96179
110  3e93   8.85  0.93193
111  4owm   2.96  0.86198
112  3twp   3.92  0.77420
113  3r88   4.82  0.92335
114  4gkm   5.17  0.98882
115  3qqs   5.82  0.98511
116  3gv9   2.12  0.93881
117  3gr2   2.52  0.45899
118  4kz6   3.10  0.97930
119  4jxs   4.74  0.98074
120  2r9w   5.10  0.93913
121  2hb1   3.80  0.85403
122  1bzc   4.92  0.93458
123  2qbr   6.33  0.96533
124  2qbq   7.44  0.91195
125  2qbp   8.40  0.88551
126  1q8t   4.76  0.78374
127  1ydr   5.52  0.98876
128  1q8u   5.96  0.98869
129  1ydt   7.32  0.99575
130  3ag9   8.05  0.94017
131  3fcq   2.77  0.80402
132  1z9g   5.64  0.97693
133  1qf1   7.32  0.99739
134  5tmn   8.04  0.98512
135  4tmn  10.17  0.97768
136  4ddk   2.29  0.94615
137  4ddh   3.32  0.98877
138  3ivg   4.30  0.98579
139  3coz   5.57  0.97922
140  3coy   6.02  0.98703
141  3pxf   4.43  0.30321
142  4eor   6.30  0.99570
143  2xnb   6.83  0.99840
144  1pxn   7.15  0.99164
145  2fvd   8.52  0.99876
146  4k77   6.63  0.93658
147  4e5w   7.66  0.92969
148  4ivb   8.72  0.99572
149  4ivd   9.52  0.99323
150  4ivc  10.00  0.99585
151  4f09   6.70  0.99495
152  4gfm   7.22  0.93556
153  4hge   7.92  0.98777
154  4e6q   8.36  0.99449
155  4jia   9.22  0.62645
156  2brb   4.86  0.97166
157  2br1   5.14  0.95104
158  3jvr   5.72  0.96335
159  3jvs   6.54  0.92081
160  1nvq   8.25  0.98639
161  3acw   4.76  0.77514
162  4ea2   6.44  0.49712
163  2zcr   6.87  0.70274
164  2zy1   7.40  0.87783
165  2zcq   8.82  0.47283
166  1bcu   3.28  0.83934
167  3bv9   5.36  0.36036
168  1oyt   7.24  0.94860
169  2zda   8.40  0.99878
170  3utu  10.92  0.99950
171  3u9q   4.38  0.97378
172  2yfe   6.63  0.98436
173  3fur   8.00  0.93326
174  3b1m   8.48  0.89707
175  2p4y   9.00  0.96720
176  3uo4   6.52  0.99655
177  3up2   7.40  0.99615
178  3e5a   8.23  0.99521
179  2wtv   8.74  0.99644
180  3myg  10.70  0.99662
181  3kgp   2.57  0.98237
182  1c5z   4.01  0.99409
183  1o5b   5.77  0.99033
184  1owh   7.40  0.93858
185  1sqa   9.21  0.97333
186  4jsz   2.30  0.26078
187  3kwa   4.08  0.07752
188  2weg   6.50  0.95034
189  3ryj   7.80  0.95433
190  3dd0   9.00  0.98590
191  2xdl   3.10  0.92160
192  3b27   5.16  0.96777
193  1yc1   6.17  0.98644
194  3rlr   7.52  0.98265
195  2yki   9.46  0.99045
196  1z95   7.12  0.67004
197  3b68   8.40  0.84939
198  3b5r   8.77  0.93959
199  3b65   9.27  0.94202
200  3g0w   9.52  0.91906
201  4u4s   2.92  0.89948
202  1p1q   4.89  0.96235
203  1syi   5.44  0.99819
204  1p1n   6.80  0.98355
205  2al5   8.40  0.99594
206  3g2z   2.36  0.70398
207  3g31   2.89  0.65049
