#code  score
4llx 4.93199
5c28 5.28484
3uuo 6.65470
3ui7 6.84084
5c2h 7.55152
2v00 5.88075
3wz8 7.31661
3pww 8.91793
3prs 9.12435
3uri 9.17794
4m0z 7.42067
4m0y 6.42160
3qgy 7.54997
4qd6 6.61430
4rfm 7.72091
4cr9 5.48762
4cra 7.14173
4x6p 7.86020
4crc 7.59090
4ty7 7.34921
5aba 5.07919
5a7b 6.01786
4agn 5.55755
4agp 6.16242
4agq 6.34006
3bgz 7.09671
3jya 6.92907
2c3i 7.00854
4k18 7.52167
5dwr 8.75554
3mss 4.75288
3k5v 6.58521
3pyy 6.54005
2v7a 7.84089
4twp 7.63623
3wtj 6.61440
3zdg 5.65942
3u8k 6.68434
4qac 7.61220
3u8n 7.10568
1a30 5.55670
2qnq 8.96787
1g2k 8.81801
1eby 8.51689
3o9i 8.81431
4lzs 5.43748
3u5j 6.32527
4wiv 6.06518
4ogj 7.25838
3p5o 7.03411
1ps3 5.49336
3dx1 4.97451
3d4z 5.35311
3dx2 5.69861
3ejr 6.57597
3l7b 5.27724
4eky 6.40047
3g2n 5.59669
3syr 6.05887
3ebp 5.68301
2w66 5.73605
2w4x 4.71815
2wca 5.82488
2xj7 5.99559
2vvn 5.96169
3aru 5.13131
3arv 5.36976
3ary 4.68685
3arq 5.76696
3arp 6.07957
4ih5 5.15474
4ih7 5.91582
3cj4 5.96941
4eo8 6.52834
3gnw 8.29858
1gpk 6.50152
1gpn 6.34739
1h23 7.51223
1h22 7.36373
1e66 7.31255
3f3a 5.70782
3f3c 5.95040
4mme 6.64741
3f3d 5.49100
3f3e 5.43033
2wbg 6.32162
2cbv 5.31104
2j78 5.57857
2j7h 5.21663
2cet 6.95869
3udh 5.66942
3rsx 5.47042
4djv 7.24986
2vkm 8.75398
4gid 9.11032
4jfs 5.59372
4j28 5.64799
2wvt 5.37858
2xii 6.77649
4pcs 5.80662
3rr4 6.59954
1s38 6.52650
1r5y 6.42640
3gc5 7.97728
3ge7 8.12838
4dli 6.17480
2zb1 7.05899
4f9w 7.37585
3e92 7.37635
3e93 7.84711
4owm 3.97995
3twp 3.45714
3r88 4.58041
4gkm 5.35630
3qqs 5.47005
3gv9 4.58194
3gr2 3.96739
4kz6 4.86476
4jxs 5.58793
2r9w 5.53076
2hb1 4.76603
1bzc 5.20278
2qbr 6.14099
2qbq 6.29046
2qbp 6.38269
1q8t 6.25302
1ydr 6.70797
1q8u 7.00187
1ydt 7.82033
3ag9 6.57710
3fcq 4.37269
1z9g 5.60848
1qf1 7.05992
5tmn 6.28682
4tmn 6.85006
4ddk 4.44753
4ddh 5.21413
3ivg 6.67317
3coz 7.00980
3coy 7.29838
3pxf 5.44490
4eor 7.75254
2xnb 7.89072
1pxn 7.54322
2fvd 8.08054
4k77 6.84211
4e5w 7.87305
4ivb 7.71230
4ivd 7.85340
4ivc 7.97368
4f09 7.17440
4gfm 6.64334
4hge 7.72167
4e6q 7.17273
4jia 7.08935
2brb 6.64452
2br1 6.89973
3jvr 5.72333
3jvs 5.61492
1nvq 8.39721
3acw 6.35653
4ea2 6.94754
2zcr 6.13815
2zy1 6.43057
2zcq 5.85357
1bcu 5.48702
3bv9 7.91581
1oyt 7.00795
2zda 7.28076
3utu 8.72608
3u9q 5.04343
2yfe 6.46501
3fur 8.71467
3b1m 7.17575
2p4y 8.68840
3uo4 7.45164
3up2 7.53034
3e5a 7.54922
2wtv 8.39223
3myg 7.46751
3kgp 4.70864
1c5z 5.09541
1o5b 6.13447
1owh 5.65945
1sqa 6.67750
4jsz 3.46368
3kwa 4.55446
2weg 5.45382
3ryj 5.75538
3dd0 6.16163
2xdl 5.68187
3b27 6.15670
1yc1 7.13170
3rlr 7.54719
2yki 8.46388
1z95 7.72111
3b68 7.62143
3b5r 8.08657
3b65 7.60639
3g0w 7.92298
4u4s 5.58684
1p1q 5.89777
1syi 6.70069
1p1n 5.82504
2al5 6.62291
3g2z 4.26756
3g31 4.04521
4de2 5.61620
4de3 5.75006
4de1 5.66895
1vso 5.50398
4dld 6.47766
3gbb 6.15760
3fv2 6.22752
3fv1 6.71890
4mgd 7.26650
2qe4 7.00863
1qkt 6.76392
2pog 6.92298
2p15 8.83191
2y5h 7.21391
1lpg 7.16777
2xbv 7.63561
1z6e 8.10284
1mq6 7.99731
1nc3 6.82121
1nc1 6.90081
1y6r 7.61491
4f2w 7.62446
4f3c 7.90534
1uto 4.72371
4abg 5.34169
3gy4 5.17169
1k1i 7.36951
1o3f 6.39853
2yge 7.28408
2fxs 5.91622
2iwx 6.57670
2wer 6.48022
2vw5 7.49131
4kzq 6.10485
4kzu 6.32436
4j21 6.80468
4j3l 6.89800
3kr8 6.89853
2ymd 5.62441
2wnc 6.06587
2xys 6.81581
2wn9 6.18036
2x00 8.03125
3ozt 6.38643
3ozs 6.46915
3oe5 6.41890
3oe4 6.42648
3nw9 6.95555
3ao4 5.48107
3zt2 5.67208
3zsx 6.22496
4cig 6.52229
3zso 7.14020
3n7a 4.66268
4ciw 5.12936
3n86 6.43154
3n76 6.13887
2xb8 6.06209
4bkt 5.14713
4w9c 6.28147
4w9l 7.23723
4w9i 6.64762
4w9h 6.78124
3nq9 4.14836
3ueu 5.54630
3uev 5.86011
3uew 5.76464
3uex 6.19057
3lka 4.63634
3ehy 4.94425
3tsk 7.14791
3nx7 5.50279
4gr0 7.59898
3dxg 4.43974
3d6q 4.86839
1w4o 4.67070
1o0h 5.08782
1u1b 6.24974
