#code  score
4llx 0.91445
5c28 0.80164
3uuo 0.94141
3ui7 0.92705
5c2h 0.95364
2v00 0.78670
3wz8 0.86629
3pww 0.98900
3prs 0.98109
3uri 0.99126
4m0z 0.96550
4m0y 0.95739
3qgy 0.91213
4qd6 0.53273
4rfm 0.96495
4cr9 0.95786
4cra 0.92079
4x6p 0.87597
4crc 0.91909
4ty7 0.79937
5aba 0.64342
5a7b 0.76770
4agn 0.79274
4agp 0.84341
4agq 0.89977
3bgz 0.95845
3jya 0.90613
2c3i 0.89470
4k18 0.85899
5dwr 0.97058
3mss 0.79720
3k5v 0.91717
3pyy 0.95499
2v7a 0.99483
4twp 0.91555
3wtj 0.89412
3zdg 0.96399
3u8k 0.98556
4qac 0.96643
3u8n 0.98907
1a30 0.22813
2qnq 0.85629
1g2k 0.99216
1eby 0.99121
3o9i 0.98495
4lzs 0.95716
3u5j 0.92530
4wiv 0.79330
4ogj 0.72093
3p5o 0.94739
1ps3 0.96044
3dx1 0.96268
3d4z 0.93530
3dx2 0.98377
3ejr 0.97788
3l7b 0.42292
4eky 0.73158
3g2n 0.81045
3syr 0.88618
3ebp 0.44633
2w66 0.97641
2w4x 0.83139
2wca 0.96931
2xj7 0.98303
2vvn 0.96548
3aru 0.94383
3arv 0.80965
3ary 0.89043
3arq 0.66197
3arp 0.81396
4ih5 0.27640
4ih7 0.90264
3cj4 0.88055
4eo8 0.85545
3gnw 0.98037
1gpk 0.91485
1gpn 0.76310
1h23 0.87535
1h22 0.91436
1e66 0.94070
3f3a 0.76838
3f3c 0.93931
4mme 0.86713
3f3d 0.94089
3f3e 0.94385
2wbg 0.98746
2cbv 0.90368
2j78 0.96672
2j7h 0.95983
2cet 0.97825
3udh 0.97854
3rsx 0.82975
4djv 0.97572
2vkm 0.95902
4gid 0.99357
4jfs 0.92692
4j28 0.92884
2wvt 0.98445
2xii 0.99488
4pcs 0.98587
3rr4 0.97433
1s38 0.99014
1r5y 0.98395
3gc5 0.99892
3ge7 0.99788
4dli 0.69610
2zb1 0.88643
4f9w 0.97463
3e92 0.94937
3e93 0.95902
4owm 0.89277
3twp 0.80622
3r88 0.94423
4gkm 0.76152
3qqs 0.86652
3gv9 0.73764
3gr2 0.32227
4kz6 0.84753
4jxs 0.82501
2r9w 0.67240
2hb1 0.80599
1bzc 0.81087
2qbr 0.82903
2qbq 0.80808
2qbp 0.84710
1q8t 0.76187
1ydr 0.88023
1q8u 0.90386
1ydt 0.97187
3ag9 0.86115
3fcq 0.44980
1z9g 0.87549
1qf1 0.97712
5tmn 0.78513
4tmn 0.70649
4ddk 0.88822
4ddh 0.86133
3ivg 0.82118
3coz 0.94823
3coy 0.97571
3pxf 0.47622
4eor 0.97699
2xnb 0.98406
1pxn 0.98280
2fvd 0.99518
4k77 0.97142
4e5w 0.98545
4ivb 0.99416
4ivd 0.99099
4ivc 0.99613
4f09 0.99076
4gfm 0.95503
4hge 0.98148
4e6q 0.95347
4jia 0.83281
2brb 0.83145
2br1 0.77761
3jvr 0.91906
3jvs 0.52697
1nvq 0.99497
3acw 0.85977
4ea2 0.79649
2zcr 0.68315
2zy1 0.86972
2zcq 0.58500
1bcu 0.91924
3bv9 0.68192
1oyt 0.93939
2zda 0.99234
3utu 0.99247
3u9q 0.80817
2yfe 0.82667
3fur 0.93662
3b1m 0.66993
2p4y 0.97660
3uo4 0.94948
3up2 0.98135
3e5a 0.55968
2wtv 0.98208
3myg 0.98551
3kgp 0.90459
1c5z 0.94145
1o5b 0.96149
1owh 0.82377
1sqa 0.86975
4jsz 0.51488
3kwa 0.20155
2weg 0.90379
3ryj 0.92764
3dd0 0.95077
2xdl 0.83775
3b27 0.86278
1yc1 0.97272
3rlr 0.93285
2yki 0.98269
1z95 0.92241
3b68 0.93057
3b5r 0.98333
3b65 0.96970
3g0w 0.99354
4u4s 0.75753
1p1q 0.85482
1syi 0.93671
1p1n 0.81187
2al5 0.97048
3g2z 0.30910
3g31 0.70478
4de2 0.77707
4de3 0.84195
4de1 0.66936
1vso 0.81720
4dld 0.74862
3gbb 0.96164
3fv2 0.95155
3fv1 0.96800
4mgd 0.97728
2qe4 0.91401
1qkt 0.93709
2pog 0.92661
2p15 0.98458
2y5h 0.96171
1lpg 0.90417
2xbv 0.95653
1z6e 0.99126
1mq6 0.98753
1nc3 0.98146
1nc1 0.95266
1y6r 0.99511
4f2w 0.98882
4f3c 0.98743
1uto 0.93708
4abg 0.96218
3gy4 0.96971
1k1i 0.96514
1o3f 0.91553
2yge 0.81053
2fxs 0.77090
2iwx 0.89538
2wer 0.86219
2vw5 0.85074
4kzq 0.87169
4kzu 0.84131
4j21 0.93966
4j3l 0.93857
3kr8 0.96248
2ymd 0.80845
2wnc 0.90810
2xys 0.92195
2wn9 0.86707
2x00 0.97010
3ozt 0.98430
3ozs 0.96997
3oe5 0.96480
3oe4 0.95176
3nw9 0.94681
3ao4 0.93467
3zt2 0.86080
3zsx 0.64618
4cig 0.81867
3zso 0.72326
3n7a 0.88069
4ciw 0.85795
3n86 0.96950
3n76 0.88786
2xb8 0.91347
4bkt 0.90803
4w9c 0.90627
4w9l 0.95543
4w9i 0.95042
4w9h 0.91870
3nq9 0.58040
3ueu 0.65953
3uev 0.79571
3uew 0.69034
3uex 0.75825
3lka 0.68252
3ehy 0.49761
3tsk 0.84881
3nx7 0.84307
4gr0 0.92237
3dxg 0.70608
3d6q 0.70827
1w4o 0.71571
1o0h 0.93446
1u1b 0.86386
