#code  score
4llx 
5c28 0.73383
3uuo 0.64925
3ui7 0.63216
5c2h 0.91993
2v00 0.45166
3wz8 0.33923
3pww 0.87617
3prs 0.90889
3uri 0.96424
4m0z 0.69299
4m0y 0.58468
3qgy 0.65102
4qd6 0.35427
4rfm 0.89688
4cr9 0.82351
4cra 0.71404
4x6p 0.96851
4crc 0.95199
4ty7 0.53050
5aba 0.47610
5a7b 0.59998
4agn 0.76876
4agp 0.66011
4agq 0.48263
3bgz 0.83345
3jya 0.91093
2c3i 0.87719
4k18 0.57772
5dwr 0.95866
3mss 0.82032
3k5v 0.98595
3pyy 0.96869
2v7a 0.89465
4twp 0.93431
3wtj 0.99808
3zdg 0.98211
3u8k 0.99480
4qac 0.99660
3u8n 0.99854
1a30 0.31279
2qnq 0.97761
1g2k 0.99196
1eby 0.99042
3o9i 0.99677
4lzs 0.70910
3u5j 0.52761
4wiv 0.48628
4ogj 0.58976
3p5o 0.74705
1ps3 0.99291
3dx1 0.99089
3d4z 0.98044
3dx2 0.99527
3ejr 0.98809
3l7b 0.94751
4eky 0.94998
3g2n 0.95706
3syr 0.99052
3ebp 0.29268
2w66 0.94136
2w4x 0.96176
2wca 0.97126
2xj7 0.96836
2vvn 0.98815
3aru 0.59795
3arv 0.42356
3ary 0.08677
3arq 0.44488
3arp 0.41513
4ih5 0.13644
4ih7 0.77204
3cj4 0.96501
4eo8 0.96934
3gnw 0.71218
1gpk 0.87108
1gpn 0.57000
1h23 0.99383
1h22 0.99396
1e66 0.92588
3f3a 0.94683
3f3c 0.99661
4mme 0.93303
3f3d 0.99753
3f3e 0.99621
2wbg 0.99669
2cbv 0.99817
2j78 0.96317
2j7h 0.99153
2cet 0.99673
3udh 0.78683
3rsx 0.63992
4djv 0.92732
2vkm 0.91851
4gid 0.99484
4jfs 0.97963
4j28 0.98473
2wvt 0.98710
2xii 0.98821
4pcs 0.99086
3rr4 0.96009
1s38 0.99579
1r5y 0.99242
3gc5 0.99837
3ge7 0.98099
4dli 0.89395
2zb1 0.86668
4f9w 0.83557
3e92 0.91442
3e93 0.93384
4owm 0.78340
3twp 0.70079
3r88 0.86221
4gkm 0.92731
3qqs 0.91212
3gv9 0.32861
3gr2 0.46760
4kz6 0.70996
4jxs 0.28212
2r9w 0.70982
2hb1 0.98606
1bzc 0.97837
2qbr 0.98203
2qbq 0.96930
2qbp 0.88750
1q8t 0.86465
1ydr 0.94692
1q8u 0.94985
1ydt 0.98636
3ag9 0.97066
3fcq 0.15625
1z9g 0.75970
1qf1 0.98255
5tmn 0.92239
4tmn 0.88525
4ddk 0.95178
4ddh 0.85499
3ivg 0.68481
3coz 0.97735
3coy 0.98633
3pxf 0.71878
4eor 0.97273
2xnb 0.98873
1pxn 0.95199
2fvd 0.77696
4k77 0.85606
4e5w 0.98122
4ivb 0.97112
4ivd 0.95982
4ivc 0.97137
4f09 0.93002
4gfm 0.18828
4hge 0.86230
4e6q 0.88725
4jia 0.17810
2brb 0.73286
2br1 0.76193
3jvr 0.77466
3jvs 0.60994
1nvq 0.81924
3acw 0.63240
4ea2 0.73883
2zcr 0.09080
2zy1 0.61610
2zcq 0.01672
1bcu 0.33497
3bv9 0.82564
1oyt 0.90706
2zda 0.99350
3utu 0.99410
3u9q 0.82619
2yfe 0.96088
3fur 0.89242
3b1m 0.81589
2p4y 0.97812
3uo4 0.98151
3up2 0.98602
3e5a 0.92510
2wtv 0.93756
3myg 0.88876
3kgp 0.88239
1c5z 0.97223
1o5b 0.98415
1owh 0.93969
1sqa 0.97581
4jsz 0.16135
3kwa 0.10000
2weg 0.94845
3ryj 0.87445
3dd0 0.97835
2xdl 0.90007
3b27 0.91782
1yc1 0.90136
3rlr 0.97696
2yki 0.94426
1z95 0.98796
3b68 0.98552
3b5r 0.99244
3b65 0.99828
3g0w 0.99788
4u4s 0.89353
1p1q 0.95710
1syi 0.99906
1p1n 0.98292
2al5 0.99808
3g2z 0.45804
3g31 0.75588
4de2 0.60964
4de3 0.54041
4de1 0.44517
1vso 0.78676
4dld 0.87623
3gbb 0.98557
3fv2 0.97737
3fv1 0.98592
4mgd 0.92240
2qe4 0.92469
1qkt 0.94875
2pog 0.95455
2p15 0.97887
2y5h 0.93518
1lpg 0.96783
2xbv 0.97958
1z6e 0.93687
1mq6 0.99361
1nc3 0.99829
1nc1 0.99925
1y6r 0.99837
4f2w 0.99857
4f3c 0.99957
1uto 0.46511
4abg 0.92063
3gy4 0.92495
1k1i 0.92519
1o3f 0.95253
2yge 0.76606
2fxs 0.43220
2iwx 0.73647
2wer 0.67154
2vw5 0.59201
4kzq 0.80804
4kzu 0.77855
4j21 0.83230
4j3l 0.75990
3kr8 0.93420
2ymd 0.98397
2wnc 0.94657
2xys 0.97811
2wn9 0.42706
2x00 0.98760
3ozt 0.98673
3ozs 0.96899
3oe5 0.94622
3oe4 0.98133
3nw9 0.99218
3ao4 0.68931
3zt2 0.42609
3zsx 0.39919
4cig 0.38577
3zso 0.38694
3n7a 0.97366
4ciw 0.97085
3n86 0.98057
3n76 0.98733
2xb8 0.95682
4bkt 0.95719
4w9c 0.97814
4w9l 0.96727
4w9i 0.98812
4w9h 0.98495
3nq9 0.81922
3ueu 0.79638
3uev 0.87463
3uew 0.83718
3uex 0.84563
3lka 0.31084
3ehy 0.65681
3tsk 0.98529
3nx7 0.76963
4gr0 0.87419
3dxg 0.54197
3d6q 0.46893
1w4o 0.87498
1o0h 0.51395
1u1b 0.53238
