#code  score
4llx 3.98111
5c28 5.13147
3uuo 7.56587
3ui7 7.60222
5c2h 8.42584
2v00 5.71811
3wz8 7.20553
3pww 8.57422
3prs 8.89047
3uri 8.18812
4m0z 7.33998
4m0y 6.36804
3qgy 7.55050
4qd6 6.37296
4rfm 7.66422
4cr9 4.75928
4cra 7.60857
4x6p 8.47484
4crc 8.31179
4ty7 8.08621
5aba 5.17665
5a7b 5.60544
4agn 5.23682
4agp 5.83831
4agq 5.96827
3bgz 7.37839
3jya 6.53105
2c3i 7.33417
4k18 7.73215
5dwr 8.93550
3mss 4.31479
3k5v 6.26580
3pyy 6.33623
2v7a 7.64790
4twp 7.35197
3wtj 7.39013
3zdg 7.15797
3u8k 8.12168
4qac 8.07068
3u8n 8.67288
1a30 6.88906
2qnq 8.34443
1g2k 9.04018
1eby 8.94758
3o9i 9.55124
4lzs 4.88892
3u5j 6.12051
4wiv 6.50360
4ogj 6.85423
3p5o 7.13897
1ps3 5.63025
3dx1 5.01662
3d4z 5.54245
3dx2 5.83912
3ejr 6.94554
3l7b 4.91563
4eky 5.98724
3g2n 5.27437
3syr 6.31034
3ebp 5.68972
2w66 6.19127
2w4x 4.63637
2wca 5.61529
2xj7 6.73736
2vvn 6.66031
3aru 4.23032
3arv 4.93813
3ary 4.36061
3arq 5.45432
3arp 6.11709
4ih5 4.61071
4ih7 5.72744
3cj4 5.85520
4eo8 6.80581
3gnw 7.85890
1gpk 7.37865
1gpn 7.68327
1h23 8.25835
1h22 8.22224
1e66 8.31147
3f3a 5.85230
3f3c 5.90685
4mme 6.32384
3f3d 5.66948
3f3e 5.41905
2wbg 6.68683
2cbv 5.94302
2j78 6.14742
2j7h 5.39077
2cet 7.67112
3udh 4.72304
3rsx 5.15989
4djv 6.85326
2vkm 7.72201
4gid 8.05209
4jfs 5.39188
4j28 5.68646
2wvt 5.27902
2xii 6.61764
4pcs 5.61004
3rr4 6.36075
1s38 5.41464
1r5y 5.39981
3gc5 7.17351
3ge7 7.56837
4dli 6.48406
2zb1 7.42211
4f9w 7.60659
3e92 7.54248
3e93 7.72575
4owm 3.27058
3twp 2.40043
3r88 3.55987
4gkm 4.87915
3qqs 4.61926
3gv9 4.11785
3gr2 3.08774
4kz6 4.50090
4jxs 5.24781
2r9w 5.57256
2hb1 3.97486
1bzc 5.83204
2qbr 5.71066
2qbq 6.16108
2qbp 6.31431
1q8t 6.92274
1ydr 6.91994
1q8u 7.32268
1ydt 7.60402
3ag9 6.10929
3fcq 4.49801
1z9g 6.60697
1qf1 7.69319
5tmn 7.32597
4tmn 7.25739
4ddk 3.33932
4ddh 4.22249
3ivg 6.33293
3coz 6.26861
3coy 6.60510
3pxf 4.73506
4eor 7.56681
2xnb 7.95219
1pxn 7.19327
2fvd 7.45882
4k77 7.11970
4e5w 8.12886
4ivb 7.96280
4ivd 8.02085
4ivc 8.07150
4f09 7.72367
4gfm 6.86791
4hge 8.19539
4e6q 8.00572
4jia 7.69923
2brb 6.92290
2br1 7.39155
3jvr 5.11561
3jvs 5.71769
1nvq 7.95478
3acw 6.80153
4ea2 7.92918
2zcr 6.67917
2zy1 6.74374
2zcq 6.60897
1bcu 5.27427
3bv9 8.29403
1oyt 7.64864
2zda 7.64672
3utu 8.62682
3u9q 5.05022
2yfe 6.54116
3fur 8.32236
3b1m 7.14317
2p4y 7.90258
3uo4 7.11989
3up2 7.43661
3e5a 7.38513
2wtv 8.39295
3myg 7.34112
3kgp 3.91369
1c5z 3.97080
1o5b 5.27953
1owh 6.30372
1sqa 7.11621
4jsz 2.39187
3kwa 3.84655
2weg 6.49636
3ryj 7.34838
3dd0 7.17262
2xdl 5.63710
3b27 5.49316
1yc1 6.71235
3rlr 7.28592
2yki 8.47716
1z95 7.88956
3b68 7.83650
3b5r 7.91991
3b65 7.94622
3g0w 8.34119
4u4s 4.55433
1p1q 6.20486
1syi 6.76797
1p1n 6.14183
2al5 6.59006
3g2z 3.64382
3g31 3.49564
4de2 4.54087
4de3 4.90750
4de1 4.88883
1vso 6.30645
4dld 6.85385
3gbb 6.50282
3fv2 6.69353
3fv1 7.05482
4mgd 7.80373
2qe4 8.16316
1qkt 7.91905
2pog 6.94975
2p15 9.43781
2y5h 8.35464
1lpg 7.44949
2xbv 8.33219
1z6e 8.51925
1mq6 8.48824
1nc3 7.01854
1nc1 7.53100
1y6r 8.31034
4f2w 8.56549
4f3c 8.97495
1uto 3.94251
4abg 4.41298
3gy4 4.17660
1k1i 7.58455
1o3f 5.62570
2yge 7.86635
2fxs 6.27135
2iwx 6.64027
2wer 6.37744
2vw5 7.60321
4kzq 6.18533
4kzu 6.49290
4j21 7.14125
4j3l 7.59792
3kr8 7.08903
2ymd 6.08934
2wnc 7.46684
2xys 7.53864
2wn9 7.21104
2x00 8.81660
3ozt 6.78491
3ozs 6.88516
3oe5 6.90501
3oe4 6.79813
3nw9 7.07623
3ao4 4.62736
3zt2 4.96776
3zsx 5.50846
4cig 5.68834
3zso 6.23590
3n7a 4.41046
4ciw 5.10154
3n86 6.45906
3n76 6.50854
2xb8 6.65811
4bkt 4.59870
4w9c 6.05885
4w9l 7.19591
4w9i 6.32721
4w9h 6.51717
3nq9 4.26921
3ueu 4.70796
3uev 4.77526
3uew 5.58036
3uex 5.70296
3lka 4.14713
3ehy 4.65443
3tsk 6.96479
3nx7 5.97991
4gr0 7.55181
3dxg 3.86337
3d6q 3.88405
1w4o 4.21953
1o0h 4.87347
1u1b 6.16759
