#code  score
4llx 3.93489
5c28 4.59279
3uuo 7.01415
3ui7 7.62649
5c2h 7.74551
2v00 4.43289
3wz8 5.86817
3pww 7.34231
3prs 8.59294
3uri 7.11456
4m0z 6.67031
4m0y 6.34797
3qgy 8.20672
4qd6 6.82451
4rfm 7.64835
4cr9 4.79449
4cra 7.79805
4x6p 8.61561
4crc 8.56641
4ty7 7.94512
5aba 4.96994
5a7b 5.07467
4agn 5.04291
4agp 5.51390
4agq 5.63537
3bgz 6.99018
3jya 6.73188
2c3i 7.35571
4k18 8.08801
5dwr 8.92953
3mss 4.16063
3k5v 6.10382
3pyy 5.89538
2v7a 8.39415
4twp 8.07529
3wtj 6.97573
3zdg 6.71320
3u8k 7.93299
4qac 8.02098
3u8n 8.76796
1a30 6.79244
2qnq 8.38637
1g2k 9.20967
1eby 8.86850
3o9i 10.27918
4lzs 4.92721
3u5j 6.00668
4wiv 5.95297
4ogj 6.64482
3p5o 6.97330
1ps3 5.66590
3dx1 5.44135
3d4z 6.06958
3dx2 6.05950
3ejr 8.03741
3l7b 3.74171
4eky 5.49704
3g2n 5.09292
3syr 4.95588
3ebp 5.61071
2w66 6.16689
2w4x 4.22008
2wca 6.08956
2xj7 6.64529
2vvn 6.46838
3aru 4.81931
3arv 5.32337
3ary 4.59172
3arq 5.85292
3arp 5.74806
4ih5 4.63304
4ih7 5.23115
3cj4 6.16921
4eo8 6.81428
3gnw 8.17478
1gpk 6.68807
1gpn 7.10888
1h23 8.33639
1h22 8.38256
1e66 7.89799
3f3a 5.05267
3f3c 4.91130
4mme 6.07456
3f3d 5.11100
3f3e 4.96912
2wbg 7.00994
2cbv 5.97061
2j78 6.32595
2j7h 5.66232
2cet 8.42081
3udh 4.77583
3rsx 4.83253
4djv 7.14480
2vkm 8.33188
4gid 8.49662
4jfs 6.51468
4j28 7.08761
2wvt 6.03606
2xii 7.97842
4pcs 6.69779
3rr4 5.96002
1s38 5.73129
1r5y 5.87277
3gc5 7.72323
3ge7 8.77321
4dli 6.40339
2zb1 6.76027
4f9w 7.58883
3e92 7.26852
3e93 7.65200
4owm 3.20961
3twp 2.87106
3r88 3.15078
4gkm 4.85474
3qqs 4.66627
3gv9 4.13008
3gr2 4.25640
4kz6 5.45852
4jxs 5.93729
2r9w 6.22354
2hb1 3.68864
1bzc 5.31063
2qbr 6.00283
2qbq 6.28580
2qbp 6.70043
1q8t 5.91875
1ydr 6.96696
1q8u 7.25809
1ydt 8.13272
3ag9 6.12261
3fcq 4.01677
1z9g 5.47952
1qf1 7.51807
5tmn 7.08542
4tmn 7.45998
4ddk 3.33931
4ddh 4.19481
3ivg 6.46776
3coz 6.67730
3coy 7.01012
3pxf 5.37562
4eor 7.55079
2xnb 7.70359
1pxn 6.89941
2fvd 7.85469
4k77 6.40710
4e5w 8.08676
4ivb 8.38931
4ivd 8.33247
4ivc 8.54566
4f09 7.29724
4gfm 6.35617
4hge 7.33678
4e6q 7.66488
4jia 6.81253
2brb 6.95448
2br1 7.33384
3jvr 5.79918
3jvs 5.62350
1nvq 7.92083
3acw 6.91380
4ea2 7.05213
2zcr 6.36436
2zy1 6.34261
2zcq 6.13583
1bcu 4.69504
3bv9 7.46110
1oyt 7.18079
2zda 7.70821
3utu 9.36488
3u9q 5.69465
2yfe 6.81310
3fur 8.05075
3b1m 7.02627
2p4y 7.96908
3uo4 7.44506
3up2 7.55929
3e5a 8.31132
2wtv 8.40684
3myg 7.72107
3kgp 4.17957
1c5z 4.49726
1o5b 5.73289
1owh 5.79323
1sqa 7.37848
4jsz 3.43146
3kwa 5.53014
2weg 5.85281
3ryj 6.81097
3dd0 7.07272
2xdl 4.76619
3b27 5.55871
1yc1 6.74592
3rlr 7.07233
2yki 8.82610
1z95 7.22801
3b68 7.58471
3b5r 8.10010
3b65 7.83108
3g0w 8.03692
4u4s 4.92807
1p1q 6.44961
1syi 7.28116
1p1n 6.48152
2al5 6.94961
3g2z 4.30913
3g31 4.14309
4de2 5.79413
4de3 6.17922
4de1 5.84215
1vso 5.76293
4dld 6.75292
3gbb 7.37865
3fv2 6.83484
3fv1 7.63507
4mgd 7.31575
2qe4 7.01840
1qkt 7.74262
2pog 7.45127
2p15 8.88593
2y5h 7.63001
1lpg 8.10113
2xbv 8.84499
1z6e 9.33939
1mq6 8.96641
1nc3 6.82791
1nc1 6.83552
1y6r 9.17645
4f2w 9.20783
4f3c 9.84038
1uto 3.36233
4abg 4.21230
3gy4 4.34231
1k1i 7.74153
1o3f 6.97911
2yge 7.08551
2fxs 5.72022
2iwx 6.44967
2wer 6.24263
2vw5 6.93359
4kzq 6.50662
4kzu 6.42835
4j21 6.91034
4j3l 7.17647
3kr8 6.74432
2ymd 5.97999
2wnc 6.64293
2xys 8.32072
2wn9 6.56107
2x00 8.71898
3ozt 6.62269
3ozs 6.67819
3oe5 6.81658
3oe4 6.84318
3nw9 7.42530
3ao4 4.38847
3zt2 4.68026
3zsx 5.00585
4cig 5.49725
3zso 5.90689
3n7a 4.65219
4ciw 5.32582
3n86 6.85046
3n76 6.59879
2xb8 6.13505
4bkt 5.28987
4w9c 6.74244
4w9l 7.23235
4w9i 7.17899
4w9h 7.43677
3nq9 4.78629
3ueu 6.29716
3uev 6.77735
3uew 6.44691
3uex 6.82485
3lka 4.11574
3ehy 5.43823
3tsk 7.33709
3nx7 5.74273
4gr0 7.63347
3dxg 4.17099
3d6q 4.29686
1w4o 4.81375
1o0h 5.25749
1u1b 6.71669
