#code  score
4llx 0.86674
5c28 0.80172
3uuo 0.85251
3ui7 0.98680
5c2h 0.97162
2v00 0.58844
3wz8 0.91052
3pww 0.37198
3prs 0.99249
3uri 0.91547
4m0z 0.86459
4m0y 0.95869
3qgy 0.96427
4qd6 0.79202
4rfm 0.84808
4cr9 0.98080
4cra 0.98344
4x6p 0.99212
4crc 0.99408
4ty7 0.97387
5aba 0.84818
5a7b 0.79344
4agn 0.91291
4agp 0.87010
4agq 0.91175
3bgz 0.96042
3jya 0.93622
2c3i 0.97569
4k18 0.99364
5dwr 0.99517
3mss 0.68747
3k5v 0.88343
3pyy 0.79249
2v7a 0.99785
4twp 0.96735
3wtj 0.99599
3zdg 0.96888
3u8k 0.98429
4qac 0.93114
3u8n 0.98742
1a30 0.73226
2qnq 0.98378
1g2k 0.99324
1eby 0.98519
3o9i 0.99810
4lzs 0.95427
3u5j 0.82417
4wiv 0.90766
4ogj 0.78226
3p5o 0.96004
1ps3 0.98228
3dx1 0.99118
3d4z 0.97226
3dx2 0.99770
3ejr 0.98941
3l7b 0.90850
4eky 0.97136
3g2n 0.99472
3syr 0.98897
3ebp 0.35447
2w66 0.97031
2w4x 0.97600
2wca 0.99275
2xj7 0.95612
2vvn 0.99592
3aru 0.95208
3arv 0.96763
3ary 0.94948
3arq 0.89702
3arp 0.19041
4ih5 0.46653
4ih7 0.97121
3cj4 0.97262
4eo8 0.96947
3gnw 0.99312
1gpk 0.81363
1gpn 0.80731
1h23 0.99082
1h22 0.99534
1e66 0.91880
3f3a 0.88084
3f3c 0.92099
4mme 0.97611
3f3d 0.96721
3f3e 0.93874
2wbg 0.99540
2cbv 0.95548
2j78 0.99367
2j7h 0.98323
2cet 0.98942
3udh 0.99525
3rsx 0.94138
4djv 0.99963
2vkm 0.98216
4gid 0.99463
4jfs 0.94547
4j28 0.97994
2wvt 0.96493
2xii 0.97476
4pcs 0.96708
3rr4 0.94593
1s38 0.98908
1r5y 0.98622
3gc5 0.99687
3ge7 0.99263
4dli 0.78201
2zb1 0.86729
4f9w 0.98871
3e92 0.96179
3e93 0.93193
4owm 0.86198
3twp 0.77420
3r88 0.92335
4gkm 0.98882
3qqs 0.98511
3gv9 0.93881
3gr2 0.45899
4kz6 0.97930
4jxs 0.98074
2r9w 0.93913
2hb1 0.85403
1bzc 0.93458
2qbr 0.96533
2qbq 0.91195
2qbp 0.88551
1q8t 0.78374
1ydr 0.98876
1q8u 0.98869
1ydt 0.99575
3ag9 0.94017
3fcq 0.80402
1z9g 0.97693
1qf1 0.99739
5tmn 0.98512
4tmn 0.97768
4ddk 0.94615
4ddh 0.98877
3ivg 0.98579
3coz 0.97922
3coy 0.98703
3pxf 0.30321
4eor 0.99570
2xnb 0.99840
1pxn 0.99164
2fvd 0.99876
4k77 0.93658
4e5w 0.92969
4ivb 0.99572
4ivd 0.99323
4ivc 0.99585
4f09 0.99495
4gfm 0.93556
4hge 0.98777
4e6q 0.99449
4jia 0.62645
2brb 0.97166
2br1 0.95104
3jvr 0.96335
3jvs 0.92081
1nvq 0.98639
3acw 0.77514
4ea2 0.49712
2zcr 0.70274
2zy1 0.87783
2zcq 0.47283
1bcu 0.83934
3bv9 0.36036
1oyt 0.94860
2zda 0.99878
3utu 0.99950
3u9q 0.97378
2yfe 0.98436
3fur 0.93326
3b1m 0.89707
2p4y 0.96720
3uo4 0.99655
3up2 0.99615
3e5a 0.99521
2wtv 0.99644
3myg 0.99662
3kgp 0.98237
1c5z 0.99409
1o5b 0.99033
1owh 0.93858
1sqa 0.97333
4jsz 0.26078
3kwa 0.07752
2weg 0.95034
3ryj 0.95433
3dd0 0.98590
2xdl 0.92160
3b27 0.96777
1yc1 0.98644
3rlr 0.98265
2yki 0.99045
1z95 0.67004
3b68 0.84939
3b5r 0.93959
3b65 0.94202
3g0w 0.91906
4u4s 0.89948
1p1q 0.96235
1syi 0.99819
1p1n 0.98355
2al5 0.99594
3g2z 0.70398
3g31 0.65049
4de2 0.95625
4de3 0.98926
4de1 0.92962
1vso 0.99404
4dld 0.98041
3gbb 0.99158
3fv2 0.93573
3fv1 0.95666
4mgd 0.96787
2qe4 0.83065
1qkt 0.98253
2pog 0.89347
2p15 0.96297
2y5h 0.97237
1lpg 0.99696
2xbv 0.99676
1z6e 0.99851
1mq6 0.99849
1nc3 0.88217
1nc1 0.63341
1y6r 0.93865
4f2w 0.93566
4f3c 0.96198
1uto 0.94525
4abg 0.96704
3gy4 0.98666
1k1i 0.98248
1o3f 0.98866
2yge 0.78754
2fxs 0.88487
2iwx 0.96874
2wer 0.93961
2vw5 0.86586
4kzq 0.95259
4kzu 0.93856
4j21 0.86420
4j3l 0.84509
3kr8 0.88053
2ymd 0.80726
2wnc 0.88176
2xys 0.94808
2wn9 0.94476
2x00 0.98081
3ozt 0.98183
3ozs 0.95458
3oe5 0.98511
3oe4 0.98390
3nw9 0.98128
3ao4 0.94570
3zt2 0.96938
3zsx 0.92103
4cig 0.93029
3zso 0.81125
3n7a 0.93871
4ciw 0.81967
3n86 0.93910
3n76 0.92086
2xb8 0.88218
4bkt 0.95474
4w9c 0.95352
4w9l 0.95292
4w9i 0.99066
4w9h 0.99137
3nq9 0.79223
3ueu 0.86159
3uev 0.96702
3uew 0.93541
3uex 0.96795
3lka 0.68030
3ehy 0.96586
3tsk 0.94110
3nx7 0.99622
4gr0 0.97304
3dxg 0.95370
3d6q 0.83449
1w4o 0.99505
1o0h 0.99763
1u1b 0.99578
