#code  score
4llx -5.16986
5c28 -5.89309
3uuo -7.91519
3ui7 -7.93804
5c2h -9.61533
2v00 -7.39638
3wz8 -9.00423
3pww -11.09257
3prs -8.76473
3uri -7.22008
4m0z -10.59867
4m0y -7.24545
3qgy -8.50597
4qd6 -6.31119
4rfm -11.09027
4cr9 -6.14309
4cra -9.91293
4x6p -10.51197
4crc -9.69063
4ty7 -10.02703
5aba -5.44443
5a7b -6.47287
4agn -5.62091
4agp -6.24031
4agq -6.46334
3bgz -10.53186
3jya -7.49179
2c3i -8.48067
4k18 -9.04188
5dwr -10.75849
3mss -6.07908
3k5v -8.46405
3pyy -8.77042
2v7a -9.54505
4twp -8.30865
3wtj -6.33073
3zdg -4.87028
3u8k -6.53429
4qac -10.71831
3u8n -6.70214
1a30 -5.62414
2qnq -8.88496
1g2k -11.88489
1eby -12.51052
3o9i -9.75353
4lzs -6.30139
3u5j -8.72048
4wiv -7.66325
4ogj -6.43230
3p5o -8.62319
1ps3 -7.74487
3dx1 -5.81692
3d4z -5.86936
3dx2 -6.12855
3ejr -8.13789
3l7b -9.20362
4eky -9.35140
3g2n -9.62366
3syr -10.67800
3ebp -9.69170
2w66 -7.13508
2w4x -6.43496
2wca -6.50252
2xj7 -8.92245
2vvn -7.22768
3aru -5.52481
3arv -9.55840
3ary -5.50500
3arq -9.99107
3arp -9.07848
4ih5 -5.26630
4ih7 -7.00602
3cj4 -6.82524
4eo8 -7.51708
3gnw -12.09871
1gpk -10.43347
1gpn -10.02510
1h23 -9.66675
1h22 -9.71267
1e66 -12.01786
3f3a -6.95068
3f3c -7.66921
4mme -9.46535
3f3d -5.37391
3f3e -6.28688
2wbg -7.77349
2cbv -7.27714
2j78 -7.20106
2j7h -6.20554
2cet -8.99701
3udh -7.11568
3rsx -7.58423
4djv -9.58220
2vkm -10.57906
4gid -10.96550
4jfs -6.48235
4j28 -6.44349
2wvt -5.66633
2xii -9.83547
4pcs -7.21739
3rr4 -6.97164
1s38 -8.15028
1r5y -7.34855
3gc5 -9.21992
3ge7 -9.92114
4dli -9.02659
2zb1 -10.53071
4f9w -10.24800
3e92 -12.58626
3e93 -13.33413
4owm -4.77712
3twp -4.48887
3r88 -5.32246
4gkm -7.28087
3qqs -7.54393
3gv9 -4.17187
3gr2 -4.03291
4kz6 -5.23074
4jxs -6.88145
2r9w -7.68007
2hb1 -5.56685
1bzc -8.63418
2qbr -7.46440
2qbq -8.01072
2qbp -8.60863
1q8t -6.61624
1ydr -7.56148
1q8u -8.27846
1ydt -8.34389
3ag9 -5.41639
3fcq -4.64295
1z9g -4.97799
1qf1 -6.87204
5tmn -7.20791
4tmn -8.29187
4ddk -5.73553
4ddh -5.79173
3ivg -7.72220
3coz -10.33698
3coy -11.07946
3pxf -5.68161
4eor -8.86037
2xnb -9.28691
1pxn -8.23531
2fvd -8.70274
4k77 -7.56387
4e5w -10.32317
4ivb -9.54714
4ivd -8.70685
4ivc -9.57922
4f09 -8.21530
4gfm -7.32475
4hge -8.92170
4e6q -8.92269
4jia -8.95584
2brb -7.70226
2br1 -7.65910
3jvr -7.04560
3jvs -7.51866
1nvq -13.54733
3acw -10.50321
4ea2 -7.58896
2zcr -8.65890
2zy1 -8.61613
2zcq -8.10555
1bcu -6.95492
3bv9 -8.37519
1oyt -10.85039
2zda -9.85299
3utu -9.76865
3u9q -4.35667
2yfe -7.64043
3fur -11.09264
3b1m -10.72249
2p4y -10.83614
3uo4 -8.96708
3up2 -8.80933
3e5a -8.40170
2wtv -10.48436
3myg -6.19762
3kgp -4.38865
1c5z -5.43447
1o5b -5.85164
1owh -7.62672
1sqa -7.96068
4jsz -3.99230
3kwa -2.63606
2weg -5.20961
3ryj -6.01195
3dd0 -5.61861
2xdl -6.42243
3b27 -6.89202
1yc1 -9.88240
3rlr -8.65893
2yki -15.31394
1z95 -10.10188
3b68 -10.55746
3b5r -10.01912
3b65 -9.89911
3g0w -10.34908
4u4s -5.46635
1p1q -5.00246
1syi -8.99811
1p1n -7.19098
2al5 -8.76097
3g2z -3.97885
3g31 -3.08331
4de2 -7.85909
4de3 -8.31906
4de1 -8.30867
1vso -5.82097
4dld -7.33706
3gbb -8.49080
3fv2 -10.59394
3fv1 -10.27761
4mgd -8.12436
2qe4 -9.58265
1qkt -9.74337
2pog -10.08914
2p15 -14.43664
2y5h -7.65076
1lpg -7.99696
2xbv -10.98765
1z6e -10.91401
1mq6 -9.30094
1nc3 -10.08449
1nc1 -8.08257
1y6r -10.03746
4f2w -9.18946
4f3c -9.03816
1uto -4.29303
4abg -5.67228
3gy4 -6.11244
1k1i -7.76642
1o3f -8.02730
2yge -9.45685
2fxs -5.80801
2iwx -9.14081
2wer -9.13004
2vw5 -10.32219
4kzq -11.10301
4kzu -11.34962
4j21 -11.98481
4j3l -10.75095
3kr8 -11.38582
2ymd -7.21442
2wnc -7.57122
2xys -10.58709
2wn9 -7.19593
2x00 -13.32288
3ozt -10.96803
3ozs -10.30199
3oe5 -10.05004
3oe4 -10.39873
3nw9 -11.84012
3ao4 -6.18876
3zt2 -9.34966
3zsx -7.38669
4cig -7.60560
3zso -8.02909
3n7a -7.73348
4ciw -8.27786
3n86 -11.66458
3n76 -10.94906
2xb8 -10.35741
4bkt -6.22164
4w9c -7.47373
4w9l -8.14309
4w9i -8.51793
4w9h -8.13931
3nq9 -2.77057
3ueu -4.68102
3uev -5.07656
3uew -5.01695
3uex -5.30264
3lka -5.40258
3ehy -5.56910
3tsk -7.93842
3nx7 -5.72169
4gr0 -9.87239
3dxg -4.80211
3d6q -5.10220
1w4o -5.50194
1o0h -6.57577
1u1b -7.62421
