#code  score
4llx 4.74215
5c28 4.96423
3uuo 6.33972
3ui7 6.72169
5c2h 7.48128
2v00 5.40118
3wz8 6.94479
3pww 8.29798
3prs 8.77157
3uri 8.78576
4m0z 6.92788
4m0y 6.06855
3qgy 7.07861
4qd6 6.12352
4rfm 7.38083
4cr9 5.09206
4cra 7.15161
4x6p 7.97331
4crc 7.65357
4ty7 7.39616
5aba 5.14747
5a7b 5.99477
4agn 5.46040
4agp 6.17034
4agq 6.39290
3bgz 6.73707
3jya 6.40196
2c3i 6.89324
4k18 7.09368
5dwr 8.25432
3mss 4.60845
3k5v 6.37934
3pyy 6.17521
2v7a 7.79208
4twp 7.17637
3wtj 6.42294
3zdg 5.73581
3u8k 6.53457
4qac 7.28810
3u8n 6.98868
1a30 4.95038
2qnq 8.44012
1g2k 8.74279
1eby 8.68453
3o9i 8.86286
4lzs 5.25829
3u5j 6.23027
4wiv 6.03869
4ogj 7.11486
3p5o 6.81993
1ps3 5.34501
3dx1 4.92116
3d4z 5.42551
3dx2 5.48282
3ejr 6.26847
3l7b 5.71916
4eky 6.07780
3g2n 5.89754
3syr 6.31683
3ebp 5.40322
2w66 5.36018
2w4x 4.86594
2wca 5.67120
2xj7 5.88780
2vvn 5.78903
3aru 5.07891
3arv 5.19663
3ary 4.68708
3arq 5.28589
3arp 6.35455
4ih5 5.28315
4ih7 5.72051
3cj4 5.92365
4eo8 6.56550
3gnw 8.28605
1gpk 6.22842
1gpn 6.18892
1h23 7.69973
1h22 7.56574
1e66 7.30916
3f3a 5.41929
3f3c 5.68147
4mme 6.19863
3f3d 5.51138
3f3e 5.41708
2wbg 6.20769
2cbv 4.58807
2j78 5.16745
2j7h 5.21484
2cet 6.54971
3udh 5.20511
3rsx 5.24434
4djv 6.92332
2vkm 8.01530
4gid 8.50922
4jfs 5.73006
4j28 5.79913
2wvt 5.25981
2xii 6.53955
4pcs 5.91841
3rr4 6.20210
1s38 6.10429
1r5y 5.90083
3gc5 7.42464
3ge7 7.73338
4dli 6.21654
2zb1 6.74248
4f9w 7.22590
3e92 7.14740
3e93 7.78747
4owm 4.00847
3twp 3.44564
3r88 4.39697
4gkm 5.30614
3qqs 5.53681
3gv9 4.20579
3gr2 4.00637
4kz6 4.46581
4jxs 5.26006
2r9w 5.23058
2hb1 4.81545
1bzc 4.99862
2qbr 6.27819
2qbq 6.54322
2qbp 6.61081
1q8t 5.96623
1ydr 6.17270
1q8u 6.59262
1ydt 7.41243
3ag9 6.85065
3fcq 4.29443
1z9g 5.47518
1qf1 7.07378
5tmn 6.46488
4tmn 6.82519
4ddk 4.61200
4ddh 5.20184
3ivg 6.43319
3coz 7.18881
3coy 7.51513
3pxf 5.16373
4eor 7.37352
2xnb 7.55042
1pxn 7.15475
2fvd 7.71479
4k77 6.22514
4e5w 7.57839
4ivb 7.43542
4ivd 7.49072
4ivc 7.72667
4f09 6.82639
4gfm 6.24684
4hge 7.42731
4e6q 7.26471
4jia 6.76635
2brb 6.44149
2br1 6.52544
3jvr 5.72242
3jvs 5.33571
1nvq 8.17691
3acw 6.36151
4ea2 6.89983
2zcr 6.20529
2zy1 6.27441
2zcq 6.15493
1bcu 5.15344
3bv9 7.95479
1oyt 6.85018
2zda 7.07744
3utu 8.45728
3u9q 5.42774
2yfe 6.36862
3fur 8.29970
3b1m 6.89998
2p4y 8.55553
3uo4 7.10771
3up2 7.16297
3e5a 7.41830
2wtv 8.08588
3myg 7.34489
3kgp 4.27986
1c5z 4.84370
1o5b 5.68116
1owh 5.61298
1sqa 6.60058
4jsz 3.19308
3kwa 4.68573
2weg 5.13463
3ryj 5.51970
3dd0 5.82074
2xdl 5.53806
3b27 6.00152
1yc1 6.57108
3rlr 7.06521
2yki 8.21693
1z95 7.52044
3b68 7.41720
3b5r 7.81912
3b65 7.62075
3g0w 7.64757
4u4s 5.13148
1p1q 4.80959
1syi 6.25296
1p1n 5.19518
2al5 6.08112
3g2z 4.07640
3g31 3.58625
4de2 5.74601
4de3 5.66249
4de1 5.63662
1vso 5.20746
4dld 5.70071
3gbb 5.84617
3fv2 5.79324
3fv1 6.32957
4mgd 7.06567
2qe4 6.85226
1qkt 6.61791
2pog 6.78490
2p15 8.70858
2y5h 7.09251
1lpg 6.71945
2xbv 7.62256
1z6e 8.36107
1mq6 8.00787
1nc3 6.89710
1nc1 6.54147
1y6r 7.56451
4f2w 7.78241
4f3c 8.10332
1uto 4.38315
4abg 5.25747
3gy4 4.89972
1k1i 6.82286
1o3f 6.13820
2yge 7.14404
2fxs 5.52641
2iwx 6.31486
2wer 5.92205
2vw5 7.53817
4kzq 5.67719
4kzu 5.93543
4j21 6.36713
4j3l 6.41919
3kr8 6.49185
2ymd 5.37856
2wnc 5.78651
2xys 6.51979
2wn9 5.88023
2x00 7.81900
3ozt 6.37622
3ozs 6.33685
3oe5 6.40428
3oe4 6.34434
3nw9 6.85940
3ao4 5.19583
3zt2 5.44845
3zsx 6.07437
4cig 6.46588
3zso 7.14963
3n7a 5.21776
4ciw 5.45769
3n86 6.82122
3n76 6.46628
2xb8 6.20062
4bkt 4.85739
4w9c 5.98052
4w9l 7.02067
4w9i 6.36981
4w9h 6.44602
3nq9 3.95388
3ueu 5.32430
3uev 5.79312
3uew 5.65171
3uex 6.04572
3lka 4.11668
3ehy 4.56136
3tsk 6.59401
3nx7 5.05307
4gr0 7.32613
3dxg 4.12289
3d6q 4.59260
1w4o 4.62428
1o0h 5.30176
1u1b 6.67618
