score,model,opt,metric,cilow,cihigh
Affinity,crossdock_default2018,noopt,0.584,0.5159,0.6415
CNNscore,crossdock_default2018,noopt,0.412,0.3292,0.4818
CNNaffinity,crossdock_default2018,noopt,0.742,0.6969,0.7779
Affinity,default,noopt,0.584,0.5161,0.6433
CNNscore,default,noopt,0.320,0.2214,0.4052
CNNaffinity,default,noopt,0.798,0.7527,0.8326
Affinity,dense,noopt,0.584,0.5163,0.6423
CNNscore,dense,noopt,0.147,0.0549,0.2363
CNNaffinity,dense,noopt,0.790,0.7517,0.8221
Affinity,general_default2018,noopt,0.584,0.5153,0.6414
CNNscore,general_default2018,noopt,0.238,0.1481,0.3191
CNNaffinity,general_default2018,noopt,0.825,0.7905,0.8525
Affinity,redock_default2018,noopt,0.584,0.5156,0.6420
CNNscore,redock_default2018,noopt,0.394,0.3101,0.4650
CNNaffinity,redock_default2018,noopt,0.753,0.7114,0.7908
Affinity,crossdock_default2018,amberopt,0.557,0.4850,0.6182
CNNscore,crossdock_default2018,amberopt,0.369,0.2716,0.4498
CNNaffinity,crossdock_default2018,amberopt,0.729,0.6831,0.7675
Affinity,default,amberopt,0.557,0.4837,0.6207
CNNscore,default,amberopt,0.302,0.1979,0.3882
CNNaffinity,default,amberopt,0.792,0.7481,0.8278
Affinity,dense,amberopt,0.557,0.4833,0.6181
CNNscore,dense,amberopt,0.146,0.0522,0.2403
CNNaffinity,dense,amberopt,0.781,0.7414,0.8147
Affinity,general_default2018,amberopt,0.557,0.4838,0.6185
CNNscore,general_default2018,amberopt,0.235,0.1485,0.3170
CNNaffinity,general_default2018,amberopt,0.820,0.7835,0.8487
Affinity,redock_default2018,amberopt,0.557,0.4841,0.6189
CNNscore,redock_default2018,amberopt,0.289,0.1804,0.3813
CNNaffinity,redock_default2018,amberopt,0.727,0.6768,0.7681
Affinity,crossdock_default2018,vinaopt,0.592,0.5226,0.6495
CNNscore,crossdock_default2018,vinaopt,0.419,0.3420,0.4842
CNNaffinity,crossdock_default2018,vinaopt,0.746,0.6993,0.7811
Affinity,default,vinaopt,0.592,0.5267,0.6504
CNNscore,default,vinaopt,0.288,0.1895,0.3756
CNNaffinity,default,vinaopt,0.794,0.7498,0.8294
Affinity,dense,vinaopt,0.592,0.5242,0.6496
CNNscore,dense,vinaopt,0.311,0.2418,0.3794
CNNaffinity,dense,vinaopt,0.806,0.7679,0.8369
Affinity,general_default2018,vinaopt,0.592,0.5222,0.6499
CNNscore,general_default2018,vinaopt,0.232,0.1405,0.3144
CNNaffinity,general_default2018,vinaopt,0.826,0.7927,0.8534
Affinity,redock_default2018,vinaopt,0.592,0.5248,0.6500
CNNscore,redock_default2018,vinaopt,0.434,0.3660,0.4982
CNNaffinity,redock_default2018,vinaopt,0.755,0.7107,0.7914
