score,model,opt,metric,cilow,cihigh
Affinity,crossdock_default2018,noopt,0.512,0.4123,0.5965
CNNscore,crossdock_default2018,noopt,0.377,0.2456,0.4825
CNNaffinity,crossdock_default2018,noopt,0.646,0.5544,0.7158
Affinity,default,noopt,0.512,0.414,0.600
CNNscore,default,noopt,0.318,0.1912,0.4246
CNNaffinity,default,noopt,0.637,0.5480,0.7035
Affinity,dense,noopt,0.512,0.4123,0.5965
CNNscore,dense,noopt,0.216,0.0959,0.3243
CNNaffinity,dense,noopt,0.642,0.5404,0.7140
Affinity,general_default2018,noopt,0.512,0.4105,0.5947
CNNscore,general_default2018,noopt,0.318,0.1947,0.4281
CNNaffinity,general_default2018,noopt,0.716,0.6193,0.7754
Affinity,redock_default2018,noopt,0.512,0.4105,0.5965
CNNscore,redock_default2018,noopt,0.416,0.2947,0.5228
CNNaffinity,redock_default2018,noopt,0.693,0.5982,0.7561
Affinity,crossdock_default2018,amberopt,0.477,0.3684,0.5719
CNNscore,crossdock_default2018,amberopt,0.340,0.2211,0.4421
CNNaffinity,crossdock_default2018,amberopt,0.625,0.5246,0.6965
Affinity,default,amberopt,0.477,0.3719,0.5684
CNNscore,default,amberopt,0.275,0.1614,0.3777
CNNaffinity,default,amberopt,0.616,0.5263,0.6842
Affinity,dense,amberopt,0.477,0.3684,0.5684
CNNscore,dense,amberopt,0.323,0.1930,0.4281
CNNaffinity,dense,amberopt,0.628,0.5228,0.7018
Affinity,general_default2018,amberopt,0.477,0.3702,0.5702
CNNscore,general_default2018,amberopt,0.323,0.1965,0.4281
CNNaffinity,general_default2018,amberopt,0.698,0.6018,0.7632
Affinity,redock_default2018,amberopt,0.477,0.3702,0.5684
CNNscore,redock_default2018,amberopt,0.323,0.2053,0.4263
CNNaffinity,redock_default2018,amberopt,0.644,0.5561,0.7105
Affinity,crossdock_default2018,vinaopt,0.507,0.4088,0.5912
CNNscore,crossdock_default2018,vinaopt,0.414,0.2860,0.5158
CNNaffinity,crossdock_default2018,vinaopt,0.654,0.5632,0.7246
Affinity,default,vinaopt,0.507,0.4070,0.5912
CNNscore,default,vinaopt,0.284,0.1807,0.3754
CNNaffinity,default,vinaopt,0.632,0.5439,0.7000
Affinity,dense,vinaopt,0.507,0.4070,0.5912
CNNscore,dense,vinaopt,0.335,0.2102,0.4419
CNNaffinity,dense,vinaopt,0.670,0.5737,0.7333
Affinity,general_default2018,vinaopt,0.507,0.4070,0.5895
CNNscore,general_default2018,vinaopt,0.314,0.1912,0.4175
CNNaffinity,general_default2018,vinaopt,0.714,0.6246,0.7737
Affinity,redock_default2018,vinaopt,0.507,0.4053,0.5912
CNNscore,redock_default2018,vinaopt,0.467,0.3491,0.5596
CNNaffinity,redock_default2018,vinaopt,0.695,0.6070,0.7544
