     code  logKa    score
1    4llx   2.89  4.96191
2    5c28   5.66  5.26623
3    3uuo   7.96  6.56617
4    3ui7   9.00  6.85469
5    5c2h  11.09  7.57361
6    2v00   3.66  5.87296
7    3wz8   5.82  7.32582
8    3pww   7.32  8.95160
9    3prs   7.82  9.07716
10   3uri   9.00  9.04175
11   4m0z   5.19  7.48869
12   4m0y   6.46  6.45034
13   3qgy   7.80  7.68190
14   4qd6   8.64  6.89873
15   4rfm  10.05  7.79570
16   4cr9   4.10  5.52103
17   4cra   7.22  7.14037
18   4x6p   8.30  7.89297
19   4crc   8.72  7.56466
20   4ty7   9.52  7.29390
21   5aba   2.98  5.11910
22   5a7b   3.57  6.06456
23   4agn   3.97  5.65185
24   4agp   4.69  6.21892
25   4agq   5.01  6.35529
26   3bgz   6.26  7.09623
27   3jya   6.89  7.05103
28   2c3i   7.60  6.92747
29   4k18   8.96  7.57250
30   5dwr  11.22  8.69744
31   3mss   4.66  4.72814
32   3k5v   6.30  6.54071
33   3pyy   6.86  6.50258
34   2v7a   8.30  7.84957
35   4twp  10.00  7.81996
36   3wtj   6.53  6.63582
37   3zdg   7.10  5.51421
38   3u8k   8.66  6.75221
39   4qac   9.40  7.58500
40   3u8n  10.17  7.16074
41   1a30   4.30  5.72993
42   2qnq   6.11  9.21428
43   1g2k   7.96  8.86555
44   1eby   9.70  8.45324
45   3o9i  11.82  8.84648
46   4lzs   4.80  5.43054
47   3u5j   5.61  6.23211
48   4wiv   6.26  6.07254
49   4ogj   6.79  7.22146
50   3p5o   7.30  7.05941
51   1ps3   2.28  5.55283
52   3dx1   3.58  4.94239
53   3d4z   4.89  5.42389
54   3dx2   6.82  5.67293
55   3ejr   8.57  6.46433
56   3l7b   2.40  5.22303
57   4eky   3.52  6.50955
58   3g2n   4.09  5.56867
59   3syr   5.10  5.97053
60   3ebp   5.91  5.78040
61   2w66   4.05  5.72720
62   2w4x   4.85  4.79552
63   2wca   5.60  5.77382
64   2xj7   6.66  6.04543
65   2vvn   7.30  6.13077
66   3aru   3.22  5.05403
67   3arv   5.64  5.28896
68   3ary   6.00  4.64616
69   3arq   6.40  5.86027
70   3arp   7.15  6.11226
71   4ih5   4.11  5.24685
72   4ih7   5.24  5.81338
73   3cj4   6.51  5.91411
74   4eo8   8.15  6.49765
75   3gnw   9.10  8.32304
76   1gpk   5.37  6.47810
77   1gpn   6.48  6.33367
78   1h23   8.35  7.44650
79   1h22   9.10  7.38225
80   1e66   9.89  7.27329
81   3f3a   4.19  5.78348
82   3f3c   6.02  5.70809
83   4mme   6.50  6.84467
84   3f3d   7.16  5.59328
85   3f3e   7.70  5.35291
86   2wbg   4.45  6.40728
87   2cbv   5.48  5.37451
88   2j78   6.42  5.60744
89   2j7h   7.19  5.24915
90   2cet   8.02  6.76599
91   3udh   2.85  5.69417
92   3rsx   4.41  5.44382
93   4djv   6.72  7.14172
94   2vkm   8.74  8.74707
95   4gid  10.77  9.20415
96   4jfs   5.27  5.66498
97   4j28   5.70  5.58714
98   2wvt   6.12  5.32403
99   2xii   7.20  6.68881
100  4pcs   7.85  5.64699
101  3rr4   4.55  6.49761
102  1s38   5.15  6.50354
103  1r5y   6.46  6.42079
104  3gc5   7.26  8.02200
105  3ge7   8.70  8.20751
106  4dli   5.62  6.17481
107  2zb1   6.32  7.07155
108  4f9w   6.94  7.36829
109  3e92   8.00  7.43428
110  3e93   8.85  7.86573
111  4owm   2.96  3.94405
112  3twp   3.92  3.48232
113  3r88   4.82  4.45475
114  4gkm   5.17  5.34365
115  3qqs   5.82  5.28451
116  3gv9   2.12  4.57867
117  3gr2   2.52  3.98887
118  4kz6   3.10  4.84296
119  4jxs   4.74  5.45895
120  2r9w   5.10  5.58174
121  2hb1   3.80  4.59349
122  1bzc   4.92  5.17877
123  2qbr   6.33  6.06780
124  2qbq   7.44  6.15145
125  2qbp   8.40  6.25851
126  1q8t   4.76  6.29178
127  1ydr   5.52  6.92935
128  1q8u   5.96  7.08646
129  1ydt   7.32  7.87394
130  3ag9   8.05  6.50870
131  3fcq   2.77  4.17263
132  1z9g   5.64  5.54125
133  1qf1   7.32  7.00997
134  5tmn   8.04  6.02336
135  4tmn  10.17  6.64624
136  4ddk   2.29  4.41534
137  4ddh   3.32  5.17819
138  3ivg   4.30  6.84365
139  3coz   5.57  6.99514
140  3coy   6.02  7.27617
141  3pxf   4.43  5.38853
142  4eor   6.30  7.82482
143  2xnb   6.83  8.13599
144  1pxn   7.15  7.73183
145  2fvd   8.52  8.14592
146  4k77   6.63  6.90976
147  4e5w   7.66  7.91910
148  4ivb   8.72  7.73612
149  4ivd   9.52  7.87524
150  4ivc  10.00  7.96413
151  4f09   6.70  7.30894
152  4gfm   7.22  6.55528
153  4hge   7.92  7.65538
154  4e6q   8.36  7.20220
155  4jia   9.22  6.98768
156  2brb   4.86  6.66361
157  2br1   5.14  6.92727
158  3jvr   5.72  5.83877
159  3jvs   6.54  5.60775
160  1nvq   8.25  8.31588
161  3acw   4.76  6.33964
162  4ea2   6.44  6.89725
163  2zcr   6.87  6.15455
164  2zy1   7.40  6.45749
165  2zcq   8.82  5.77538
166  1bcu   3.28  5.45707
167  3bv9   5.36  7.91438
168  1oyt   7.24  6.95870
169  2zda   8.40  7.26094
170  3utu  10.92  8.84640
171  3u9q   4.38  5.06502
172  2yfe   6.63  6.51398
173  3fur   8.00  8.73629
174  3b1m   8.48  7.23747
175  2p4y   9.00  8.70939
176  3uo4   6.52  7.53748
177  3up2   7.40  7.50420
178  3e5a   8.23  7.66538
179  2wtv   8.74  8.26192
180  3myg  10.70  7.46353
181  3kgp   2.57  4.94099
182  1c5z   4.01  5.17912
183  1o5b   5.77  6.23856
184  1owh   7.40  5.63591
185  1sqa   9.21  6.65636
186  4jsz   2.30  3.30383
187  3kwa   4.08  4.29487
188  2weg   6.50  5.43666
189  3ryj   7.80  5.58396
190  3dd0   9.00  6.05813
191  2xdl   3.10  5.65594
192  3b27   5.16  6.21474
193  1yc1   6.17  7.00972
194  3rlr   7.52  7.55468
195  2yki   9.46  8.29095
196  1z95   7.12  7.56489
197  3b68   8.40  7.63743
198  3b5r   8.77  8.13406
199  3b65   9.27  7.59788
200  3g0w   9.52  7.85702
201  4u4s   2.92  5.61519
202  1p1q   4.89  6.05600
203  1syi   5.44  6.63974
204  1p1n   6.80  5.77311
205  2al5   8.40  6.47787
206  3g2z   2.36  4.26368
207  3g31   2.89  4.05459
208  4de2   4.12  5.55608
209  4de3   5.52  5.76197
210  4de1   5.96  5.67532
211  1vso   4.72  5.52748
212  4dld   5.82  6.49304
213  3gbb   6.90  6.22062
214  3fv2   8.11  6.16256
215  3fv1   9.30  6.62174
216  4mgd   4.69  7.33987
217  2qe4   7.96  7.03327
218  1qkt   9.04  6.79384
219  2pog   9.54  6.94725
220  2p15  10.30  8.85923
221  2y5h   5.79  7.21584
222  1lpg   7.09  7.15743
223  2xbv   8.43  7.55778
224  1z6e   9.72  8.09166
225  1mq6  11.15  7.94735
226  1nc3   5.00  6.86570
227  1nc1   6.12  7.01320
228  1y6r  10.11  7.72599
229  4f2w  11.30  7.72069
230  4f3c  11.82  7.96778
231  1uto   2.27  4.85477
232  4abg   3.57  5.39592
233  3gy4   5.10  5.16463
234  1k1i   6.58  7.32981
235  1o3f   7.96  6.44437
236  2yge   5.06  7.43831
237  2fxs   6.06  5.95135
238  2iwx   6.68  6.59113
239  2wer   7.05  6.54477
240  2vw5   8.52  7.52891
241  4kzq   6.10  6.11544
242  4kzu   6.50  6.29751
243  4j21   7.41  6.65548
244  4j3l   7.80  6.86261
245  3kr8   8.10  6.86819
246  2ymd   3.16  5.76729
247  2wnc   6.32  6.14121
248  2xys   7.42  6.81642
249  2wn9   8.52  6.05612
250  2x00  11.33  8.00997
251  3ozt   4.13  6.41027
252  3ozs   5.33  6.48461
253  3oe5   6.88  6.41705
254  3oe4   7.47  6.47303
255  3nw9   9.00  6.96582
256  3ao4   2.07  5.43167
257  3zt2   2.84  5.64942
258  3zsx   3.28  6.12991
259  4cig   3.67  6.52831
260  3zso   5.12  7.04100
261  3n7a   3.70  4.60370
262  4ciw   4.82  5.07498
263  3n86   5.64  6.37634
264  3n76   6.85  5.92881
265  2xb8   7.59  6.02552
266  4bkt   3.62  5.14184
267  4w9c   4.65  6.25559
268  4w9l   5.02  7.15333
269  4w9i   5.96  6.67459
270  4w9h   6.73  6.82363
271  3nq9   4.03  4.11460
272  3ueu   5.24  5.55379
273  3uev   5.89  5.83978
274  3uew   6.31  5.69665
275  3uex   6.92  6.15640
276  3lka   2.82  4.32385
277  3ehy   5.85  4.73908
278  3tsk   7.17  7.22356
279  3nx7   8.10  5.47816
280  4gr0   9.55  7.40316
281  3dxg   2.40  4.48645
282  3d6q   3.76  4.71150
283  1w4o   5.22  4.46263
284  1o0h   5.92  5.06730
285  1u1b   7.80  6.30549

Summary of the scoring power: ===================================
The regression equation: logKa = 1.37 + -2.35 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.729
Standard deviation in fitting (SD) = 1.49
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("analysis/outputs/scoring/amberopt/crossdock_default2018_CNNaffinity_processed_score",header=FALSE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285)
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("analysis/outputs/scoring/amberopt/crossdock_default2018_CNNaffinity-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
