     code  logKa    score
1    4llx   2.89  0.91549
2    5c28   5.66  0.78162
3    3uuo   7.96  0.90343
4    3ui7   9.00  0.92856
5    5c2h  11.09  0.96822
6    2v00   3.66  0.79646
7    3wz8   5.82  0.83582
8    3pww   7.32  0.98891
9    3prs   7.82  0.97533
10   3uri   9.00  0.97156
11   4m0z   5.19  0.97463
12   4m0y   6.46  0.95616
13   3qgy   7.80  0.94983
14   4qd6   8.64  0.86184
15   4rfm  10.05  0.97667
16   4cr9   4.10  0.96175
17   4cra   7.22  0.93461
18   4x6p   8.30  0.89917
19   4crc   8.72  0.92274
20   4ty7   9.52  0.76911
21   5aba   2.98  0.69692
22   5a7b   3.57  0.81762
23   4agn   3.97  0.87400
24   4agp   4.69  0.88831
25   4agq   5.01  0.91293
26   3bgz   6.26  0.95907
27   3jya   6.89  0.94346
28   2c3i   7.60  0.85707
29   4k18   8.96  0.88059
30   5dwr  11.22  0.97244
31   3mss   4.66  0.78341
32   3k5v   6.30  0.90113
33   3pyy   6.86  0.94269
34   2v7a   8.30  0.99455
35   4twp  10.00  0.96942
36   3wtj   6.53  0.90521
37   3zdg   7.10  0.92121
38   3u8k   8.66  0.98978
39   4qac   9.40  0.96177
40   3u8n  10.17  0.99052
41   1a30   4.30  0.41673
42   2qnq   6.11  0.96319
43   1g2k   7.96  0.99405
44   1eby   9.70  0.98999
45   3o9i  11.82  0.98751
46   4lzs   4.80  0.95655
47   3u5j   5.61  0.86436
48   4wiv   6.26  0.79094
49   4ogj   6.79  0.64273
50   3p5o   7.30  0.95218
51   1ps3   2.28  0.96891
52   3dx1   3.58  0.95303
53   3d4z   4.89  0.96939
54   3dx2   6.82  0.98166
55   3ejr   8.57  0.95854
56   3l7b   2.40  0.33693
57   4eky   3.52  0.82741
58   3g2n   4.09  0.78560
59   3syr   5.10  0.82168
60   3ebp   5.91  0.53415
61   2w66   4.05  0.97511
62   2w4x   4.85  0.86917
63   2wca   5.60  0.96773
64   2xj7   6.66  0.98631
65   2vvn   7.30  0.98520
66   3aru   3.22  0.93282
67   3arv   5.64  0.69388
68   3ary   6.00  0.86651
69   3arq   6.40  0.78181
70   3arp   7.15  0.80066
71   4ih5   4.11  0.35244
72   4ih7   5.24  0.86287
73   3cj4   6.51  0.84282
74   4eo8   8.15  0.83572
75   3gnw   9.10  0.98316
76   1gpk   5.37  0.91207
77   1gpn   6.48  0.76804
78   1h23   8.35  0.84912
79   1h22   9.10  0.91659
80   1e66   9.89  0.93277
81   3f3a   4.19  0.83906
82   3f3c   6.02  0.83123
83   4mme   6.50  0.95280
84   3f3d   7.16  0.95567
85   3f3e   7.70  0.91730
86   2wbg   4.45  0.99212
87   2cbv   5.48  0.92323
88   2j78   6.42  0.96451
89   2j7h   7.19  0.96319
90   2cet   8.02  0.93728
91   3udh   2.85  0.97965
92   3rsx   4.41  0.83199
93   4djv   6.72  0.95818
94   2vkm   8.74  0.95696
95   4gid  10.77  0.99498
96   4jfs   5.27  0.96285
97   4j28   5.70  0.93202
98   2wvt   6.12  0.98188
99   2xii   7.20  0.99322
100  4pcs   7.85  0.97361
101  3rr4   4.55  0.96254
102  1s38   5.15  0.98726
103  1r5y   6.46  0.98450
104  3gc5   7.26  0.99911
105  3ge7   8.70  0.99836
106  4dli   5.62  0.67833
107  2zb1   6.32  0.90578
108  4f9w   6.94  0.97502
109  3e92   8.00  0.96335
110  3e93   8.85  0.96513
111  4owm   2.96  0.82825
112  3twp   3.92  0.81547
113  3r88   4.82  0.90233
114  4gkm   5.17  0.77331
115  3qqs   5.82  0.76912
116  3gv9   2.12  0.71193
117  3gr2   2.52  0.41594
118  4kz6   3.10  0.80670
119  4jxs   4.74  0.72662
120  2r9w   5.10  0.72529
121  2hb1   3.80  0.57016
122  1bzc   4.92  0.80368
123  2qbr   6.33  0.72519
124  2qbq   7.44  0.61280
125  2qbp   8.40  0.73058
126  1q8t   4.76  0.80836
127  1ydr   5.52  0.95818
128  1q8u   5.96  0.93472
129  1ydt   7.32  0.96999
130  3ag9   8.05  0.80397
131  3fcq   2.77  0.29868
132  1z9g   5.64  0.83522
133  1qf1   7.32  0.96403
134  5tmn   8.04  0.42264
135  4tmn  10.17  0.48305
136  4ddk   2.29  0.86298
137  4ddh   3.32  0.83061
138  3ivg   4.30  0.88005
139  3coz   5.57  0.94953
140  3coy   6.02  0.97455
141  3pxf   4.43  0.42630
142  4eor   6.30  0.98384
143  2xnb   6.83  0.99592
144  1pxn   7.15  0.99318
145  2fvd   8.52  0.99611
146  4k77   6.63  0.97823
147  4e5w   7.66  0.98785
148  4ivb   8.72  0.99486
149  4ivd   9.52  0.99232
150  4ivc  10.00  0.99592
151  4f09   6.70  0.99322
