     code  logKa     score
1    4llx   2.89   5.14112
2    5c28   5.66   5.79614
3    3uuo   7.96   7.88801
4    3ui7   9.00   8.04720
5    5c2h  11.09   9.75765
6    2v00   3.66   7.49633
7    3wz8   5.82   8.98749
8    3pww   7.32  10.96622
9    3prs   7.82   8.90160
10   3uri   9.00   7.00054
11   4m0z   5.19  10.82694
12   4m0y   6.46   7.20528
13   3qgy   7.80   8.82705
14   4qd6   8.64   6.91227
15   4rfm  10.05  11.35013
16   4cr9   4.10   6.14590
17   4cra   7.22  10.10506
18   4x6p   8.30  10.74311
19   4crc   8.72   9.67762
20   4ty7   9.52   9.73658
21   5aba   2.98   5.57451
22   5a7b   3.57   6.66591
23   4agn   3.97   5.89909
24   4agp   4.69   6.45969
25   4agq   5.01   6.67511
26   3bgz   6.26  10.65125
27   3jya   6.89   7.82707
28   2c3i   7.60   8.25911
29   4k18   8.96   9.66516
30   5dwr  11.22  10.93662
31   3mss   4.66   6.05891
32   3k5v   6.30   8.57240
33   3pyy   6.86   8.77736
34   2v7a   8.30   9.45974
35   4twp  10.00  10.32571
36   3wtj   6.53   6.54100
37   3zdg   7.10   4.77233
38   3u8k   8.66   6.99087
39   4qac   9.40  11.20041
40   3u8n  10.17   6.76437
41   1a30   4.30   5.18801
42   2qnq   6.11  10.46203
43   1g2k   7.96  12.00743
44   1eby   9.70  12.62076
45   3o9i  11.82   9.90734
46   4lzs   4.80   6.28829
47   3u5j   5.61   8.70058
48   4wiv   6.26   7.49392
49   4ogj   6.79   6.27499
50   3p5o   7.30   8.72952
51   1ps3   2.28   8.09508
52   3dx1   3.58   5.78188
53   3d4z   4.89   7.79289
54   3dx2   6.82   5.70475
55   3ejr   8.57   7.88323
56   3l7b   2.40   9.29831
57   4eky   3.52  10.78543
58   3g2n   4.09   9.53672
59   3syr   5.10  10.75956
60   3ebp   5.91   9.92148
61   2w66   4.05   7.50449
62   2w4x   4.85   7.02250
63   2wca   5.60   7.09396
64   2xj7   6.66   8.71531
65   2vvn   7.30   7.15230
66   3aru   3.22   5.23703
67   3arv   5.64   9.38085
68   3ary   6.00   6.16778
69   3arq   6.40  10.56924
70   3arp   7.15   9.21187
71   4ih5   4.11   5.70873
72   4ih7   5.24   6.82948
73   3cj4   6.51   6.49622
74   4eo8   8.15   7.38737
75   3gnw   9.10  12.11667
76   1gpk   5.37  10.65235
77   1gpn   6.48  10.06856
78   1h23   8.35   9.60943
79   1h22   9.10   9.77154
80   1e66   9.89  12.31397
81   3f3a   4.19   6.80983
82   3f3c   6.02   7.22204
83   4mme   6.50  10.53621
84   3f3d   7.16   4.92819
85   3f3e   7.70   6.10184
86   2wbg   4.45   8.29297
87   2cbv   5.48   7.41031
88   2j78   6.42   6.96772
89   2j7h   7.19   5.75682
90   2cet   8.02   8.28116
91   3udh   2.85   7.07843
92   3rsx   4.41   7.64899
93   4djv   6.72   9.07273
94   2vkm   8.74  10.67884
95   4gid  10.77  11.35798
96   4jfs   5.27   6.69631
97   4j28   5.70   6.44152
98   2wvt   6.12   5.82580
99   2xii   7.20   9.74628
100  4pcs   7.85   6.57904
101  3rr4   4.55   7.13346
102  1s38   5.15   8.14833
103  1r5y   6.46   7.27908
104  3gc5   7.26   9.12660
105  3ge7   8.70  10.23255
106  4dli   5.62   9.51693
107  2zb1   6.32  10.88492
108  4f9w   6.94  10.26287
109  3e92   8.00  12.99848
110  3e93   8.85  13.48712
111  4owm   2.96   4.20140
112  3twp   3.92   4.60302
113  3r88   4.82   4.63453
114  4gkm   5.17   7.72349
115  3qqs   5.82   6.91552
116  3gv9   2.12   4.10244
117  3gr2   2.52   4.00597
118  4kz6   3.10   5.15589
119  4jxs   4.74   6.57655
120  2r9w   5.10   7.68796
121  2hb1   3.80   5.12455
122  1bzc   4.92   8.54508
123  2qbr   6.33   7.05465
124  2qbq   7.44   7.54849
125  2qbp   8.40   8.18506
126  1q8t   4.76   6.97554
127  1ydr   5.52   8.20466
128  1q8u   5.96   8.25629
129  1ydt   7.32   8.48827
130  3ag9   8.05   5.19325
131  3fcq   2.77   3.52824
132  1z9g   5.64   4.39675
133  1qf1   7.32   6.69648
134  5tmn   8.04   5.82808
135  4tmn  10.17   7.08657
136  4ddk   2.29   4.94441
137  4ddh   3.32   5.90451
138  3ivg   4.30   9.01110
139  3coz   5.57  10.15945
140  3coy   6.02  10.65986
141  3pxf   4.43   5.52937
142  4eor   6.30   8.97520
143  2xnb   6.83   9.93886
144  1pxn   7.15   9.26132
145  2fvd   8.52   9.10314
146  4k77   6.63   7.64299
147  4e5w   7.66  10.24510
148  4ivb   8.72   9.55008
149  4ivd   9.52   8.91438
150  4ivc  10.00   9.60188
151  4f09   6.70   8.27408
152  4gfm   7.22   7.12976
153  4hge   7.92   8.90737
154  4e6q   8.36   8.99764
155  4jia   9.22   8.76962
156  2brb   4.86   7.69277
157  2br1   5.14   7.78858
158  3jvr   5.72   7.54104
159  3jvs   6.54   7.26867
160  1nvq   8.25  13.70576
161  3acw   4.76  10.35629
162  4ea2   6.44   6.73634
163  2zcr   6.87   7.15625
164  2zy1   7.40   8.70809
165  2zcq   8.82   6.20376
166  1bcu   3.28   7.36191
167  3bv9   5.36   8.16700
168  1oyt   7.24  10.44634
169  2zda   8.40   9.56635
170  3utu  10.92   9.34561
171  3u9q   4.38   4.76306
172  2yfe   6.63   7.92963
173  3fur   8.00  11.17484
174  3b1m   8.48  11.14485
175  2p4y   9.00  11.39140
176  3uo4   6.52   9.26238
177  3up2   7.40   9.07554
178  3e5a   8.23   8.19071
179  2wtv   8.74  10.42198
180  3myg  10.70   6.69904
181  3kgp   2.57   5.07681
182  1c5z   4.01   5.23874
183  1o5b   5.77   6.10180
184  1owh   7.40   7.21883
185  1sqa   9.21   8.00084
186  4jsz   2.30   2.85941
187  3kwa   4.08   1.06702
188  2weg   6.50   4.60557
189  3ryj   7.80   3.80447
190  3dd0   9.00   4.70375
191  2xdl   3.10   6.07546
192  3b27   5.16   6.96197
193  1yc1   6.17   9.09420
194  3rlr   7.52   8.92842
195  2yki   9.46  15.22825
196  1z95   7.12   9.91428
197  3b68   8.40  11.27437
198  3b5r   8.77  10.40142
199  3b65   9.27  10.14191
200  3g0w   9.52  10.14736
201  4u4s   2.92   5.53816
202  1p1q   4.89   6.70140
203  1syi   5.44   8.81085
204  1p1n   6.80   7.25906
205  2al5   8.40   8.25168
206  3g2z   2.36   3.78283
207  3g31   2.89   3.15161
208  4de2   4.12   7.65923
209  4de3   5.52   8.14084
210  4de1   5.96   8.23398
211  1vso   4.72   5.87548
212  4dld   5.82   7.92236
213  3gbb   6.90   8.69837
214  3fv2   8.11  10.28256
215  3fv1   9.30   9.98420
216  4mgd   4.69   8.61325
