     code  logKa     score
1    4llx   2.89   3.83143
2    5c28   5.66   5.41045
3    3uuo   7.96   7.33747
4    3ui7   9.00   7.40071
5    5c2h  11.09   7.18913
6    2v00   3.66   4.13648
7    3wz8   5.82   5.55289
8    3pww   7.32   7.82241
9    3prs   7.82   7.96852
10   3uri   9.00   5.79573
11   4m0z   5.19   6.52971
12   4m0y   6.46   6.19539
13   3qgy   7.80   5.60446
14   4qd6   8.64   6.33997
15   4rfm  10.05   9.09268
16   4cr9   4.10   3.09775
17   4cra   7.22   7.48426
18   4x6p   8.30   8.44034
19   4crc   8.72   8.33779
20   4ty7   9.52   8.02448
21   5aba   2.98   3.11915
22   5a7b   3.57   4.96848
23   4agn   3.97   3.53160
24   4agp   4.69   4.96970
25   4agq   5.01   4.56848
26   3bgz   6.26   6.13025
27   3jya   6.89   7.55371
28   2c3i   7.60   7.22682
29   4k18   8.96   7.72903
30   5dwr  11.22   8.35242
31   3mss   4.66   5.08706
32   3k5v   6.30   6.18401
33   3pyy   6.86   6.11662
34   2v7a   8.30   7.44255
35   4twp  10.00   8.14575
36   3wtj   6.53   7.88601
37   3zdg   7.10   5.89316
38   3u8k   8.66   8.27287
39   4qac   9.40   9.04533
40   3u8n  10.17   8.93270
41   1a30   4.30   6.69117
42   2qnq   6.11   4.06317
43   1g2k   7.96   9.02251
44   1eby   9.70   8.97752
45   3o9i  11.82  11.11463
46   4lzs   4.80   4.49566
47   3u5j   5.61   5.51955
48   4wiv   6.26   4.98867
49   4ogj   6.79   6.51523
50   3p5o   7.30   6.37460
51   1ps3   2.28   5.47448
52   3dx1   3.58   5.24005
53   3d4z   4.89   6.50970
54   3dx2   6.82   5.72099
55   3ejr   8.57   7.82984
56   3l7b   2.40   4.05379
57   4eky   3.52   6.17281
58   3g2n   4.09   5.41483
59   3syr   5.10   5.68552
60   3ebp   5.91   6.93402
61   2w66   4.05   5.37131
62   2w4x   4.85   4.78314
63   2wca   5.60   6.02661
64   2xj7   6.66   5.75760
65   2vvn   7.30   5.51235
66   3aru   3.22   4.06939
67   3arv   5.64   4.63425
68   3ary   6.00   4.18194
69   3arq   6.40   6.28139
70   3arp   7.15   7.36717
71   4ih5   4.11   3.17121
72   4ih7   5.24   5.62998
73   3cj4   6.51   5.61720
74   4eo8   8.15   7.25429
75   3gnw   9.10   7.37232
76   1gpk   5.37   7.36585
77   1gpn   6.48   7.03700
78   1h23   8.35   8.83932
79   1h22   9.10   8.87754
80   1e66   9.89   7.48264
81   3f3a   4.19   5.20862
82   3f3c   6.02   6.19388
83   4mme   6.50   6.16439
84   3f3d   7.16   6.23999
85   3f3e   7.70   6.03422
86   2wbg   4.45   6.47417
87   2cbv   5.48   5.62512
88   2j78   6.42   5.42099
89   2j7h   7.19   5.67843
90   2cet   8.02   8.79886
91   3udh   2.85   4.23473
92   3rsx   4.41   4.42698
93   4djv   6.72   5.99253
94   2vkm   8.74   8.71169
95   4gid  10.77   8.50475
96   4jfs   5.27   6.27249
97   4j28   5.70   6.42031
98   2wvt   6.12   5.28887
99   2xii   7.20   7.56434
100  4pcs   7.85   6.03999
101  3rr4   4.55   6.44036
102  1s38   5.15   5.60047
103  1r5y   6.46   5.58697
104  3gc5   7.26   7.75127
105  3ge7   8.70   7.57115
106  4dli   5.62   6.55299
107  2zb1   6.32   7.16757
108  4f9w   6.94   6.35248
109  3e92   8.00   7.40356
110  3e93   8.85   7.92441
111  4owm   2.96   2.86413
112  3twp   3.92   2.88863
113  3r88   4.82   1.84671
