     code  logKa    score
1    4llx   2.89  0.87667
2    5c28   5.66  0.74957
3    3uuo   7.96  0.66110
4    3ui7   9.00  0.64325
5    5c2h  11.09  0.93123
6    2v00   3.66  0.51530
7    3wz8   5.82  0.35779
8    3pww   7.32  0.91267
9    3prs   7.82  0.91540
10   3uri   9.00  0.94453
11   4m0z   5.19  0.72297
12   4m0y   6.46  0.55468
13   3qgy   7.80  0.60648
14   4qd6   8.64  0.37823
15   4rfm  10.05  0.89816
16   4cr9   4.10  0.82610
17   4cra   7.22  0.73444
18   4x6p   8.30  0.95988
19   4crc   8.72  0.94746
20   4ty7   9.52  0.54344
21   5aba   2.98  0.55505
22   5a7b   3.57  0.66847
23   4agn   3.97  0.87376
24   4agp   4.69  0.81552
25   4agq   5.01  0.70695
26   3bgz   6.26  0.81432
27   3jya   6.89  0.94572
28   2c3i   7.60  0.84661
29   4k18   8.96  0.52273
30   5dwr  11.22  0.96615
31   3mss   4.66  0.79859
32   3k5v   6.30  0.98494
33   3pyy   6.86  0.96580
34   2v7a   8.30  0.90726
35   4twp  10.00  0.95704
36   3wtj   6.53  0.99791
37   3zdg   7.10  0.98461
38   3u8k   8.66  0.99598
39   4qac   9.40  0.99738
40   3u8n  10.17  0.99895
41   1a30   4.30  0.81453
42   2qnq   6.11  0.98061
43   1g2k   7.96  0.99147
44   1eby   9.70  0.97883
45   3o9i  11.82  0.99656
46   4lzs   4.80  0.65238
47   3u5j   5.61  0.66634
48   4wiv   6.26  0.46644
49   4ogj   6.79  0.57530
50   3p5o   7.30  0.75591
51   1ps3   2.28  0.99356
52   3dx1   3.58  0.99228
53   3d4z   4.89  0.94923
54   3dx2   6.82  0.99656
55   3ejr   8.57  0.99000
56   3l7b   2.40  0.94886
57   4eky   3.52  0.97228
58   3g2n   4.09  0.94910
59   3syr   5.10  0.98921
60   3ebp   5.91  0.27691
61   2w66   4.05  0.96558
62   2w4x   4.85  0.97176
63   2wca   5.60  0.97428
64   2xj7   6.66  0.97507
65   2vvn   7.30  0.99191
66   3aru   3.22  0.63987
67   3arv   5.64  0.40190
68   3ary   6.00  0.09059
69   3arq   6.40  0.54743
70   3arp   7.15  0.36506
71   4ih5   4.11  0.15961
72   4ih7   5.24  0.82198
73   3cj4   6.51  0.96339
74   4eo8   8.15  0.96909
75   3gnw   9.10  0.68134
76   1gpk   5.37  0.89039
77   1gpn   6.48  0.70443
78   1h23   8.35  0.99264
79   1h22   9.10  0.99264
80   1e66   9.89  0.90681
81   3f3a   4.19  0.93681
82   3f3c   6.02  0.99656
83   4mme   6.50  0.94548
84   3f3d   7.16  0.99734
85   3f3e   7.70  0.99581
86   2wbg   4.45  0.99700
87   2cbv   5.48  0.99794
88   2j78   6.42  0.94788
89   2j7h   7.19  0.99098
90   2cet   8.02  0.99608
91   3udh   2.85  0.79308
92   3rsx   4.41  0.61203
93   4djv   6.72  0.93295
94   2vkm   8.74  0.94371
95   4gid  10.77  0.99554
96   4jfs   5.27  0.98846
97   4j28   5.70  0.98502
98   2wvt   6.12  0.98003
99   2xii   7.20  0.99011
100  4pcs   7.85  0.99339
101  3rr4   4.55  0.92531
102  1s38   5.15  0.99616
103  1r5y   6.46  0.99278
104  3gc5   7.26  0.99801
105  3ge7   8.70  0.98295
106  4dli   5.62  0.86047
107  2zb1   6.32  0.89810
108  4f9w   6.94  0.83817
109  3e92   8.00  0.92729
110  3e93   8.85  0.93701
111  4owm   2.96  0.74711
112  3twp   3.92  0.67836
113  3r88   4.82  0.83851
114  4gkm   5.17  0.93503
115  3qqs   5.82  0.87856
116  3gv9   2.12  0.36287
117  3gr2   2.52  0.41079
118  4kz6   3.10  0.64543
119  4jxs   4.74  0.39121
120  2r9w   5.10  0.65961
121  2hb1   3.80  0.99181
122  1bzc   4.92  0.98253
123  2qbr   6.33  0.98708
124  2qbq   7.44  0.97633
125  2qbp   8.40  0.94541
126  1q8t   4.76  0.87935
127  1ydr   5.52  0.95527
128  1q8u   5.96  0.96304
129  1ydt   7.32  0.98097
130  3ag9   8.05  0.95483
131  3fcq   2.77  0.31961
132  1z9g   5.64  0.84170
133  1qf1   7.32  0.98037
134  5tmn   8.04  0.96626
135  4tmn  10.17  0.96584
136  4ddk   2.29  0.94492
137  4ddh   3.32  0.81656
138  3ivg   4.30  0.73315
139  3coz   5.57  0.95752
140  3coy   6.02  0.97742
141  3pxf   4.43  0.72970
142  4eor   6.30  0.97474
143  2xnb   6.83  0.99443
144  1pxn   7.15  0.97101
145  2fvd   8.52  0.73752
146  4k77   6.63  0.86251
147  4e5w   7.66  0.98442
148  4ivb   8.72  0.97457
149  4ivd   9.52  0.96115
150  4ivc  10.00  0.97155
151  4f09   6.70  0.95890
152  4gfm   7.22  0.15486
153  4hge   7.92  0.86732
154  4e6q   8.36  0.90884
155  4jia   9.22  0.16059
156  2brb   4.86  0.73672
157  2br1   5.14  0.73860
158  3jvr   5.72  0.79025
159  3jvs   6.54  0.62377
160  1nvq   8.25  0.82983
161  3acw   4.76  0.66919
162  4ea2   6.44  0.65267
163  2zcr   6.87  0.13924
164  2zy1   7.40  0.70537
165  2zcq   8.82  0.05744
166  1bcu   3.28  0.39090
167  3bv9   5.36  0.83620
168  1oyt   7.24  0.91059
169  2zda   8.40  0.99436
170  3utu  10.92  0.99565
171  3u9q   4.38  0.86678
172  2yfe   6.63  0.95092
173  3fur   8.00  0.88979
174  3b1m   8.48  0.83695
175  2p4y   9.00  0.98213
176  3uo4   6.52  0.98351
177  3up2   7.40  0.98525
178  3e5a   8.23  0.92962
179  2wtv   8.74  0.93831
180  3myg  10.70  0.91291
181  3kgp   2.57  0.95701
182  1c5z   4.01  0.97681
183  1o5b   5.77  0.98684
184  1owh   7.40  0.91794
185  1sqa   9.21  0.97584
186  4jsz   2.30  0.07992
