     code  logKa    score
1    4llx   2.89  3.97999
2    5c28   5.66  5.18516
3    3uuo   7.96  7.69295
4    3ui7   9.00  7.58804
5    5c2h  11.09  8.36407
6    2v00   3.66  5.56144
7    3wz8   5.82  7.19780
8    3pww   7.32  8.43248
9    3prs   7.82  8.97721
10   3uri   9.00  7.84819
11   4m0z   5.19  7.40704
12   4m0y   6.46  6.33357
13   3qgy   7.80  6.90739
14   4qd6   8.64  7.02722
15   4rfm  10.05  7.70579
16   4cr9   4.10  4.82212
17   4cra   7.22  7.63239
18   4x6p   8.30  8.40936
19   4crc   8.72  8.22560
20   4ty7   9.52  8.01947
21   5aba   2.98  5.12742
22   5a7b   3.57  5.54290
23   4agn   3.97  5.34152
24   4agp   4.69  5.76219
25   4agq   5.01  5.91900
26   3bgz   6.26  7.40772
27   3jya   6.89  6.54800
28   2c3i   7.60  7.03072
29   4k18   8.96  8.11870
30   5dwr  11.22  8.94376
31   3mss   4.66  4.33307
32   3k5v   6.30  6.20666
33   3pyy   6.86  6.37340
34   2v7a   8.30  7.60588
35   4twp  10.00  7.99972
36   3wtj   6.53  7.50214
37   3zdg   7.10  7.11395
38   3u8k   8.66  8.14501
39   4qac   9.40  8.05176
40   3u8n  10.17  8.75968
41   1a30   4.30  7.08494
42   2qnq   6.11  8.71937
43   1g2k   7.96  9.07702
44   1eby   9.70  8.99753
45   3o9i  11.82  9.62775
46   4lzs   4.80  4.91641
47   3u5j   5.61  6.22597
48   4wiv   6.26  6.56345
49   4ogj   6.79  6.82343
50   3p5o   7.30  7.16623
51   1ps3   2.28  5.76805
52   3dx1   3.58  4.93480
53   3d4z   4.89  5.55939
54   3dx2   6.82  5.59928
55   3ejr   8.57  6.81569
56   3l7b   2.40  4.99837
57   4eky   3.52  6.36207
58   3g2n   4.09  5.44624
59   3syr   5.10  6.29883
60   3ebp   5.91  5.65599
61   2w66   4.05  6.16237
62   2w4x   4.85  4.74568
63   2wca   5.60  5.91455
64   2xj7   6.66  6.76473
65   2vvn   7.30  6.49023
66   3aru   3.22  4.27039
67   3arv   5.64  4.85282
68   3ary   6.00  4.37671
69   3arq   6.40  5.33245
70   3arp   7.15  6.11770
71   4ih5   4.11  4.49815
72   4ih7   5.24  5.71379
73   3cj4   6.51  5.72696
74   4eo8   8.15  6.74955
75   3gnw   9.10  7.85149
76   1gpk   5.37  7.40082
77   1gpn   6.48  7.67648
78   1h23   8.35  8.29932
79   1h22   9.10  8.34769
80   1e66   9.89  8.24101
81   3f3a   4.19  5.92147
82   3f3c   6.02  5.64969
83   4mme   6.50  6.77971
84   3f3d   7.16  5.51406
85   3f3e   7.70  5.33619
86   2wbg   4.45  6.88431
87   2cbv   5.48  5.91137
88   2j78   6.42  6.20924
89   2j7h   7.19  5.35822
90   2cet   8.02  7.85559
91   3udh   2.85  4.91257
92   3rsx   4.41  5.08932
93   4djv   6.72  6.73064
94   2vkm   8.74  7.82859
95   4gid  10.77  8.33617
96   4jfs   5.27  5.52434
97   4j28   5.70  5.93226
98   2wvt   6.12  5.40459
99   2xii   7.20  6.60977
100  4pcs   7.85  5.71036
101  3rr4   4.55  6.33810
102  1s38   5.15  5.44813
103  1r5y   6.46  5.31880
104  3gc5   7.26  7.18641
105  3ge7   8.70  7.60157
106  4dli   5.62  6.46038
107  2zb1   6.32  7.47586
108  4f9w   6.94  7.59222
109  3e92   8.00  7.56492
110  3e93   8.85  7.88742
111  4owm   2.96  3.09081
112  3twp   3.92  3.04526
113  3r88   4.82  3.42179
114  4gkm   5.17  4.81441
115  3qqs   5.82  4.43232
116  3gv9   2.12  4.03468
117  3gr2   2.52  3.25768
118  4kz6   3.10  4.60557
119  4jxs   4.74  4.91489
120  2r9w   5.10  5.54596
121  2hb1   3.80  4.04544
122  1bzc   4.92  5.84523
123  2qbr   6.33  5.66767
124  2qbq   7.44  6.04983
125  2qbp   8.40  6.35031
126  1q8t   4.76  7.05151
127  1ydr   5.52  7.20718
128  1q8u   5.96  7.32786
129  1ydt   7.32  7.62068
130  3ag9   8.05  6.23175
131  3fcq   2.77  4.54262
132  1z9g   5.64  6.61930
133  1qf1   7.32  7.07543
134  5tmn   8.04  6.09258
135  4tmn  10.17  6.93313
136  4ddk   2.29  3.13050
137  4ddh   3.32  4.13864
138  3ivg   4.30  6.39226
139  3coz   5.57  6.47974
140  3coy   6.02  6.67470
141  3pxf   4.43  4.57803
142  4eor   6.30  7.47201
143  2xnb   6.83  8.04415
144  1pxn   7.15  7.44610
145  2fvd   8.52  7.40497
146  4k77   6.63  7.14470
147  4e5w   7.66  8.09858
148  4ivb   8.72  7.97650
149  4ivd   9.52  8.02736
150  4ivc  10.00  8.04570
151  4f09   6.70  7.68689
152  4gfm   7.22  6.77646
153  4hge   7.92  8.19305
154  4e6q   8.36  8.05644
155  4jia   9.22  7.26753
156  2brb   4.86  7.03169
157  2br1   5.14  7.50879
158  3jvr   5.72  5.12329
159  3jvs   6.54  5.75788
160  1nvq   8.25  7.80654
161  3acw   4.76  6.79610
162  4ea2   6.44  7.19867
163  2zcr   6.87  6.63767
