     code  logKa    score
1    4llx   2.89  0.91075
2    5c28   5.66  0.80469
3    3uuo   7.96  0.97554
4    3ui7   9.00  0.97028
5    5c2h  11.09  0.99416
6    2v00   3.66  0.94778
7    3wz8   5.82  0.97050
8    3pww   7.32  0.91620
9    3prs   7.82  0.98791
10   3uri   9.00  0.75208
11   4m0z   5.19  0.98053
12   4m0y   6.46  0.98629
13   3qgy   7.80  0.55594
14   4qd6   8.64  0.98323
15   4rfm  10.05  0.98859
16   4cr9   4.10  0.98954
17   4cra   7.22  0.99238
18   4x6p   8.30  0.97803
19   4crc   8.72  0.98751
20   4ty7   9.52  0.94531
21   5aba   2.98  0.94735
22   5a7b   3.57  0.94158
23   4agn   3.97  0.97707
24   4agp   4.69  0.96342
25   4agq   5.01  0.96777
26   3bgz   6.26  0.97643
27   3jya   6.89  0.84095
28   2c3i   7.60  0.63793
29   4k18   8.96  0.96697
30   5dwr  11.22  0.98963
31   3mss   4.66  0.60790
32   3k5v   6.30  0.94025
33   3pyy   6.86  0.96641
34   2v7a   8.30  0.99621
35   4twp  10.00  0.99212
36   3wtj   6.53  0.91458
37   3zdg   7.10  0.98075
38   3u8k   8.66  0.99335
39   4qac   9.40  0.90750
40   3u8n  10.17  0.99634
41   1a30   4.30  0.71513
42   2qnq   6.11  0.98261
43   1g2k   7.96  0.99673
44   1eby   9.70  0.98175
45   3o9i  11.82  0.99680
46   4lzs   4.80  0.95661
47   3u5j   5.61  0.96251
48   4wiv   6.26  0.95092
49   4ogj   6.79  0.94669
50   3p5o   7.30  0.98913
51   1ps3   2.28  0.99165
52   3dx1   3.58  0.99566
53   3d4z   4.89  0.98602
54   3dx2   6.82  0.99844
55   3ejr   8.57  0.98961
56   3l7b   2.40  0.90239
57   4eky   3.52  0.91460
58   3g2n   4.09  0.97367
59   3syr   5.10  0.98846
60   3ebp   5.91  0.52323
61   2w66   4.05  0.99122
62   2w4x   4.85  0.99383
63   2wca   5.60  0.97057
64   2xj7   6.66  0.99719
65   2vvn   7.30  0.99556
66   3aru   3.22  0.75252
67   3arv   5.64  0.87542
68   3ary   6.00  0.96412
69   3arq   6.40  0.85727
70   3arp   7.15  0.85046
71   4ih5   4.11  0.53209
72   4ih7   5.24  0.98276
73   3cj4   6.51  0.97794
74   4eo8   8.15  0.98287
75   3gnw   9.10  0.99018
76   1gpk   5.37  0.95240
77   1gpn   6.48  0.89370
78   1h23   8.35  0.99363
79   1h22   9.10  0.99440
80   1e66   9.89  0.99142
81   3f3a   4.19  0.93059
82   3f3c   6.02  0.96086
83   4mme   6.50  0.97981
84   3f3d   7.16  0.97659
85   3f3e   7.70  0.98566
86   2wbg   4.45  0.99804
87   2cbv   5.48  0.99130
88   2j78   6.42  0.99840
89   2j7h   7.19  0.99435
90   2cet   8.02  0.99597
91   3udh   2.85  0.86083
92   3rsx   4.41  0.98856
93   4djv   6.72  0.98664
94   2vkm   8.74  0.99604
95   4gid  10.77  0.99674
96   4jfs   5.27  0.98764
97   4j28   5.70  0.96312
98   2wvt   6.12  0.98921
99   2xii   7.20  0.99773
100  4pcs   7.85  0.98920
101  3rr4   4.55  0.98361
102  1s38   5.15  0.99385
103  1r5y   6.46  0.99206
104  3gc5   7.26  0.99768
105  3ge7   8.70  0.99427
106  4dli   5.62  0.66068
107  2zb1   6.32  0.99249
108  4f9w   6.94  0.99705
109  3e92   8.00  0.99485
110  3e93   8.85  0.99311
111  4owm   2.96  0.52421
112  3twp   3.92  0.78343
113  3r88   4.82  0.74943
114  4gkm   5.17  0.98658
115  3qqs   5.82  0.93579
116  3gv9   2.12  0.95359
117  3gr2   2.52  0.69111
118  4kz6   3.10  0.95836
119  4jxs   4.74  0.81926
120  2r9w   5.10  0.97775
121  2hb1   3.80  0.96216
122  1bzc   4.92  0.96667
123  2qbr   6.33  0.95567
124  2qbq   7.44  0.91240
125  2qbp   8.40  0.97619
126  1q8t   4.76  0.98001
127  1ydr   5.52  0.99516
128  1q8u   5.96  0.99407
129  1ydt   7.32  0.99424
130  3ag9   8.05  0.07175
131  3fcq   2.77  0.78064
132  1z9g   5.64  0.97754
133  1qf1   7.32  0.81866
134  5tmn   8.04  0.42643
135  4tmn  10.17  0.75262
136  4ddk   2.29  0.61133
137  4ddh   3.32  0.91619
138  3ivg   4.30  0.98086
139  3coz   5.57  0.98689
140  3coy   6.02  0.99467
141  3pxf   4.43  0.27874
142  4eor   6.30  0.99698
143  2xnb   6.83  0.99789
144  1pxn   7.15  0.99418
145  2fvd   8.52  0.99652
146  4k77   6.63  0.99254
147  4e5w   7.66  0.99530
148  4ivb   8.72  0.99801
149  4ivd   9.52  0.99459
150  4ivc  10.00  0.99762
151  4f09   6.70  0.99793
152  4gfm   7.22  0.97332
153  4hge   7.92  0.99077
154  4e6q   8.36  0.99401
155  4jia   9.22  0.66833
156  2brb   4.86  0.98191
157  2br1   5.14  0.98348
158  3jvr   5.72  0.99282
159  3jvs   6.54  0.95736
160  1nvq   8.25  0.99786
161  3acw   4.76  0.97997
162  4ea2   6.44  0.85263
163  2zcr   6.87  0.87017
164  2zy1   7.40  0.96311
165  2zcq   8.82  0.62602
166  1bcu   3.28  0.88924
167  3bv9   5.36  0.55047
168  1oyt   7.24  0.97659
169  2zda   8.40  0.99253
170  3utu  10.92  0.99369
171  3u9q   4.38  0.59074
172  2yfe   6.63  0.95608
173  3fur   8.00  0.98453
174  3b1m   8.48  0.88697
175  2p4y   9.00  0.99043
176  3uo4   6.52  0.99574
177  3up2   7.40  0.99738
178  3e5a   8.23  0.87819
179  2wtv   8.74  0.83283
180  3myg  10.70  0.85110
181  3kgp   2.57  0.99017
182  1c5z   4.01  0.94928
183  1o5b   5.77  0.97175
184  1owh   7.40  0.66093
185  1sqa   9.21  0.45705
186  4jsz   2.30  0.41295
187  3kwa   4.08  0.65076
188  2weg   6.50  0.72484
189  3ryj   7.80  0.95955
190  3dd0   9.00  0.72818
191  2xdl   3.10  0.95389
192  3b27   5.16  0.98920
193  1yc1   6.17  0.98875
194  3rlr   7.52  0.98983
195  2yki   9.46  0.99233
196  1z95   7.12  0.96809
197  3b68   8.40  0.98464
198  3b5r   8.77  0.99008
199  3b65   9.27  0.99639
200  3g0w   9.52  0.99267
201  4u4s   2.92  0.90364
202  1p1q   4.89  0.98002
203  1syi   5.44  0.99764
204  1p1n   6.80  0.98698
205  2al5   8.40  0.99168
206  3g2z   2.36  0.46234
207  3g31   2.89  0.45643
208  4de2   4.12  0.76134
209  4de3   5.52  0.95199
210  4de1   5.96  0.83950
211  1vso   4.72  0.99285
212  4dld   5.82  0.99617
213  3gbb   6.90  0.99631
214  3fv2   8.11  0.99075
215  3fv1   9.30  0.99349
216  4mgd   4.69  0.95856
