     code  logKa     score
1    4llx   2.89   4.04847
2    5c28   5.66   4.54875
3    3uuo   7.96   6.99726
4    3ui7   9.00   7.56505
5    5c2h  11.09   7.73623
6    2v00   3.66   4.27749
7    3wz8   5.82   5.82680
8    3pww   7.32   7.27942
9    3prs   7.82   8.51252
10   3uri   9.00   7.03585
11   4m0z   5.19   6.72891
12   4m0y   6.46   6.38901
13   3qgy   7.80   8.25550
14   4qd6   8.64   6.80330
15   4rfm  10.05   7.61013
16   4cr9   4.10   4.81398
17   4cra   7.22   7.72256
18   4x6p   8.30   8.57736
19   4crc   8.72   8.53201
20   4ty7   9.52   7.93229
21   5aba   2.98   5.04827
22   5a7b   3.57   5.11774
23   4agn   3.97   5.11094
24   4agp   4.69   5.54998
25   4agq   5.01   5.71144
26   3bgz   6.26   6.97422
27   3jya   6.89   6.84591
28   2c3i   7.60   7.40229
29   4k18   8.96   8.05386
30   5dwr  11.22   8.86476
31   3mss   4.66   4.16577
32   3k5v   6.30   6.10303
33   3pyy   6.86   5.90243
34   2v7a   8.30   8.40701
35   4twp  10.00   8.01376
36   3wtj   6.53   7.01676
37   3zdg   7.10   6.71804
38   3u8k   8.66   7.96055
39   4qac   9.40   8.05856
40   3u8n  10.17   8.89330
41   1a30   4.30   7.18785
42   2qnq   6.11   8.34264
43   1g2k   7.96   9.16971
44   1eby   9.70   8.89317
45   3o9i  11.82  10.25662
46   4lzs   4.80   4.89190
47   3u5j   5.61   5.95843
48   4wiv   6.26   5.90890
49   4ogj   6.79   6.66319
50   3p5o   7.30   6.98815
51   1ps3   2.28   5.70073
52   3dx1   3.58   5.46204
53   3d4z   4.89   5.85855
54   3dx2   6.82   6.05210
55   3ejr   8.57   8.01214
56   3l7b   2.40   3.63676
57   4eky   3.52   5.51704
58   3g2n   4.09   5.04451
59   3syr   5.10   4.84075
60   3ebp   5.91   5.64405
61   2w66   4.05   6.23399
62   2w4x   4.85   4.32229
63   2wca   5.60   6.04996
64   2xj7   6.66   6.73790
65   2vvn   7.30   6.44462
66   3aru   3.22   4.84829
67   3arv   5.64   5.16741
68   3ary   6.00   4.36642
69   3arq   6.40   5.87804
70   3arp   7.15   5.79762
71   4ih5   4.11   4.60217
72   4ih7   5.24   5.20120
73   3cj4   6.51   6.11691
74   4eo8   8.15   6.81082
75   3gnw   9.10   8.20872
76   1gpk   5.37   6.68795
77   1gpn   6.48   7.17799
78   1h23   8.35   8.29779
79   1h22   9.10   8.43085
80   1e66   9.89   7.85957
81   3f3a   4.19   5.10217
82   3f3c   6.02   4.80900
83   4mme   6.50   5.84199
84   3f3d   7.16   5.06225
85   3f3e   7.70   4.92786
86   2wbg   4.45   6.95891
87   2cbv   5.48   6.13596
88   2j78   6.42   6.40991
