     code  logKa    score
1    4llx   2.89  0.91858
2    5c28   5.66  0.77442
3    3uuo   7.96  0.81629
4    3ui7   9.00  0.98096
5    5c2h  11.09  0.97185
6    2v00   3.66  0.48164
7    3wz8   5.82  0.87240
8    3pww   7.32  0.34677
9    3prs   7.82  0.98993
10   3uri   9.00  0.85004
11   4m0z   5.19  0.86854
12   4m0y   6.46  0.95428
13   3qgy   7.80  0.96748
14   4qd6   8.64  0.77517
15   4rfm  10.05  0.85898
16   4cr9   4.10  0.98452
17   4cra   7.22  0.98143
18   4x6p   8.30  0.99194
19   4crc   8.72  0.99385
20   4ty7   9.52  0.97093
21   5aba   2.98  0.87856
22   5a7b   3.57  0.82458
23   4agn   3.97  0.93089
24   4agp   4.69  0.88172
25   4agq   5.01  0.93230
26   3bgz   6.26  0.95331
27   3jya   6.89  0.97063
28   2c3i   7.60  0.98303
29   4k18   8.96  0.99282
30   5dwr  11.22  0.99579
31   3mss   4.66  0.66802
32   3k5v   6.30  0.91397
33   3pyy   6.86  0.77947
34   2v7a   8.30  0.99775
35   4twp  10.00  0.96407
36   3wtj   6.53  0.99524
37   3zdg   7.10  0.96845
38   3u8k   8.66  0.98863
39   4qac   9.40  0.93791
40   3u8n  10.17  0.99133
41   1a30   4.30  0.92704
42   2qnq   6.11  0.98070
43   1g2k   7.96  0.99259
44   1eby   9.70  0.98884
45   3o9i  11.82  0.99774
46   4lzs   4.80  0.94402
47   3u5j   5.61  0.76225
48   4wiv   6.26  0.88743
49   4ogj   6.79  0.77398
50   3p5o   7.30  0.95511
51   1ps3   2.28  0.98364
52   3dx1   3.58  0.99195
53   3d4z   4.89  0.96479
54   3dx2   6.82  0.99799
55   3ejr   8.57  0.99116
56   3l7b   2.40  0.86983
57   4eky   3.52  0.98458
58   3g2n   4.09  0.99143
59   3syr   5.10  0.98524
60   3ebp   5.91  0.38129
61   2w66   4.05  0.98443
62   2w4x   4.85  0.98307
63   2wca   5.60  0.99032
64   2xj7   6.66  0.97107
65   2vvn   7.30  0.99695
66   3aru   3.22  0.96704
67   3arv   5.64  0.92798
68   3ary   6.00  0.88407
69   3arq   6.40  0.89496
70   3arp   7.15  0.19509
71   4ih5   4.11  0.40775
72   4ih7   5.24  0.97276
73   3cj4   6.51  0.96356
74   4eo8   8.15  0.97023
75   3gnw   9.10  0.99348
76   1gpk   5.37  0.79671
77   1gpn   6.48  0.83659
78   1h23   8.35  0.99055
79   1h22   9.10  0.99519
80   1e66   9.89  0.91780
81   3f3a   4.19  0.92751
82   3f3c   6.02  0.93027
83   4mme   6.50  0.97112
84   3f3d   7.16  0.96560
85   3f3e   7.70  0.94787
86   2wbg   4.45  0.99476
87   2cbv   5.48  0.97280
88   2j78   6.42  0.99450
89   2j7h   7.19  0.98715
90   2cet   8.02  0.99175
91   3udh   2.85  0.99604
92   3rsx   4.41  0.91871
93   4djv   6.72  0.99962
94   2vkm   8.74  0.97565
95   4gid  10.77  0.99104
96   4jfs   5.27  0.94629
97   4j28   5.70  0.95576
98   2wvt   6.12  0.96533
99   2xii   7.20  0.98374
100  4pcs   7.85  0.95221
101  3rr4   4.55  0.92827
102  1s38   5.15  0.98872
103  1r5y   6.46  0.98724
104  3gc5   7.26  0.99667
105  3ge7   8.70  0.99116
106  4dli   5.62  0.66713
107  2zb1   6.32  0.88003
108  4f9w   6.94  0.98894
109  3e92   8.00  0.95614
110  3e93   8.85  0.92597
111  4owm   2.96  0.89808
112  3twp   3.92  0.83490
113  3r88   4.82  0.89921
114  4gkm   5.17  0.98909
115  3qqs   5.82  0.98285
116  3gv9   2.12  0.95123
117  3gr2   2.52  0.35279
118  4kz6   3.10  0.98108
119  4jxs   4.74  0.98221
120  2r9w   5.10  0.90484
121  2hb1   3.80  0.82390
122  1bzc   4.92  0.96009
123  2qbr   6.33  0.96313
124  2qbq   7.44  0.89803
125  2qbp   8.40  0.90327
126  1q8t   4.76  0.75384
127  1ydr   5.52  0.98898
128  1q8u   5.96  0.99196
129  1ydt   7.32  0.99459
130  3ag9   8.05  0.94607
131  3fcq   2.77  0.87649
132  1z9g   5.64  0.97769
133  1qf1   7.32  0.99766
134  5tmn   8.04  0.99161
135  4tmn  10.17  0.98356
136  4ddk   2.29  0.96420
137  4ddh   3.32  0.98494
138  3ivg   4.30  0.98679
139  3coz   5.57  0.98642
140  3coy   6.02  0.98866
141  3pxf   4.43  0.30723
142  4eor   6.30  0.99648
143  2xnb   6.83  0.99905
144  1pxn   7.15  0.99220
145  2fvd   8.52  0.99816
146  4k77   6.63  0.94477
147  4e5w   7.66  0.93085
148  4ivb   8.72  0.99630
149  4ivd   9.52  0.99338
150  4ivc  10.00  0.99661
151  4f09   6.70  0.99561
152  4gfm   7.22  0.91527
153  4hge   7.92  0.98471
154  4e6q   8.36  0.99428
155  4jia   9.22  0.57036
156  2brb   4.86  0.96888
157  2br1   5.14  0.93768
158  3jvr   5.72  0.97247
159  3jvs   6.54  0.92186
160  1nvq   8.25  0.98918
161  3acw   4.76  0.65810
162  4ea2   6.44  0.39983
163  2zcr   6.87  0.86053
164  2zy1   7.40  0.89277
165  2zcq   8.82  0.57570
166  1bcu   3.28  0.85423
167  3bv9   5.36  0.40257
168  1oyt   7.24  0.93155
169  2zda   8.40  0.99875
170  3utu  10.92  0.99964
171  3u9q   4.38  0.96877
172  2yfe   6.63  0.98609
173  3fur   8.00  0.92974
174  3b1m   8.48  0.89814
175  2p4y   9.00  0.97083
176  3uo4   6.52  0.99539
177  3up2   7.40  0.99488
178  3e5a   8.23  0.99244
179  2wtv   8.74  0.99601
180  3myg  10.70  0.99272
181  3kgp   2.57  0.99450
182  1c5z   4.01  0.99476
183  1o5b   5.77  0.99215
184  1owh   7.40  0.94424
185  1sqa   9.21  0.97435
186  4jsz   2.30  0.24600
187  3kwa   4.08  0.06460
188  2weg   6.50  0.93843
189  3ryj   7.80  0.96722
190  3dd0   9.00  0.98553
191  2xdl   3.10  0.94075
192  3b27   5.16  0.97871
193  1yc1   6.17  0.98752
194  3rlr   7.52  0.98596
195  2yki   9.46  0.98845
196  1z95   7.12  0.68108
197  3b68   8.40  0.88814
198  3b5r   8.77  0.95354
199  3b65   9.27  0.95362
200  3g0w   9.52  0.90032
201  4u4s   2.92  0.88696
202  1p1q   4.89  0.98185
203  1syi   5.44  0.99867
204  1p1n   6.80  0.98755
205  2al5   8.40  0.99600
206  3g2z   2.36  0.66277
207  3g31   2.89  0.80053
208  4de2   4.12  0.95653
209  4de3   5.52  0.98936
210  4de1   5.96  0.92304
211  1vso   4.72  0.99479
212  4dld   5.82  0.98832
213  3gbb   6.90  0.99382
214  3fv2   8.11  0.94433
215  3fv1   9.30  0.96545
216  4mgd   4.69  0.98126
217  2qe4   7.96  0.83382
218  1qkt   9.04  0.98679
219  2pog   9.54  0.87756
220  2p15  10.30  0.96636
221  2y5h   5.79  0.98331
222  1lpg   7.09  0.99621
223  2xbv   8.43  0.99723
224  1z6e   9.72  0.99907
225  1mq6  11.15  0.99850
226  1nc3   5.00  0.82848
227  1nc1   6.12  0.69585
228  1y6r  10.11  0.92426
229  4f2w  11.30  0.92146
230  4f3c  11.82  0.95715
231  1uto   2.27  0.98242
232  4abg   3.57  0.97121
233  3gy4   5.10  0.98933
234  1k1i   6.58  0.98449
235  1o3f   7.96  0.97732
236  2yge   5.06  0.87716
237  2fxs   6.06  0.89296
238  2iwx   6.68  0.97440
239  2wer   7.05  0.95680
240  2vw5   8.52  0.88123
241  4kzq   6.10  0.95324
242  4kzu   6.50  0.93760
243  4j21   7.41  0.82715
244  4j3l   7.80  0.78086
245  3kr8   8.10  0.84812
246  2ymd   3.16  0.80740
247  2wnc   6.32  0.91328
248  2xys   7.42  0.93941
249  2wn9   8.52  0.88763
250  2x00  11.33  0.97545
251  3ozt   4.13  0.97885
252  3ozs   5.33  0.95514
253  3oe5   6.88  0.97955
254  3oe4   7.47  0.98117
255  3nw9   9.00  0.97887
256  3ao4   2.07  0.94273
257  3zt2   2.84  0.97204
258  3zsx   3.28  0.85404
259  4cig   3.67  0.90841
260  3zso   5.12  0.77357
261  3n7a   3.70  0.92515
262  4ciw   4.82  0.81920
263  3n86   5.64  0.92236
264  3n76   6.85  0.84819
265  2xb8   7.59  0.89258
266  4bkt   3.62  0.93099
267  4w9c   4.65  0.93039
268  4w9l   5.02  0.90185
269  4w9i   5.96  0.99114
270  4w9h   6.73  0.98261
271  3nq9   4.03  0.84564
272  3ueu   5.24  0.86623
273  3uev   5.89  0.97754
274  3uew   6.31  0.93730
275  3uex   6.92  0.97802
276  3lka   2.82  0.49529
277  3ehy   5.85  0.98229
278  3tsk   7.17  0.95088
279  3nx7   8.10  0.99501
280  4gr0   9.55  0.98311
281  3dxg   2.40  0.94726
282  3d6q   3.76  0.63460
283  1w4o   5.22  0.99147
284  1o0h   5.92  0.99797
285  1u1b   7.80  0.99541

Summary of the scoring power: ===================================
The regression equation: logKa = 3.53 + 3.27 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.235
Standard deviation in fitting (SD) = 2.11
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("analysis/outputs/scoring/amberopt/general_default2018_CNNscore_processed_score",header=FALSE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285)
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("analysis/outputs/scoring/amberopt/general_default2018_CNNscore-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
