     code  logKa    score
1    4llx   2.89  4.76000
2    5c28   5.66  4.93712
3    3uuo   7.96  6.24653
4    3ui7   9.00  6.75061
5    5c2h  11.09  7.59685
6    2v00   3.66  5.37174
7    3wz8   5.82  6.99121
8    3pww   7.32  8.29140
9    3prs   7.82  8.75397
10   3uri   9.00  8.46871
11   4m0z   5.19  6.99547
12   4m0y   6.46  5.99503
13   3qgy   7.80  7.14170
14   4qd6   8.64  6.54043
15   4rfm  10.05  7.52558
16   4cr9   4.10  5.13277
17   4cra   7.22  7.11602
18   4x6p   8.30  8.03759
19   4crc   8.72  7.50878
20   4ty7   9.52  7.32074
21   5aba   2.98  5.22600
22   5a7b   3.57  6.09127
23   4agn   3.97  5.63203
24   4agp   4.69  6.27396
25   4agq   5.01  6.46832
26   3bgz   6.26  6.71903
27   3jya   6.89  6.56231
28   2c3i   7.60  6.86667
29   4k18   8.96  7.24795
30   5dwr  11.22  8.30469
31   3mss   4.66  4.57427
32   3k5v   6.30  6.34864
33   3pyy   6.86  6.07835
34   2v7a   8.30  7.82004
35   4twp  10.00  7.55120
36   3wtj   6.53  6.39703
37   3zdg   7.10  5.68133
38   3u8k   8.66  6.67582
39   4qac   9.40  7.29127
40   3u8n  10.17  7.11501
41   1a30   4.30  5.01368
42   2qnq   6.11  9.05134
43   1g2k   7.96  8.77540
44   1eby   9.70  8.64582
45   3o9i  11.82  8.94982
46   4lzs   4.80  5.21965
47   3u5j   5.61  6.07085
48   4wiv   6.26  6.02439
49   4ogj   6.79  7.10311
50   3p5o   7.30  6.86417
51   1ps3   2.28  5.51176
52   3dx1   3.58  4.89494
53   3d4z   4.89  5.71722
54   3dx2   6.82  5.45553
55   3ejr   8.57  6.07512
56   3l7b   2.40  5.69069
57   4eky   3.52  6.60007
58   3g2n   4.09  5.85777
59   3syr   5.10  6.24991
60   3ebp   5.91  5.55419
61   2w66   4.05  5.48410
62   2w4x   4.85  4.92884
63   2wca   5.60  5.65762
64   2xj7   6.66  5.97133
65   2vvn   7.30  5.98035
66   3aru   3.22  5.04800
67   3arv   5.64  5.10695
68   3ary   6.00  4.71388
69   3arq   6.40  5.52562
70   3arp   7.15  6.34688
71   4ih5   4.11  5.26879
72   4ih7   5.24  5.63488
73   3cj4   6.51  5.71629
74   4eo8   8.15  6.55006
75   3gnw   9.10  8.32648
76   1gpk   5.37  6.17055
77   1gpn   6.48  6.13568
78   1h23   8.35  7.56190
79   1h22   9.10  7.56535
80   1e66   9.89  7.28765
81   3f3a   4.19  5.29571
82   3f3c   6.02  5.18397
83   4mme   6.50  6.58968
84   3f3d   7.16  5.50692
85   3f3e   7.70  5.30369
86   2wbg   4.45  6.41699
87   2cbv   5.48  4.75900
88   2j78   6.42  5.18179
89   2j7h   7.19  5.19345
90   2cet   8.02  6.30781
91   3udh   2.85  5.21891
92   3rsx   4.41  5.19268
93   4djv   6.72  6.84678
94   2vkm   8.74  7.97007
95   4gid  10.77  8.66539
96   4jfs   5.27  5.80004
97   4j28   5.70  5.60983
98   2wvt   6.12  5.22362
99   2xii   7.20  6.40487
100  4pcs   7.85  5.73750
101  3rr4   4.55  6.12025
102  1s38   5.15  6.07423
103  1r5y   6.46  5.85956
104  3gc5   7.26  7.52380
105  3ge7   8.70  7.93512
106  4dli   5.62  6.27032
107  2zb1   6.32  6.85272
108  4f9w   6.94  7.23125
109  3e92   8.00  7.23643
110  3e93   8.85  7.80715
111  4owm   2.96  3.90921
112  3twp   3.92  3.48944
113  3r88   4.82  4.22237
114  4gkm   5.17  5.30952
115  3qqs   5.82  5.21103
116  3gv9   2.12  4.17936
117  3gr2   2.52  4.07381
118  4kz6   3.10  4.40658
119  4jxs   4.74  5.08391
120  2r9w   5.10  5.31754
121  2hb1   3.80  4.56840
122  1bzc   4.92  4.98777
123  2qbr   6.33  5.98322
124  2qbq   7.44  6.22030
125  2qbp   8.40  6.33758
126  1q8t   4.76  6.08778
127  1ydr   5.52  6.49408
128  1q8u   5.96  6.66961
129  1ydt   7.32  7.54300
130  3ag9   8.05  6.62441
131  3fcq   2.77  4.02190
132  1z9g   5.64  5.46365
133  1qf1   7.32  6.85978
134  5tmn   8.04  5.82848
135  4tmn  10.17  6.28898
136  4ddk   2.29  4.57851
137  4ddh   3.32  5.20315
138  3ivg   4.30  6.86874
139  3coz   5.57  7.12178
140  3coy   6.02  7.41486
141  3pxf   4.43  5.10143
142  4eor   6.30  7.37590
143  2xnb   6.83  7.92898
144  1pxn   7.15  7.35809
145  2fvd   8.52  7.76645
146  4k77   6.63  6.24030
147  4e5w   7.66  7.60215
148  4ivb   8.72  7.46968
149  4ivd   9.52  7.57151
150  4ivc  10.00  7.66684
151  4f09   6.70  6.94512
152  4gfm   7.22  6.19106
153  4hge   7.92  7.40042
154  4e6q   8.36  7.24318
155  4jia   9.22  6.67267
156  2brb   4.86  6.42221
157  2br1   5.14  6.52944
158  3jvr   5.72  5.81590
159  3jvs   6.54  5.21904
160  1nvq   8.25  8.06020
161  3acw   4.76  6.28456
162  4ea2   6.44  6.92897
163  2zcr   6.87  6.07930
