     code  logKa    score
1    4llx   2.89  0.84871
2    5c28   5.66  0.47568
3    3uuo   7.96  0.73769
4    3ui7   9.00  0.92674
5    5c2h  11.09  0.98527
6    2v00   3.66  0.71266
7    3wz8   5.82  0.86282
8    3pww   7.32  0.91416
9    3prs   7.82  0.95262
10   3uri   9.00  0.70768
11   4m0z   5.19  0.98411
12   4m0y   6.46  0.92509
13   3qgy   7.80  0.89361
14   4qd6   8.64  0.81377
15   4rfm  10.05  0.97071
16   4cr9   4.10  0.91794
17   4cra   7.22  0.96922
18   4x6p   8.30  0.96504
19   4crc   8.72  0.90592
20   4ty7   9.52  0.91950
21   5aba   2.98  0.80425
22   5a7b   3.57  0.89281
23   4agn   3.97  0.88686
24   4agp   4.69  0.94290
25   4agq   5.01  0.95683
26   3bgz   6.26  0.96305
27   3jya   6.89  0.92617
28   2c3i   7.60  0.88185
29   4k18   8.96  0.80851
30   5dwr  11.22  0.95195
31   3mss   4.66  0.74232
32   3k5v   6.30  0.89688
33   3pyy   6.86  0.71873
34   2v7a   8.30  0.99810
35   4twp  10.00  0.95911
36   3wtj   6.53  0.81794
37   3zdg   7.10  0.93100
38   3u8k   8.66  0.98941
39   4qac   9.40  0.96532
40   3u8n  10.17  0.99536
41   1a30   4.30  0.13739
42   2qnq   6.11  0.97920
43   1g2k   7.96  0.99468
44   1eby   9.70  0.99514
45   3o9i  11.82  0.99506
46   4lzs   4.80  0.97124
47   3u5j   5.61  0.88839
48   4wiv   6.26  0.88223
49   4ogj   6.79  0.73265
50   3p5o   7.30  0.95534
51   1ps3   2.28  0.98709
52   3dx1   3.58  0.94413
53   3d4z   4.89  0.98962
54   3dx2   6.82  0.96725
55   3ejr   8.57  0.78375
56   3l7b   2.40  0.69975
57   4eky   3.52  0.93074
58   3g2n   4.09  0.94605
59   3syr   5.10  0.97031
60   3ebp   5.91  0.55211
61   2w66   4.05  0.96227
62   2w4x   4.85  0.93968
63   2wca   5.60  0.96992
64   2xj7   6.66  0.99230
65   2vvn   7.30  0.98873
66   3aru   3.22  0.93368
67   3arv   5.64  0.88653
68   3ary   6.00  0.91173
69   3arq   6.40  0.84410
70   3arp   7.15  0.87632
71   4ih5   4.11  0.35602
72   4ih7   5.24  0.91999
73   3cj4   6.51  0.86833
74   4eo8   8.15  0.94751
75   3gnw   9.10  0.99209
76   1gpk   5.37  0.87543
77   1gpn   6.48  0.74094
78   1h23   8.35  0.95800
79   1h22   9.10  0.98466
80   1e66   9.89  0.99183
81   3f3a   4.19  0.64009
82   3f3c   6.02  0.36974
83   4mme   6.50  0.92543
84   3f3d   7.16  0.97390
85   3f3e   7.70  0.95013
86   2wbg   4.45  0.99426
87   2cbv   5.48  0.54649
88   2j78   6.42  0.93016
89   2j7h   7.19  0.97730
90   2cet   8.02  0.75692
91   3udh   2.85  0.96865
92   3rsx   4.41  0.88536
93   4djv   6.72  0.97715
94   2vkm   8.74  0.51773
95   4gid  10.77  0.96067
96   4jfs   5.27  0.97668
97   4j28   5.70  0.93391
98   2wvt   6.12  0.96302
99   2xii   7.20  0.96472
100  4pcs   7.85  0.98090
101  3rr4   4.55  0.96219
102  1s38   5.15  0.99614
103  1r5y   6.46  0.99069
104  3gc5   7.26  0.99977
105  3ge7   8.70  0.99939
106  4dli   5.62  0.80307
107  2zb1   6.32  0.90164
108  4f9w   6.94  0.98386
109  3e92   8.00  0.97936
110  3e93   8.85  0.95229
111  4owm   2.96  0.79131
112  3twp   3.92  0.83973
113  3r88   4.82  0.81845
114  4gkm   5.17  0.86859
115  3qqs   5.82  0.83584
116  3gv9   2.12  0.65413
117  3gr2   2.52  0.44025
118  4kz6   3.10  0.64859
119  4jxs   4.74  0.80352
120  2r9w   5.10  0.76820
121  2hb1   3.80  0.64959
122  1bzc   4.92  0.82377
123  2qbr   6.33  0.61887
124  2qbq   7.44  0.55586
125  2qbp   8.40  0.73472
126  1q8t   4.76  0.78299
127  1ydr   5.52  0.91479
128  1q8u   5.96  0.88831
129  1ydt   7.32  0.97304
130  3ag9   8.05  0.68153
131  3fcq   2.77  0.14755
132  1z9g   5.64  0.83527
133  1qf1   7.32  0.98039
134  5tmn   8.04  0.32949
135  4tmn  10.17  0.21057
136  4ddk   2.29  0.90217
137  4ddh   3.32  0.92218
138  3ivg   4.30  0.96993
139  3coz   5.57  0.97772
140  3coy   6.02  0.98987
141  3pxf   4.43  0.48559
142  4eor   6.30  0.96077
143  2xnb   6.83  0.99613
144  1pxn   7.15  0.99386
145  2fvd   8.52  0.99749
146  4k77   6.63  0.84534
147  4e5w   7.66  0.96097
148  4ivb   8.72  0.99441
149  4ivd   9.52  0.98716
150  4ivc  10.00  0.99425
151  4f09   6.70  0.98985
152  4gfm   7.22  0.96137
153  4hge   7.92  0.95779
154  4e6q   8.36  0.96158
155  4jia   9.22  0.70697
156  2brb   4.86  0.82126
157  2br1   5.14  0.73380
158  3jvr   5.72  0.98750
159  3jvs   6.54  0.45058
160  1nvq   8.25  0.99434
161  3acw   4.76  0.74363
162  4ea2   6.44  0.69054
163  2zcr   6.87  0.42857
164  2zy1   7.40  0.92956
165  2zcq   8.82  0.25297
166  1bcu   3.28  0.87329
167  3bv9   5.36  0.69448
168  1oyt   7.24  0.91789
169  2zda   8.40  0.99104
170  3utu  10.92  0.98949
171  3u9q   4.38  0.96142
172  2yfe   6.63  0.95215
173  3fur   8.00  0.96417
174  3b1m   8.48  0.77730
175  2p4y   9.00  0.99402
176  3uo4   6.52  0.93711
177  3up2   7.40  0.98070
178  3e5a   8.23  0.68051
179  2wtv   8.74  0.93814
180  3myg  10.70  0.97338
