     code  logKa     score
1    4llx   2.89   3.93489
2    5c28   5.66   4.59279
3    3uuo   7.96   7.01415
4    3ui7   9.00   7.62649
5    5c2h  11.09   7.74551
6    2v00   3.66   4.43289
7    3wz8   5.82   5.86817
8    3pww   7.32   7.34231
9    3prs   7.82   8.59294
10   3uri   9.00   7.11456
11   4m0z   5.19   6.67031
12   4m0y   6.46   6.34797
13   3qgy   7.80   8.20672
14   4qd6   8.64   6.82451
15   4rfm  10.05   7.64835
16   4cr9   4.10   4.79449
17   4cra   7.22   7.79805
18   4x6p   8.30   8.61561
19   4crc   8.72   8.56641
20   4ty7   9.52   7.94512
21   5aba   2.98   4.96994
22   5a7b   3.57   5.07467
23   4agn   3.97   5.04291
24   4agp   4.69   5.51390
25   4agq   5.01   5.63537
26   3bgz   6.26   6.99018
27   3jya   6.89   6.73188
28   2c3i   7.60   7.35571
29   4k18   8.96   8.08801
30   5dwr  11.22   8.92953
31   3mss   4.66   4.16063
32   3k5v   6.30   6.10382
33   3pyy   6.86   5.89538
34   2v7a   8.30   8.39415
35   4twp  10.00   8.07529
36   3wtj   6.53   6.97573
37   3zdg   7.10   6.71320
38   3u8k   8.66   7.93299
39   4qac   9.40   8.02098
40   3u8n  10.17   8.76796
41   1a30   4.30   6.79244
42   2qnq   6.11   8.38637
43   1g2k   7.96   9.20967
44   1eby   9.70   8.86850
45   3o9i  11.82  10.27918
46   4lzs   4.80   4.92721
47   3u5j   5.61   6.00668
48   4wiv   6.26   5.95297
49   4ogj   6.79   6.64482
50   3p5o   7.30   6.97330
51   1ps3   2.28   5.66590
52   3dx1   3.58   5.44135
53   3d4z   4.89   6.06958
54   3dx2   6.82   6.05950
55   3ejr   8.57   8.03741
56   3l7b   2.40   3.74171
57   4eky   3.52   5.49704
58   3g2n   4.09   5.09292
59   3syr   5.10   4.95588
60   3ebp   5.91   5.61071
61   2w66   4.05   6.16689
62   2w4x   4.85   4.22008
63   2wca   5.60   6.08956
64   2xj7   6.66   6.64529
65   2vvn   7.30   6.46838
66   3aru   3.22   4.81931
67   3arv   5.64   5.32337
68   3ary   6.00   4.59172
69   3arq   6.40   5.85292
70   3arp   7.15   5.74806
71   4ih5   4.11   4.63304
72   4ih7   5.24   5.23115
73   3cj4   6.51   6.16921
74   4eo8   8.15   6.81428
75   3gnw   9.10   8.17478
76   1gpk   5.37   6.68807
77   1gpn   6.48   7.10888
78   1h23   8.35   8.33639
79   1h22   9.10   8.38256
80   1e66   9.89   7.89799
81   3f3a   4.19   5.05267
82   3f3c   6.02   4.91130
83   4mme   6.50   6.07456
84   3f3d   7.16   5.11100
85   3f3e   7.70   4.96912
86   2wbg   4.45   7.00994
87   2cbv   5.48   5.97061
88   2j78   6.42   6.32595
89   2j7h   7.19   5.66232
90   2cet   8.02   8.42081
91   3udh   2.85   4.77583
92   3rsx   4.41   4.83253
93   4djv   6.72   7.14480
94   2vkm   8.74   8.33188
95   4gid  10.77   8.49662
96   4jfs   5.27   6.51468
97   4j28   5.70   7.08761
98   2wvt   6.12   6.03606
99   2xii   7.20   7.97842
100  4pcs   7.85   6.69779
101  3rr4   4.55   5.96002
102  1s38   5.15   5.73129
103  1r5y   6.46   5.87277
104  3gc5   7.26   7.72323
105  3ge7   8.70   8.77321
106  4dli   5.62   6.40339
107  2zb1   6.32   6.76027
108  4f9w   6.94   7.58883
