     code  logKa    score
1    4llx   2.89  0.84351
2    5c28   5.66  0.73383
3    3uuo   7.96  0.64925
4    3ui7   9.00  0.63216
5    5c2h  11.09  0.91993
6    2v00   3.66  0.45166
7    3wz8   5.82  0.33923
8    3pww   7.32  0.87617
9    3prs   7.82  0.90889
10   3uri   9.00  0.96424
11   4m0z   5.19  0.69299
12   4m0y   6.46  0.58468
13   3qgy   7.80  0.65102
14   4qd6   8.64  0.35427
15   4rfm  10.05  0.89688
16   4cr9   4.10  0.82351
17   4cra   7.22  0.71404
18   4x6p   8.30  0.96851
19   4crc   8.72  0.95199
20   4ty7   9.52  0.53050
21   5aba   2.98  0.47610
22   5a7b   3.57  0.59998
23   4agn   3.97  0.76876
24   4agp   4.69  0.66011
25   4agq   5.01  0.48263
26   3bgz   6.26  0.83345
27   3jya   6.89  0.91093
28   2c3i   7.60  0.87719
29   4k18   8.96  0.57772
30   5dwr  11.22  0.95866
31   3mss   4.66  0.82032
32   3k5v   6.30  0.98595
33   3pyy   6.86  0.96869
34   2v7a   8.30  0.89465
35   4twp  10.00  0.93431
36   3wtj   6.53  0.99808
37   3zdg   7.10  0.98211
38   3u8k   8.66  0.99480
39   4qac   9.40  0.99660
40   3u8n  10.17  0.99854
41   1a30   4.30  0.31279
42   2qnq   6.11  0.97761
43   1g2k   7.96  0.99196
44   1eby   9.70  0.99042
45   3o9i  11.82  0.99677
46   4lzs   4.80  0.70910
47   3u5j   5.61  0.52761
48   4wiv   6.26  0.48628
49   4ogj   6.79  0.58976
50   3p5o   7.30  0.74705
51   1ps3   2.28  0.99291
52   3dx1   3.58  0.99089
53   3d4z   4.89  0.98044
54   3dx2   6.82  0.99527
55   3ejr   8.57  0.98809
56   3l7b   2.40  0.94751
57   4eky   3.52  0.94998
58   3g2n   4.09  0.95706
59   3syr   5.10  0.99052
60   3ebp   5.91  0.29268
61   2w66   4.05  0.94136
62   2w4x   4.85  0.96176
63   2wca   5.60  0.97126
64   2xj7   6.66  0.96836
65   2vvn   7.30  0.98815
66   3aru   3.22  0.59795
67   3arv   5.64  0.42356
68   3ary   6.00  0.08677
69   3arq   6.40  0.44488
70   3arp   7.15  0.41513
71   4ih5   4.11  0.13644
72   4ih7   5.24  0.77204
73   3cj4   6.51  0.96501
74   4eo8   8.15  0.96934
75   3gnw   9.10  0.71218
76   1gpk   5.37  0.87108
77   1gpn   6.48  0.57000
78   1h23   8.35  0.99383
79   1h22   9.10  0.99396
80   1e66   9.89  0.92588
81   3f3a   4.19  0.94683
82   3f3c   6.02  0.99661
83   4mme   6.50  0.93303
84   3f3d   7.16  0.99753
85   3f3e   7.70  0.99621
86   2wbg   4.45  0.99669
87   2cbv   5.48  0.99817
88   2j78   6.42  0.96317
89   2j7h   7.19  0.99153
90   2cet   8.02  0.99673
91   3udh   2.85  0.78683
92   3rsx   4.41  0.63992
93   4djv   6.72  0.92732
94   2vkm   8.74  0.91851
95   4gid  10.77  0.99484
96   4jfs   5.27  0.97963
97   4j28   5.70  0.98473
98   2wvt   6.12  0.98710
99   2xii   7.20  0.98821
100  4pcs   7.85  0.99086
101  3rr4   4.55  0.96009
102  1s38   5.15  0.99579
103  1r5y   6.46  0.99242
104  3gc5   7.26  0.99837
105  3ge7   8.70  0.98099
106  4dli   5.62  0.89395
107  2zb1   6.32  0.86668
108  4f9w   6.94  0.83557
109  3e92   8.00  0.91442
110  3e93   8.85  0.93384
111  4owm   2.96  0.78340
112  3twp   3.92  0.70079
113  3r88   4.82  0.86221
114  4gkm   5.17  0.92731
115  3qqs   5.82  0.91212
116  3gv9   2.12  0.32861
117  3gr2   2.52  0.46760
118  4kz6   3.10  0.70996
119  4jxs   4.74  0.28212
120  2r9w   5.10  0.70982
121  2hb1   3.80  0.98606
122  1bzc   4.92  0.97837
123  2qbr   6.33  0.98203
124  2qbq   7.44  0.96930
125  2qbp   8.40  0.88750
126  1q8t   4.76  0.86465
127  1ydr   5.52  0.94692
128  1q8u   5.96  0.94985
129  1ydt   7.32  0.98636
130  3ag9   8.05  0.97066
131  3fcq   2.77  0.15625
132  1z9g   5.64  0.75970
133  1qf1   7.32  0.98255
134  5tmn   8.04  0.92239
135  4tmn  10.17  0.88525
136  4ddk   2.29  0.95178
137  4ddh   3.32  0.85499
138  3ivg   4.30  0.68481
139  3coz   5.57  0.97735
140  3coy   6.02  0.98633
141  3pxf   4.43  0.71878
142  4eor   6.30  0.97273
143  2xnb   6.83  0.98873
144  1pxn   7.15  0.95199
145  2fvd   8.52  0.77696
146  4k77   6.63  0.85606
147  4e5w   7.66  0.98122
148  4ivb   8.72  0.97112
149  4ivd   9.52  0.95982
150  4ivc  10.00  0.97137
151  4f09   6.70  0.93002
152  4gfm   7.22  0.18828
