     code  logKa    score
1    4llx   2.89  0.95976
2    5c28   5.66  0.80726
3    3uuo   7.96  0.97483
4    3ui7   9.00  0.98204
5    5c2h  11.09  0.99256
6    2v00   3.66  0.95875
7    3wz8   5.82  0.97894
8    3pww   7.32  0.92193
9    3prs   7.82  0.98532
10   3uri   9.00  0.84899
11   4m0z   5.19  0.96700
12   4m0y   6.46  0.98993
13   3qgy   7.80  0.88167
14   4qd6   8.64  0.66985
15   4rfm  10.05  0.94683
16   4cr9   4.10  0.98652
17   4cra   7.22  0.98199
18   4x6p   8.30  0.98766
19   4crc   8.72  0.99059
20   4ty7   9.52  0.96471
21   5aba   2.98  0.95483
22   5a7b   3.57  0.94590
23   4agn   3.97  0.97066
24   4agp   4.69  0.96455
25   4agq   5.01  0.96183
26   3bgz   6.26  0.97636
27   3jya   6.89  0.89595
28   2c3i   7.60  0.88728
29   4k18   8.96  0.76200
30   5dwr  11.22  0.98704
31   3mss   4.66  0.56263
32   3k5v   6.30  0.93446
33   3pyy   6.86  0.97298
34   2v7a   8.30  0.99733
35   4twp  10.00  0.68768
36   3wtj   6.53  0.91931
37   3zdg   7.10  0.98775
38   3u8k   8.66  0.99240
39   4qac   9.40  0.90243
40   3u8n  10.17  0.99526
41   1a30   4.30  0.74025
42   2qnq   6.11  0.90171
43   1g2k   7.96  0.99677
44   1eby   9.70  0.98906
45   3o9i  11.82  0.99572
46   4lzs   4.80  0.95626
47   3u5j   5.61  0.97592
48   4wiv   6.26  0.94182
49   4ogj   6.79  0.95022
50   3p5o   7.30  0.99180
51   1ps3   2.28  0.99018
52   3dx1   3.58  0.99591
53   3d4z   4.89  0.99422
54   3dx2   6.82  0.99905
55   3ejr   8.57  0.98774
56   3l7b   2.40  0.89602
57   4eky   3.52  0.76818
58   3g2n   4.09  0.96984
59   3syr   5.10  0.98895
60   3ebp   5.91  0.51409
61   2w66   4.05  0.99359
62   2w4x   4.85  0.99284
63   2wca   5.60  0.53298
64   2xj7   6.66  0.99739
65   2vvn   7.30  0.99535
66   3aru   3.22  0.67789
67   3arv   5.64  0.90508
68   3ary   6.00  0.95150
69   3arq   6.40  0.87892
70   3arp   7.15  0.81806
71   4ih5   4.11  0.66057
72   4ih7   5.24  0.99062
73   3cj4   6.51  0.96702
74   4eo8   8.15  0.98673
75   3gnw   9.10  0.99266
76   1gpk   5.37  0.90986
77   1gpn   6.48  0.93056
78   1h23   8.35  0.99331
79   1h22   9.10  0.99299
80   1e66   9.89  0.99125
81   3f3a   4.19  0.91021
82   3f3c   6.02  0.97591
83   4mme   6.50  0.70327
84   3f3d   7.16  0.94975
85   3f3e   7.70  0.98513
86   2wbg   4.45  0.99708
87   2cbv   5.48  0.99065
88   2j78   6.42  0.99843
89   2j7h   7.19  0.99030
90   2cet   8.02  0.99846
91   3udh   2.85  0.82080
92   3rsx   4.41  0.99004
93   4djv   6.72  0.99626
94   2vkm   8.74  0.99559
95   4gid  10.77  0.99308
96   4jfs   5.27  0.98727
97   4j28   5.70  0.98310
98   2wvt   6.12  0.99410
99   2xii   7.20  0.99767
100  4pcs   7.85  0.99190
101  3rr4   4.55  0.97982
102  1s38   5.15  0.99177
103  1r5y   6.46  0.98878
104  3gc5   7.26  0.99546
105  3ge7   8.70  0.98748
106  4dli   5.62  0.75007
107  2zb1   6.32  0.98826
108  4f9w   6.94  0.99765
109  3e92   8.00  0.99439
110  3e93   8.85  0.97499
111  4owm   2.96  0.86262
112  3twp   3.92  0.13616
113  3r88   4.82  0.87642
114  4gkm   5.17  0.98661
115  3qqs   5.82  0.96789
116  3gv9   2.12  0.96394
117  3gr2   2.52  0.59012
118  4kz6   3.10  0.94470
119  4jxs   4.74  0.97932
120  2r9w   5.10  0.98490
121  2hb1   3.80  0.96145
122  1bzc   4.92  0.97395
123  2qbr   6.33  0.96054
124  2qbq   7.44  0.92135
125  2qbp   8.40  0.96939
126  1q8t   4.76  0.94017
127  1ydr   5.52  0.97380
128  1q8u   5.96  0.99349
129  1ydt   7.32  0.99571
130  3ag9   8.05  0.16062
131  3fcq   2.77  0.84963
132  1z9g   5.64  0.96491
133  1qf1   7.32  0.98187
134  5tmn   8.04  0.95606
135  4tmn  10.17  0.83383
136  4ddk   2.29  0.80457
137  4ddh   3.32  0.95341
138  3ivg   4.30  0.96417
139  3coz   5.57  0.98384
140  3coy   6.02  0.99540
141  3pxf   4.43  0.49151
142  4eor   6.30  0.99355
143  2xnb   6.83  0.99428
144  1pxn   7.15  0.97078
145  2fvd   8.52  0.99368
146  4k77   6.63  0.99327
147  4e5w   7.66  0.99523
148  4ivb   8.72  0.99807
149  4ivd   9.52  0.99251
150  4ivc  10.00  0.99844
151  4f09   6.70  0.99763
152  4gfm   7.22  0.98510
153  4hge   7.92  0.99112
154  4e6q   8.36  0.99143
155  4jia   9.22  0.90868
156  2brb   4.86  0.98320
157  2br1   5.14  0.98302
158  3jvr   5.72  0.98891
159  3jvs   6.54  0.94644
160  1nvq   8.25  0.99877
161  3acw   4.76  0.98480
162  4ea2   6.44  0.95707
163  2zcr   6.87  0.93340
164  2zy1   7.40  0.95229
165  2zcq   8.82  0.80747
166  1bcu   3.28  0.94472
167  3bv9   5.36  0.69733
168  1oyt   7.24  0.97944
169  2zda   8.40  0.99650
170  3utu  10.92  0.99715
171  3u9q   4.38  0.92336
172  2yfe   6.63  0.96166
173  3fur   8.00  0.98714
174  3b1m   8.48  0.80289
175  2p4y   9.00  0.95362
176  3uo4   6.52  0.99219
177  3up2   7.40  0.99593
178  3e5a   8.23  0.74830
179  2wtv   8.74  0.91854
180  3myg  10.70  0.87814
181  3kgp   2.57  0.98505
