     code  logKa    score
1    4llx   2.89  4.74215
2    5c28   5.66  4.96423
3    3uuo   7.96  6.33972
4    3ui7   9.00  6.72169
5    5c2h  11.09  7.48128
6    2v00   3.66  5.40118
7    3wz8   5.82  6.94479
8    3pww   7.32  8.29798
9    3prs   7.82  8.77157
10   3uri   9.00  8.78576
11   4m0z   5.19  6.92788
12   4m0y   6.46  6.06855
13   3qgy   7.80  7.07861
14   4qd6   8.64  6.12352
15   4rfm  10.05  7.38083
16   4cr9   4.10  5.09206
17   4cra   7.22  7.15161
18   4x6p   8.30  7.97331
19   4crc   8.72  7.65357
20   4ty7   9.52  7.39616
21   5aba   2.98  5.14747
22   5a7b   3.57  5.99477
23   4agn   3.97  5.46040
24   4agp   4.69  6.17034
25   4agq   5.01  6.39290
26   3bgz   6.26  6.73707
27   3jya   6.89  6.40196
28   2c3i   7.60  6.89324
29   4k18   8.96  7.09368
30   5dwr  11.22  8.25432
31   3mss   4.66  4.60845
32   3k5v   6.30  6.37934
33   3pyy   6.86  6.17521
34   2v7a   8.30  7.79208
35   4twp  10.00  7.17637
36   3wtj   6.53  6.42294
37   3zdg   7.10  5.73581
38   3u8k   8.66  6.53457
39   4qac   9.40  7.28810
40   3u8n  10.17  6.98868
41   1a30   4.30  4.95038
42   2qnq   6.11  8.44012
43   1g2k   7.96  8.74279
44   1eby   9.70  8.68453
45   3o9i  11.82  8.86286
46   4lzs   4.80  5.25829
47   3u5j   5.61  6.23027
48   4wiv   6.26  6.03869
49   4ogj   6.79  7.11486
50   3p5o   7.30  6.81993
51   1ps3   2.28  5.34501
52   3dx1   3.58  4.92116
53   3d4z   4.89  5.42551
54   3dx2   6.82  5.48282
55   3ejr   8.57  6.26847
56   3l7b   2.40  5.71916
57   4eky   3.52  6.07780
58   3g2n   4.09  5.89754
59   3syr   5.10  6.31683
60   3ebp   5.91  5.40322
61   2w66   4.05  5.36018
62   2w4x   4.85  4.86594
63   2wca   5.60  5.67120
64   2xj7   6.66  5.88780
65   2vvn   7.30  5.78903
66   3aru   3.22  5.07891
67   3arv   5.64  5.19663
68   3ary   6.00  4.68708
69   3arq   6.40  5.28589
70   3arp   7.15  6.35455
71   4ih5   4.11  5.28315
72   4ih7   5.24  5.72051
73   3cj4   6.51  5.92365
74   4eo8   8.15  6.56550
75   3gnw   9.10  8.28605
76   1gpk   5.37  6.22842
77   1gpn   6.48  6.18892
78   1h23   8.35  7.69973
79   1h22   9.10  7.56574
80   1e66   9.89  7.30916
81   3f3a   4.19  5.41929
82   3f3c   6.02  5.68147
83   4mme   6.50  6.19863
84   3f3d   7.16  5.51138
85   3f3e   7.70  5.41708
86   2wbg   4.45  6.20769
87   2cbv   5.48  4.58807
88   2j78   6.42  5.16745
89   2j7h   7.19  5.21484
90   2cet   8.02  6.54971
91   3udh   2.85  5.20511
92   3rsx   4.41  5.24434
93   4djv   6.72  6.92332
94   2vkm   8.74  8.01530
95   4gid  10.77  8.50922
96   4jfs   5.27  5.73006
97   4j28   5.70  5.79913
98   2wvt   6.12  5.25981
99   2xii   7.20  6.53955
100  4pcs   7.85  5.91841
101  3rr4   4.55  6.20210
102  1s38   5.15  6.10429
