     code  logKa    score
1    4llx   2.89  5.02241
2    5c28   5.66  5.43684
3    3uuo   7.96  6.72254
4    3ui7   9.00  6.81076
5    5c2h  11.09  7.67914
6    2v00   3.66  5.87422
7    3wz8   5.82  7.37217
8    3pww   7.32  8.79228
9    3prs   7.82  9.04743
10   3uri   9.00  9.37058
11   4m0z   5.19  7.39878
12   4m0y   6.46  6.33602
13   3qgy   7.80  7.59290
14   4qd6   8.64  6.98907
15   4rfm  10.05  7.74172
16   4cr9   4.10  5.59987
17   4cra   7.22  7.18757
18   4x6p   8.30  7.99361
19   4crc   8.72  7.67266
20   4ty7   9.52  7.39159
21   5aba   2.98  5.23976
22   5a7b   3.57  6.17026
23   4agn   3.97  5.83591
24   4agp   4.69  6.28920
25   4agq   5.01  6.41921
26   3bgz   6.26  7.08855
27   3jya   6.89  6.84460
28   2c3i   7.60  6.97532
29   4k18   8.96  7.65106
30   5dwr  11.22  8.80392
31   3mss   4.66  4.93883
32   3k5v   6.30  6.56681
33   3pyy   6.86  6.62737
34   2v7a   8.30  7.84564
35   4twp  10.00  7.69334
36   3wtj   6.53  6.74880
37   3zdg   7.10  5.85299
38   3u8k   8.66  6.73585
39   4qac   9.40  7.62949
40   3u8n  10.17  7.22419
41   1a30   4.30  5.72020
42   2qnq   6.11  9.09029
43   1g2k   7.96  8.81779
44   1eby   9.70  8.49789
45   3o9i  11.82  8.75508
46   4lzs   4.80  5.29617
47   3u5j   5.61  6.30319
48   4wiv   6.26  6.19277
49   4ogj   6.79  7.41314
50   3p5o   7.30  7.17848
51   1ps3   2.28  5.50808
52   3dx1   3.58  4.95607
53   3d4z   4.89  5.43972
54   3dx2   6.82  5.72862
55   3ejr   8.57  6.58056
56   3l7b   2.40  5.23515
57   4eky   3.52  6.53021
58   3g2n   4.09  5.69713
59   3syr   5.10  6.06794
60   3ebp   5.91  5.86501
61   2w66   4.05  5.82305
62   2w4x   4.85  5.03370
63   2wca   5.60  5.69952
64   2xj7   6.66  6.02977
65   2vvn   7.30  6.09931
66   3aru   3.22  5.15434
67   3arv   5.64  5.52974
68   3ary   6.00  4.82385
69   3arq   6.40  5.89492
70   3arp   7.15  6.24493
71   4ih5   4.11  5.22776
72   4ih7   5.24  6.00159
73   3cj4   6.51  6.02202
74   4eo8   8.15  6.62197
75   3gnw   9.10  8.33357
76   1gpk   5.37  6.48519
77   1gpn   6.48  6.38323
78   1h23   8.35  7.76372
79   1h22   9.10  7.44200
80   1e66   9.89  7.38885
81   3f3a   4.19  5.73221
82   3f3c   6.02  5.92290
83   4mme   6.50  6.84130
