     code  logKa    score
1    4llx   2.89  0.92965
2    5c28   5.66  0.85915
3    3uuo   7.96  0.96145
4    3ui7   9.00  0.92288
5    5c2h  11.09  0.97542
6    2v00   3.66  0.80822
7    3wz8   5.82  0.87164
8    3pww   7.32  0.97647
9    3prs   7.82  0.96697
10   3uri   9.00  0.99384
11   4m0z   5.19  0.95974
12   4m0y   6.46  0.93633
13   3qgy   7.80  0.90565
14   4qd6   8.64  0.77689
15   4rfm  10.05  0.96534
16   4cr9   4.10  0.96515
17   4cra   7.22  0.93583
18   4x6p   8.30  0.93273
19   4crc   8.72  0.93779
20   4ty7   9.52  0.84906
21   5aba   2.98  0.73855
22   5a7b   3.57  0.87185
23   4agn   3.97  0.91180
24   4agp   4.69  0.92587
25   4agq   5.01  0.92841
26   3bgz   6.26  0.94980
27   3jya   6.89  0.86207
28   2c3i   7.60  0.88642
29   4k18   8.96  0.90733
30   5dwr  11.22  0.98245
31   3mss   4.66  0.83435
32   3k5v   6.30  0.90779
33   3pyy   6.86  0.96312
34   2v7a   8.30  0.99535
35   4twp  10.00  0.92954
36   3wtj   6.53  0.94040
37   3zdg   7.10  0.98279
38   3u8k   8.66  0.98920
39   4qac   9.40  0.97272
40   3u8n  10.17  0.99427
41   1a30   4.30  0.43007
42   2qnq   6.11  0.92609
43   1g2k   7.96  0.99314
44   1eby   9.70  0.99186
45   3o9i  11.82  0.97878
46   4lzs   4.80  0.92947
47   3u5j   5.61  0.92739
48   4wiv   6.26  0.77247
49   4ogj   6.79  0.73509
50   3p5o   7.30  0.97024
51   1ps3   2.28  0.97336
52   3dx1   3.58  0.97657
53   3d4z   4.89  0.96906
54   3dx2   6.82  0.99139
55   3ejr   8.57  0.97704
56   3l7b   2.40  0.36394
57   4eky   3.52  0.85680
58   3g2n   4.09  0.89840
59   3syr   5.10  0.90577
60   3ebp   5.91  0.55811
61   2w66   4.05  0.98339
62   2w4x   4.85  0.94915
63   2wca   5.60  0.93974
64   2xj7   6.66  0.98471
65   2vvn   7.30  0.98240
66   3aru   3.22  0.91647
67   3arv   5.64  0.82617
68   3ary   6.00  0.82263
69   3arq   6.40  0.75784
70   3arp   7.15  0.82265
71   4ih5   4.11  0.33778
72   4ih7   5.24  0.92600
73   3cj4   6.51  0.88224
74   4eo8   8.15  0.86280
75   3gnw   9.10  0.98371
76   1gpk   5.37  0.90845
77   1gpn   6.48  0.78119
78   1h23   8.35  0.91427
79   1h22   9.10  0.91995
80   1e66   9.89  0.95668
81   3f3a   4.19  0.80799
82   3f3c   6.02  0.93811
83   4mme   6.50  0.95224
84   3f3d   7.16  0.96646
85   3f3e   7.70  0.95088
86   2wbg   4.45  0.99273
87   2cbv   5.48  0.93190
88   2j78   6.42  0.96804
89   2j7h   7.19  0.97342
90   2cet   8.02  0.98309
