     code  logKa     score
1    4llx   2.89   5.27993
2    5c28   5.66   6.14659
3    3uuo   7.96   8.37494
4    3ui7   9.00   8.78987
5    5c2h  11.09  10.35973
6    2v00   3.66   8.19110
7    3wz8   5.82   9.43694
8    3pww   7.32  11.73916
9    3prs   7.82   9.79108
10   3uri   9.00   8.28427
11   4m0z   5.19  11.01255
12   4m0y   6.46   7.73613
13   3qgy   7.80   9.64947
14   4qd6   8.64   8.34094
15   4rfm  10.05  11.66817
16   4cr9   4.10   6.85299
17   4cra   7.22  10.52110
18   4x6p   8.30  11.34005
19   4crc   8.72  10.38811
20   4ty7   9.52  10.36456
21   5aba   2.98   5.68454
22   5a7b   3.57   7.04166
23   4agn   3.97   6.80915
24   4agp   4.69   6.89816
25   4agq   5.01   6.80543
26   3bgz   6.26  10.89446
27   3jya   6.89   7.83730
28   2c3i   7.60   8.70968
29   4k18   8.96  10.58047
30   5dwr  11.22  11.33041
31   3mss   4.66   6.90859
32   3k5v   6.30   8.85915
33   3pyy   6.86   9.12797
34   2v7a   8.30  10.08699
35   4twp  10.00   9.68307
36   3wtj   6.53   6.61234
37   3zdg   7.10   5.71430
38   3u8k   8.66   7.16596
39   4qac   9.40  11.83322
40   3u8n  10.17   7.63001
41   1a30   4.30   7.09540
42   2qnq   6.11  10.27633
43   1g2k   7.96  12.35087
44   1eby   9.70  13.16898
45   3o9i  11.82  10.34035
46   4lzs   4.80   6.11847
47   3u5j   5.61   8.96172
48   4wiv   6.26   8.07598
49   4ogj   6.79   6.70126
50   3p5o   7.30   9.01470
51   1ps3   2.28   9.12519
52   3dx1   3.58   7.54827
53   3d4z   4.89   7.80888
54   3dx2   6.82   7.63946
55   3ejr   8.57   9.78557
56   3l7b   2.40  10.35482
57   4eky   3.52  10.94905
58   3g2n   4.09  10.05171
59   3syr   5.10  11.03075
60   3ebp   5.91  10.69035
61   2w66   4.05   8.85513
62   2w4x   4.85   8.09523
63   2wca   5.60   7.76162
64   2xj7   6.66   9.60552
65   2vvn   7.30   7.87918
66   3aru   3.22   6.16829
67   3arv   5.64  10.78768
68   3ary   6.00   6.89272
69   3arq   6.40  11.35455
70   3arp   7.15  10.29727
71   4ih5   4.11   6.39472
72   4ih7   5.24   7.52255
73   3cj4   6.51   7.60778
74   4eo8   8.15   7.81943
75   3gnw   9.10  12.98980
76   1gpk   5.37  10.79993
77   1gpn   6.48  10.45543
78   1h23   8.35  10.61984
79   1h22   9.10  10.22011
80   1e66   9.89  12.77406
81   3f3a   4.19   7.80299
82   3f3c   6.02   8.13732
83   4mme   6.50  10.55128
84   3f3d   7.16   5.78226
85   3f3e   7.70   6.72265
86   2wbg   4.45   8.61491
87   2cbv   5.48   8.02835
88   2j78   6.42   8.05986
89   2j7h   7.19   6.60815
90   2cet   8.02   9.60698
91   3udh   2.85   7.59145
92   3rsx   4.41   7.94881
93   4djv   6.72  10.43979
94   2vkm   8.74  11.66689
95   4gid  10.77  12.12630
96   4jfs   5.27   7.41947
97   4j28   5.70   7.43033
98   2wvt   6.12   7.09765
99   2xii   7.20  11.04993
100  4pcs   7.85   7.75122
101  3rr4   4.55   8.58593
102  1s38   5.15   8.31715
103  1r5y   6.46   7.86309
104  3gc5   7.26  10.25555
105  3ge7   8.70  10.85229
106  4dli   5.62  10.29151
107  2zb1   6.32  11.14099
108  4f9w   6.94  10.51299
109  3e92   8.00  12.74746
110  3e93   8.85  14.28957
111  4owm   2.96   5.22183
112  3twp   3.92   4.88945
113  3r88   4.82   5.85801
114  4gkm   5.17   8.78093
115  3qqs   5.82   8.79045
116  3gv9   2.12   4.99175
117  3gr2   2.52   4.87236
118  4kz6   3.10   5.65762
119  4jxs   4.74   7.50262
120  2r9w   5.10   8.58163
121  2hb1   3.80   6.41226
122  1bzc   4.92   9.57629
123  2qbr   6.33   7.89027
124  2qbq   7.44   8.46696
125  2qbp   8.40   9.34420
126  1q8t   4.76   8.06013
127  1ydr   5.52   8.18510
128  1q8u   5.96   8.78930
129  1ydt   7.32   8.69864
130  3ag9   8.05   6.86066
131  3fcq   2.77   6.04354
132  1z9g   5.64   6.03931
133  1qf1   7.32   8.09583
134  5tmn   8.04   8.31776
135  4tmn  10.17   9.24193
136  4ddk   2.29   6.39132
137  4ddh   3.32   6.83038
138  3ivg   4.30   9.66017
139  3coz   5.57  10.92348
140  3coy   6.02  11.36496
141  3pxf   4.43   6.63124
142  4eor   6.30   9.51707
143  2xnb   6.83  10.49005
144  1pxn   7.15   9.55422
145  2fvd   8.52   8.90513
146  4k77   6.63   7.83776
147  4e5w   7.66  10.55405
148  4ivb   8.72   9.73246
149  4ivd   9.52   9.14710
150  4ivc  10.00   9.76336
151  4f09   6.70   8.37927
152  4gfm   7.22   7.40736
153  4hge   7.92   9.30481
154  4e6q   8.36   9.57351
155  4jia   9.22   9.43164
156  2brb   4.86   7.88154
157  2br1   5.14   7.77394
158  3jvr   5.72   7.91242
159  3jvs   6.54   7.99389
160  1nvq   8.25  14.02220
161  3acw   4.76  10.84012
162  4ea2   6.44   7.84122
163  2zcr   6.87  10.21669
164  2zy1   7.40   9.10293
165  2zcq   8.82   8.84269
166  1bcu   3.28   7.67784
167  3bv9   5.36   8.77754
168  1oyt   7.24  11.21583
169  2zda   8.40  10.37786
170  3utu  10.92  10.28025
171  3u9q   4.38   5.45966
172  2yfe   6.63   7.88177
173  3fur   8.00  11.67915
174  3b1m   8.48  11.49860
175  2p4y   9.00  11.64679
176  3uo4   6.52   9.84920
177  3up2   7.40   9.41612
178  3e5a   8.23   9.71098
179  2wtv   8.74  11.40412
180  3myg  10.70   7.73340
181  3kgp   2.57   5.68331
182  1c5z   4.01   5.92296
183  1o5b   5.77   6.67442
184  1owh   7.40   8.36312
185  1sqa   9.21   9.30755
186  4jsz   2.30   4.32618
187  3kwa   4.08   3.78667
188  2weg   6.50   6.24675
189  3ryj   7.80   7.44153
190  3dd0   9.00   6.46493
191  2xdl   3.10   6.68292
192  3b27   5.16   7.28551
193  1yc1   6.17  10.56168
194  3rlr   7.52   9.12048
195  2yki   9.46  15.74537
196  1z95   7.12  10.71144
197  3b68   8.40  11.84146
198  3b5r   8.77  11.42501
199  3b65   9.27  10.36349
200  3g0w   9.52  10.58527
201  4u4s   2.92   5.99949
202  1p1q   4.89   7.15941
203  1syi   5.44   9.31589
204  1p1n   6.80   8.40415
205  2al5   8.40   9.14132
206  3g2z   2.36   5.44586
207  3g31   2.89   4.53436
208  4de2   4.12   8.37243
209  4de3   5.52   8.46318
210  4de1   5.96   9.09654
211  1vso   4.72   7.24757
212  4dld   5.82   8.49428
213  3gbb   6.90   9.43750
214  3fv2   8.11  10.88765
215  3fv1   9.30  10.70631
216  4mgd   4.69   9.13648
217  2qe4   7.96  10.41298
218  1qkt   9.04  11.25569
219  2pog   9.54  10.79211
220  2p15  10.30  14.96511
221  2y5h   5.79   8.34312
222  1lpg   7.09   9.94963
223  2xbv   8.43  11.48206
224  1z6e   9.72  11.31595
225  1mq6  11.15   9.64924
226  1nc3   5.00  10.55466
227  1nc1   6.12   9.10828
228  1y6r  10.11  10.58069
229  4f2w  11.30   9.67175
230  4f3c  11.82   9.95641
231  1uto   2.27   4.55841
232  4abg   3.57   5.84817
233  3gy4   5.10   6.63650
234  1k1i   6.58   8.81507
235  1o3f   7.96   9.01431
236  2yge   5.06   9.95444
237  2fxs   6.06   6.98449
238  2iwx   6.68   9.56538
239  2wer   7.05   9.58248
240  2vw5   8.52  10.84539
