     code  logKa     score
1    4llx   2.89   3.82884
2    5c28   5.66   5.35935
3    3uuo   7.96   7.30690
4    3ui7   9.00   7.55570
5    5c2h  11.09   7.25101
6    2v00   3.66   4.23100
7    3wz8   5.82   5.32489
8    3pww   7.32   7.43320
9    3prs   7.82   7.52633
10   3uri   9.00   6.14800
11   4m0z   5.19   6.36920
12   4m0y   6.46   6.12530
13   3qgy   7.80   5.83894
14   4qd6   8.64   6.78551
15   4rfm  10.05   9.13619
16   4cr9   4.10   3.25749
17   4cra   7.22   7.43898
18   4x6p   8.30   8.25549
19   4crc   8.72   8.24237
20   4ty7   9.52   7.77631
21   5aba   2.98   3.36697
22   5a7b   3.57   5.02096
23   4agn   3.97   3.83612
24   4agp   4.69   4.70725
25   4agq   5.01   4.34715
26   3bgz   6.26   6.01826
27   3jya   6.89   7.45773
28   2c3i   7.60   7.24585
29   4k18   8.96   7.72610
30   5dwr  11.22   8.26416
31   3mss   4.66   5.27828
32   3k5v   6.30   6.09264
33   3pyy   6.86   6.03093
34   2v7a   8.30   7.36668
35   4twp  10.00   7.83280
36   3wtj   6.53   8.03923
37   3zdg   7.10   5.98585
38   3u8k   8.66   8.34395
39   4qac   9.40   8.85729
40   3u8n  10.17   9.05837
41   1a30   4.30   6.16656
42   2qnq   6.11   4.25986
43   1g2k   7.96   9.20042
44   1eby   9.70   8.73275
45   3o9i  11.82  11.08743
46   4lzs   4.80   4.33329
47   3u5j   5.61   5.44806
48   4wiv   6.26   5.11614
49   4ogj   6.79   6.62334
50   3p5o   7.30   6.31572
51   1ps3   2.28   5.38712
52   3dx1   3.58   5.10800
53   3d4z   4.89   6.39809
54   3dx2   6.82   5.57410
55   3ejr   8.57   7.63714
56   3l7b   2.40   4.14680
57   4eky   3.52   6.13993
58   3g2n   4.09   5.39410
59   3syr   5.10   5.76410
60   3ebp   5.91   6.95741
61   2w66   4.05   5.20527
62   2w4x   4.85   4.79511
63   2wca   5.60   5.78547
64   2xj7   6.66   5.36775
65   2vvn   7.30   5.34148
66   3aru   3.22   3.93488
67   3arv   5.64   4.40872
68   3ary   6.00   4.48342
69   3arq   6.40   5.59190
70   3arp   7.15   7.85152
71   4ih5   4.11   3.57997
72   4ih7   5.24   5.56126
73   3cj4   6.51   5.86359
74   4eo8   8.15   7.25284
75   3gnw   9.10   7.37759
76   1gpk   5.37   7.30861
77   1gpn   6.48   6.84170
78   1h23   8.35   8.72779
79   1h22   9.10   8.80011
80   1e66   9.89   7.47271
81   3f3a   4.19   5.27926
82   3f3c   6.02   6.08311
83   4mme   6.50   6.23521
84   3f3d   7.16   6.26463
85   3f3e   7.70   6.07510
86   2wbg   4.45   6.44603
87   2cbv   5.48   5.70874
88   2j78   6.42   5.50347
89   2j7h   7.19   5.57272
90   2cet   8.02   8.79234
91   3udh   2.85   4.15221
92   3rsx   4.41   4.38866
93   4djv   6.72   5.98298
94   2vkm   8.74   8.39446
95   4gid  10.77   8.32249
96   4jfs   5.27   6.19747
97   4j28   5.70   6.58925
98   2wvt   6.12   5.24077
99   2xii   7.20   7.62629
100  4pcs   7.85   6.02342
101  3rr4   4.55   6.37474
102  1s38   5.15   5.69732
103  1r5y   6.46   5.62748
104  3gc5   7.26   7.85559
105  3ge7   8.70   7.56343
106  4dli   5.62   6.54066
107  2zb1   6.32   6.93032
108  4f9w   6.94   6.37418
109  3e92   8.00   7.29438
110  3e93   8.85   7.87674
111  4owm   2.96   2.72097
112  3twp   3.92   2.94708
113  3r88   4.82   2.00628
114  4gkm   5.17   3.78299
115  3qqs   5.82   3.58438
116  3gv9   2.12   2.44218
117  3gr2   2.52   2.19334
118  4kz6   3.10   4.46483
119  4jxs   4.74   3.74416
120  2r9w   5.10   4.11020
121  2hb1   3.80   3.99504
122  1bzc   4.92   6.06647
123  2qbr   6.33   6.61011
124  2qbq   7.44   6.37732
