     code  logKa    score
1    4llx   2.89  0.85219
2    5c28   5.66  0.74188
3    3uuo   7.96  0.65531
4    3ui7   9.00  0.73870
5    5c2h  11.09  0.88294
6    2v00   3.66  0.59859
7    3wz8   5.82  0.24750
8    3pww   7.32  0.72498
9    3prs   7.82  0.77865
10   3uri   9.00  0.97350
11   4m0z   5.19  0.70090
12   4m0y   6.46  0.50764
13   3qgy   7.80  0.56356
14   4qd6   8.64  0.29871
15   4rfm  10.05  0.83687
16   4cr9   4.10  0.88348
17   4cra   7.22  0.67164
18   4x6p   8.30  0.94180
19   4crc   8.72  0.93518
20   4ty7   9.52  0.43593
21   5aba   2.98  0.64761
22   5a7b   3.57  0.60535
23   4agn   3.97  0.89071
24   4agp   4.69  0.80519
25   4agq   5.01  0.65712
26   3bgz   6.26  0.79703
27   3jya   6.89  0.90536
28   2c3i   7.60  0.81613
29   4k18   8.96  0.62304
30   5dwr  11.22  0.94947
31   3mss   4.66  0.66324
32   3k5v   6.30  0.98172
33   3pyy   6.86  0.97333
34   2v7a   8.30  0.85987
35   4twp  10.00  0.91387
36   3wtj   6.53  0.99821
37   3zdg   7.10  0.98482
38   3u8k   8.66  0.99629
39   4qac   9.40  0.99594
40   3u8n  10.17  0.99894
41   1a30   4.30  0.46701
42   2qnq   6.11  0.98359
43   1g2k   7.96  0.99280
44   1eby   9.70  0.98907
45   3o9i  11.82  0.99389
46   4lzs   4.80  0.48666
47   3u5j   5.61  0.45337
48   4wiv   6.26  0.42515
49   4ogj   6.79  0.73919
50   3p5o   7.30  0.77678
51   1ps3   2.28  0.98525
52   3dx1   3.58  0.98575
53   3d4z   4.89  0.93188
54   3dx2   6.82  0.99340
55   3ejr   8.57  0.95869
56   3l7b   2.40  0.92965
57   4eky   3.52  0.96054
58   3g2n   4.09  0.95198
59   3syr   5.10  0.99125
60   3ebp   5.91  0.26542
61   2w66   4.05  0.92525
62   2w4x   4.85  0.97830
63   2wca   5.60  0.91047
64   2xj7   6.66  0.93992
65   2vvn   7.30  0.97988
66   3aru   3.22  0.43909
67   3arv   5.64  0.42077
68   3ary   6.00  0.08090
69   3arq   6.40  0.13725
70   3arp   7.15  0.49761
71   4ih5   4.11  0.46784
72   4ih7   5.24  0.74997
73   3cj4   6.51  0.96671
74   4eo8   8.15  0.95881
75   3gnw   9.10  0.63048
76   1gpk   5.37  0.87302
77   1gpn   6.48  0.56594
78   1h23   8.35  0.99281
79   1h22   9.10  0.99127
80   1e66   9.89  0.92359
81   3f3a   4.19  0.93767
82   3f3c   6.02  0.99639
83   4mme   6.50  0.93853
84   3f3d   7.16  0.99737
85   3f3e   7.70  0.99549
86   2wbg   4.45  0.99641
87   2cbv   5.48  0.99801
88   2j78   6.42  0.95230
89   2j7h   7.19  0.98877
90   2cet   8.02  0.99719
91   3udh   2.85  0.81745
92   3rsx   4.41  0.60314
93   4djv   6.72  0.91431
94   2vkm   8.74  0.90350
95   4gid  10.77  0.99451
96   4jfs   5.27  0.98263
97   4j28   5.70  0.98690
98   2wvt   6.12  0.98248
99   2xii   7.20  0.99236
100  4pcs   7.85  0.99128
101  3rr4   4.55  0.92597
102  1s38   5.15  0.99649
103  1r5y   6.46  0.99196
104  3gc5   7.26  0.99805
105  3ge7   8.70  0.97744
106  4dli   5.62  0.86430
107  2zb1   6.32  0.85722
108  4f9w   6.94  0.83835
109  3e92   8.00  0.90310
110  3e93   8.85  0.90375
111  4owm   2.96  0.66499
112  3twp   3.92  0.59606
113  3r88   4.82  0.90297
114  4gkm   5.17  0.91108
115  3qqs   5.82  0.90811
116  3gv9   2.12  0.37056
117  3gr2   2.52  0.50379
118  4kz6   3.10  0.64345
119  4jxs   4.74  0.28989
120  2r9w   5.10  0.58686
121  2hb1   3.80  0.98494
122  1bzc   4.92  0.96179
123  2qbr   6.33  0.98288
124  2qbq   7.44  0.97331
125  2qbp   8.40  0.96920
126  1q8t   4.76  0.89526
127  1ydr   5.52  0.94625
128  1q8u   5.96  0.94796
129  1ydt   7.32  0.97991
130  3ag9   8.05  0.91583
131  3fcq   2.77  0.21260
132  1z9g   5.64  0.78854
133  1qf1   7.32  0.97005
134  5tmn   8.04  0.88112
135  4tmn  10.17  0.84566
136  4ddk   2.29  0.94593
137  4ddh   3.32  0.85473
138  3ivg   4.30  0.75864
139  3coz   5.57  0.96333
140  3coy   6.02  0.98246
141  3pxf   4.43  0.81737
142  4eor   6.30  0.96044
143  2xnb   6.83  0.98315
144  1pxn   7.15  0.97022
145  2fvd   8.52  0.67809
146  4k77   6.63  0.81224
147  4e5w   7.66  0.97523
148  4ivb   8.72  0.96798
149  4ivd   9.52  0.93273
150  4ivc  10.00  0.96832
151  4f09   6.70  0.92914
152  4gfm   7.22  0.17254
153  4hge   7.92  0.85758
154  4e6q   8.36  0.89951
155  4jia   9.22  0.15021
156  2brb   4.86  0.69315
157  2br1   5.14  0.75643
158  3jvr   5.72  0.77305
159  3jvs   6.54  0.40900
160  1nvq   8.25  0.76524
161  3acw   4.76  0.62272
162  4ea2   6.44  0.83733
163  2zcr   6.87  0.08703
164  2zy1   7.40  0.72537
165  2zcq   8.82  0.03922
166  1bcu   3.28  0.37013
167  3bv9   5.36  0.63067
168  1oyt   7.24  0.91795
169  2zda   8.40  0.99360
170  3utu  10.92  0.98451
171  3u9q   4.38  0.87922
172  2yfe   6.63  0.91017
173  3fur   8.00  0.79498
174  3b1m   8.48  0.80189
175  2p4y   9.00  0.98098
176  3uo4   6.52  0.96748
177  3up2   7.40  0.97686
178  3e5a   8.23  0.92240
179  2wtv   8.74  0.92684
180  3myg  10.70  0.84726
