     code  logKa    score
1    4llx   2.89  3.93677
2    5c28   5.66  5.06899
3    3uuo   7.96  7.56505
4    3ui7   9.00  7.55729
5    5c2h  11.09  8.50146
6    2v00   3.66  5.77958
7    3wz8   5.82  7.23807
8    3pww   7.32  8.34736
9    3prs   7.82  8.84592
10   3uri   9.00  8.28980
11   4m0z   5.19  7.51808
12   4m0y   6.46  6.27419
13   3qgy   7.80  7.75748
14   4qd6   8.64  7.12040
15   4rfm  10.05  7.79668
16   4cr9   4.10  4.84845
17   4cra   7.22  7.64935
18   4x6p   8.30  8.45951
19   4crc   8.72  8.31195
20   4ty7   9.52  7.95632
21   5aba   2.98  5.04141
22   5a7b   3.57  5.47996
23   4agn   3.97  5.37941
24   4agp   4.69  5.54808
25   4agq   5.01  5.85182
26   3bgz   6.26  7.25971
27   3jya   6.89  6.57680
28   2c3i   7.60  7.43700
29   4k18   8.96  8.34317
30   5dwr  11.22  8.97933
31   3mss   4.66  4.45985
32   3k5v   6.30  6.27731
33   3pyy   6.86  6.36193
34   2v7a   8.30  7.70517
35   4twp  10.00  7.96112
36   3wtj   6.53  7.44157
37   3zdg   7.10  7.02571
38   3u8k   8.66  8.18560
39   4qac   9.40  7.98028
40   3u8n  10.17  8.81017
41   1a30   4.30  7.04413
42   2qnq   6.11  8.61755
43   1g2k   7.96  9.01675
44   1eby   9.70  9.17781
45   3o9i  11.82  9.65467
46   4lzs   4.80  4.69079
47   3u5j   5.61  6.06253
48   4wiv   6.26  6.50769
49   4ogj   6.79  6.81973
50   3p5o   7.30  7.09418
51   1ps3   2.28  5.82272
52   3dx1   3.58  5.21284
53   3d4z   4.89  5.60921
54   3dx2   6.82  6.09251
55   3ejr   8.57  7.00302
56   3l7b   2.40  4.90150
57   4eky   3.52  6.56983
58   3g2n   4.09  5.29299
59   3syr   5.10  6.24307
60   3ebp   5.91  5.67861
61   2w66   4.05  6.22911
62   2w4x   4.85  4.91637
63   2wca   5.60  5.81568
64   2xj7   6.66  6.83893
65   2vvn   7.30  6.66864
66   3aru   3.22  4.11979
67   3arv   5.64  4.77467
68   3ary   6.00  3.71839
69   3arq   6.40  4.95997
70   3arp   7.15  5.91225
71   4ih5   4.11  4.76158
72   4ih7   5.24  5.81332
73   3cj4   6.51  5.91480
74   4eo8   8.15  6.75984
75   3gnw   9.10  7.87674
76   1gpk   5.37  7.53516
77   1gpn   6.48  7.85553
78   1h23   8.35  8.18043
79   1h22   9.10  8.35152
80   1e66   9.89  8.23698
81   3f3a   4.19  5.81029
82   3f3c   6.02  5.91128
83   4mme   6.50  6.90075
84   3f3d   7.16  5.75278
85   3f3e   7.70  5.68549
86   2wbg   4.45  6.85789
87   2cbv   5.48  6.14796
88   2j78   6.42  6.18137
89   2j7h   7.19  5.52966
90   2cet   8.02  7.86778
91   3udh   2.85  5.09317
92   3rsx   4.41  5.13865
93   4djv   6.72  6.89420
94   2vkm   8.74  7.96082
95   4gid  10.77  8.44550
96   4jfs   5.27  5.61811
97   4j28   5.70  5.94836
98   2wvt   6.12  5.52132
99   2xii   7.20  6.76528
100  4pcs   7.85  5.63547
101  3rr4   4.55  6.50109
102  1s38   5.15  5.39977
103  1r5y   6.46  5.38931
104  3gc5   7.26  7.30844
105  3ge7   8.70  7.67530
106  4dli   5.62  6.30144
107  2zb1   6.32  7.42435
108  4f9w   6.94  7.61945
109  3e92   8.00  7.59347
110  3e93   8.85  7.94669
111  4owm   2.96  3.33193
112  3twp   3.92  3.09351
113  3r88   4.82  3.61145
114  4gkm   5.17  4.94545
115  3qqs   5.82  4.56321
116  3gv9   2.12  3.70305
117  3gr2   2.52  3.07795
118  4kz6   3.10  4.24729
119  4jxs   4.74  5.17996
120  2r9w   5.10  5.29584
121  2hb1   3.80  3.95790
122  1bzc   4.92  5.75139
123  2qbr   6.33  5.67827
124  2qbq   7.44  6.17497
125  2qbp   8.40  6.31637
126  1q8t   4.76  7.08800
127  1ydr   5.52  7.13782
128  1q8u   5.96  7.37245
129  1ydt   7.32  7.73732
130  3ag9   8.05  6.96878
131  3fcq   2.77  4.73026
132  1z9g   5.64  6.12189
133  1qf1   7.32  7.86986
134  5tmn   8.04  7.37270
135  4tmn  10.17  7.58876
136  4ddk   2.29  3.61907
137  4ddh   3.32  4.16847
138  3ivg   4.30  6.42969
139  3coz   5.57  6.39885
140  3coy   6.02  6.65713
141  3pxf   4.43  5.06961
142  4eor   6.30  7.53527
143  2xnb   6.83  7.98844
144  1pxn   7.15  7.58243
145  2fvd   8.52  7.41614
146  4k77   6.63  7.13273
147  4e5w   7.66  8.09602
148  4ivb   8.72  7.96436
149  4ivd   9.52  8.18468
150  4ivc  10.00  8.10645
151  4f09   6.70  7.74227
152  4gfm   7.22  6.77836
153  4hge   7.92  8.19965
154  4e6q   8.36  8.18872
155  4jia   9.22  7.94608
156  2brb   4.86  6.97891
157  2br1   5.14  7.50860
158  3jvr   5.72  5.04364
159  3jvs   6.54  5.34372
160  1nvq   8.25  7.94265
161  3acw   4.76  6.77721
162  4ea2   6.44  7.50103
163  2zcr   6.87  6.62299
164  2zy1   7.40  6.72786
165  2zcq   8.82  6.67909
166  1bcu   3.28  5.30084
167  3bv9   5.36  8.13406
168  1oyt   7.24  7.70230
169  2zda   8.40  7.70190
170  3utu  10.92  8.65973
171  3u9q   4.38  5.19001
172  2yfe   6.63  6.45892
173  3fur   8.00  8.16653
174  3b1m   8.48  7.26164
175  2p4y   9.00  8.07125
176  3uo4   6.52  7.40841
177  3up2   7.40  7.50446
178  3e5a   8.23  8.12097
179  2wtv   8.74  8.60824
180  3myg  10.70  7.65134
181  3kgp   2.57  4.24504
182  1c5z   4.01  4.06186
183  1o5b   5.77  5.42834
184  1owh   7.40  6.29976
185  1sqa   9.21  7.21969
186  4jsz   2.30  2.52813
187  3kwa   4.08  3.75918
188  2weg   6.50  6.64881
189  3ryj   7.80  7.34572
190  3dd0   9.00  7.33151
191  2xdl   3.10  5.62886
192  3b27   5.16  5.53213
193  1yc1   6.17  6.82977
194  3rlr   7.52  7.36119
