     code  logKa     score
1    4llx   2.89   3.99809
2    5c28   5.66   4.57582
3    3uuo   7.96   7.11949
4    3ui7   9.00   7.49045
5    5c2h  11.09   7.79756
6    2v00   3.66   4.40172
7    3wz8   5.82   5.98379
8    3pww   7.32   7.24989
9    3prs   7.82   8.47748
10   3uri   9.00   7.05154
11   4m0z   5.19   6.70189
12   4m0y   6.46   6.22444
13   3qgy   7.80   7.96842
14   4qd6   8.64   6.79616
15   4rfm  10.05   7.37908
16   4cr9   4.10   4.78922
17   4cra   7.22   7.81643
18   4x6p   8.30   8.55502
19   4crc   8.72   8.40057
20   4ty7   9.52   7.88726
21   5aba   2.98   5.22697
22   5a7b   3.57   5.21922
23   4agn   3.97   5.32877
24   4agp   4.69   5.62975
25   4agq   5.01   5.74090
26   3bgz   6.26   6.83621
27   3jya   6.89   6.44231
28   2c3i   7.60   7.32113
29   4k18   8.96   8.06883
30   5dwr  11.22   8.76722
31   3mss   4.66   4.28231
32   3k5v   6.30   6.08857
33   3pyy   6.86   5.95121
34   2v7a   8.30   8.31174
35   4twp  10.00   7.92454
36   3wtj   6.53   6.94213
37   3zdg   7.10   6.71500
38   3u8k   8.66   7.92400
39   4qac   9.40   7.83810
40   3u8n  10.17   8.73490
41   1a30   4.30   6.92568
42   2qnq   6.11   8.25639
43   1g2k   7.96   9.15346
44   1eby   9.70   8.75065
45   3o9i  11.82  10.12297
46   4lzs   4.80   4.72142
47   3u5j   5.61   5.94942
48   4wiv   6.26   6.19524
49   4ogj   6.79   6.69836
50   3p5o   7.30   7.12047
51   1ps3   2.28   5.38692
52   3dx1   3.58   5.27688
53   3d4z   4.89   5.58621
54   3dx2   6.82   5.94836
55   3ejr   8.57   7.77222
56   3l7b   2.40   3.71660
57   4eky   3.52   5.56633
58   3g2n   4.09   5.07458
59   3syr   5.10   4.94027
60   3ebp   5.91   5.71252
61   2w66   4.05   6.08007
62   2w4x   4.85   4.30406
63   2wca   5.60   5.79309
64   2xj7   6.66   6.56673
65   2vvn   7.30   6.34339
66   3aru   3.22   4.59076
67   3arv   5.64   5.05642
68   3ary   6.00   4.24257
69   3arq   6.40   5.76517
70   3arp   7.15   5.73595
71   4ih5   4.11   4.66803
72   4ih7   5.24   5.13408
73   3cj4   6.51   6.09076
74   4eo8   8.15   6.85702
75   3gnw   9.10   8.12240
76   1gpk   5.37   6.61175
77   1gpn   6.48   7.06789
78   1h23   8.35   8.48149
79   1h22   9.10   8.41062
80   1e66   9.89   7.85113
81   3f3a   4.19   4.92036
82   3f3c   6.02   4.83313
83   4mme   6.50   6.00101
84   3f3d   7.16   5.08472
85   3f3e   7.70   4.93215
86   2wbg   4.45   6.87243
87   2cbv   5.48   5.91760
88   2j78   6.42   6.17826
89   2j7h   7.19   5.63773
90   2cet   8.02   8.37143
91   3udh   2.85   4.74685
92   3rsx   4.41   4.72256
93   4djv   6.72   7.02420
94   2vkm   8.74   8.15490
95   4gid  10.77   8.51889
96   4jfs   5.27   6.33352
97   4j28   5.70   6.78208
98   2wvt   6.12   5.93606
99   2xii   7.20   7.97648
100  4pcs   7.85   6.63202
101  3rr4   4.55   5.73572
102  1s38   5.15   5.74768
103  1r5y   6.46   5.86899
104  3gc5   7.26   7.80133
105  3ge7   8.70   8.66426
106  4dli   5.62   6.22221
107  2zb1   6.32   6.63786
108  4f9w   6.94   7.53392
109  3e92   8.00   7.14893
