     code  logKa    score
1    4llx   2.89  0.90119
2    5c28   5.66  0.76992
3    3uuo   7.96  0.91477
4    3ui7   9.00  0.97726
5    5c2h  11.09  0.97758
6    2v00   3.66  0.61641
7    3wz8   5.82  0.91494
8    3pww   7.32  0.17230
9    3prs   7.82  0.98292
10   3uri   9.00  0.90609
11   4m0z   5.19  0.86439
12   4m0y   6.46  0.92256
13   3qgy   7.80  0.90044
14   4qd6   8.64  0.62176
15   4rfm  10.05  0.62394
16   4cr9   4.10  0.97389
17   4cra   7.22  0.98551
18   4x6p   8.30  0.99035
19   4crc   8.72  0.98915
20   4ty7   9.52  0.96997
21   5aba   2.98  0.89594
22   5a7b   3.57  0.80254
23   4agn   3.97  0.91569
24   4agp   4.69  0.87879
25   4agq   5.01  0.91232
26   3bgz   6.26  0.91940
27   3jya   6.89  0.78796
28   2c3i   7.60  0.96936
29   4k18   8.96  0.99249
30   5dwr  11.22  0.99194
31   3mss   4.66  0.60114
32   3k5v   6.30  0.89222
33   3pyy   6.86  0.76881
34   2v7a   8.30  0.99644
35   4twp  10.00  0.92502
36   3wtj   6.53  0.99529
37   3zdg   7.10  0.96537
38   3u8k   8.66  0.98526
39   4qac   9.40  0.87570
40   3u8n  10.17  0.98747
41   1a30   4.30  0.76221
42   2qnq   6.11  0.98095
43   1g2k   7.96  0.99188
44   1eby   9.70  0.98213
45   3o9i  11.82  0.99671
46   4lzs   4.80  0.91318
47   3u5j   5.61  0.78679
48   4wiv   6.26  0.90743
49   4ogj   6.79  0.79467
50   3p5o   7.30  0.97528
51   1ps3   2.28  0.97500
52   3dx1   3.58  0.98633
53   3d4z   4.89  0.89240
54   3dx2   6.82  0.99743
55   3ejr   8.57  0.97559
56   3l7b   2.40  0.83718
57   4eky   3.52  0.97777
58   3g2n   4.09  0.99485
59   3syr   5.10  0.98807
60   3ebp   5.91  0.40759
61   2w66   4.05  0.96203
62   2w4x   4.85  0.97972
63   2wca   5.60  0.96448
64   2xj7   6.66  0.92437
65   2vvn   7.30  0.99293
66   3aru   3.22  0.85025
67   3arv   5.64  0.91083
68   3ary   6.00  0.55177
69   3arq   6.40  0.87010
70   3arp   7.15  0.12348
71   4ih5   4.11  0.46962
72   4ih7   5.24  0.95907
73   3cj4   6.51  0.95222
74   4eo8   8.15  0.97083
75   3gnw   9.10  0.99127
76   1gpk   5.37  0.76846
77   1gpn   6.48  0.75802
78   1h23   8.35  0.97971
79   1h22   9.10  0.99264
80   1e66   9.89  0.91104
81   3f3a   4.19  0.84958
82   3f3c   6.02  0.90741
83   4mme   6.50  0.98007
84   3f3d   7.16  0.95906
85   3f3e   7.70  0.92704
86   2wbg   4.45  0.99323
87   2cbv   5.48  0.95154
88   2j78   6.42  0.99203
89   2j7h   7.19  0.98349
90   2cet   8.02  0.99070
91   3udh   2.85  0.99507
92   3rsx   4.41  0.90523
93   4djv   6.72  0.99944
94   2vkm   8.74  0.97583
95   4gid  10.77  0.99306
96   4jfs   5.27  0.92260
97   4j28   5.70  0.95472
98   2wvt   6.12  0.95164
99   2xii   7.20  0.97709
100  4pcs   7.85  0.96096
101  3rr4   4.55  0.84993
102  1s38   5.15  0.98957
103  1r5y   6.46  0.98681
104  3gc5   7.26  0.99721
105  3ge7   8.70  0.98081
106  4dli   5.62  0.58655
107  2zb1   6.32  0.81659
108  4f9w   6.94  0.98671
