     code  logKa    score
1    4llx   2.89  4.84970
2    5c28   5.66  5.13199
3    3uuo   7.96  6.52721
4    3ui7   9.00  6.67412
5    5c2h  11.09  7.73032
6    2v00   3.66  5.38164
7    3wz8   5.82  7.02633
8    3pww   7.32  8.28414
9    3prs   7.82  8.70761
10   3uri   9.00  9.04902
11   4m0z   5.19  6.89911
12   4m0y   6.46  5.98376
13   3qgy   7.80  7.10544
14   4qd6   8.64  6.60596
15   4rfm  10.05  7.38151
16   4cr9   4.10  5.13582
17   4cra   7.22  7.18396
18   4x6p   8.30  8.10765
19   4crc   8.72  7.62671
20   4ty7   9.52  7.42467
21   5aba   2.98  5.28946
22   5a7b   3.57  6.21322
23   4agn   3.97  5.78130
24   4agp   4.69  6.35661
25   4agq   5.01  6.52223
26   3bgz   6.26  6.67933
27   3jya   6.89  6.39816
28   2c3i   7.60  6.80558
29   4k18   8.96  7.40676
30   5dwr  11.22  8.39629
31   3mss   4.66  4.82265
32   3k5v   6.30  6.38729
33   3pyy   6.86  6.24831
34   2v7a   8.30  7.75474
35   4twp  10.00  7.27248
36   3wtj   6.53  6.52257
37   3zdg   7.10  6.02089
38   3u8k   8.66  6.63548
39   4qac   9.40  7.43110
40   3u8n  10.17  7.18288
41   1a30   4.30  5.39701
42   2qnq   6.11  8.83596
43   1g2k   7.96  8.82681
44   1eby   9.70  8.76684
45   3o9i  11.82  8.83033
46   4lzs   4.80  5.01064
47   3u5j   5.61  6.21473
48   4wiv   6.26  6.05669
49   4ogj   6.79  7.25873
50   3p5o   7.30  6.99929
51   1ps3   2.28  5.48277
52   3dx1   3.58  5.11833
53   3d4z   4.89  5.54161
54   3dx2   6.82  5.76361
55   3ejr   8.57  6.39535
56   3l7b   2.40  5.58838
57   4eky   3.52  6.50079
58   3g2n   4.09  5.99413
59   3syr   5.10  6.28104
60   3ebp   5.91  5.67624
61   2w66   4.05  5.69948
62   2w4x   4.85  5.21235
63   2wca   5.60  5.44350
