     code  logKa    score
1    4llx   2.89  0.87850
2    5c28   5.66  0.63984
3    3uuo   7.96  0.94360
4    3ui7   9.00  0.90631
5    5c2h  11.09  0.99142
6    2v00   3.66  0.75577
7    3wz8   5.82  0.88828
8    3pww   7.32  0.91253
9    3prs   7.82  0.92902
10   3uri   9.00  0.98043
11   4m0z   5.19  0.97298
12   4m0y   6.46  0.93776
13   3qgy   7.80  0.85189
14   4qd6   8.64  0.78213
15   4rfm  10.05  0.92938
16   4cr9   4.10  0.89174
17   4cra   7.22  0.97557
18   4x6p   8.30  0.97409
19   4crc   8.72  0.94542
20   4ty7   9.52  0.95223
21   5aba   2.98  0.81363
22   5a7b   3.57  0.93504
23   4agn   3.97  0.90423
24   4agp   4.69  0.96767
25   4agq   5.01  0.96396
26   3bgz   6.26  0.94410
27   3jya   6.89  0.83244
28   2c3i   7.60  0.84380
29   4k18   8.96  0.90826
30   5dwr  11.22  0.96853
31   3mss   4.66  0.79113
32   3k5v   6.30  0.89992
33   3pyy   6.86  0.84371
34   2v7a   8.30  0.99724
35   4twp  10.00  0.84551
36   3wtj   6.53  0.88673
37   3zdg   7.10  0.99011
38   3u8k   8.66  0.98692
39   4qac   9.40  0.99000
40   3u8n  10.17  0.99736
41   1a30   4.30  0.50769
42   2qnq   6.11  0.90848
43   1g2k   7.96  0.99547
44   1eby   9.70  0.99679
45   3o9i  11.82  0.99147
46   4lzs   4.80  0.91531
47   3u5j   5.61  0.95958
48   4wiv   6.26  0.82963
49   4ogj   6.79  0.80724
50   3p5o   7.30  0.97546
51   1ps3   2.28  0.98768
52   3dx1   3.58  0.99053
53   3d4z   4.89  0.97036
54   3dx2   6.82  0.99802
55   3ejr   8.57  0.96464
56   3l7b   2.40  0.60820
57   4eky   3.52  0.88661
58   3g2n   4.09  0.97785
59   3syr   5.10  0.97832
60   3ebp   5.91  0.60501
61   2w66   4.05  0.98736
62   2w4x   4.85  0.98380
63   2wca   5.60  0.88103
64   2xj7   6.66  0.98802
65   2vvn   7.30  0.98659
66   3aru   3.22  0.91589
67   3arv   5.64  0.88559
68   3ary   6.00  0.84358
69   3arq   6.40  0.77584
70   3arp   7.15  0.85841
71   4ih5   4.11  0.41752
72   4ih7   5.24  0.95138
73   3cj4   6.51  0.94351
74   4eo8   8.15  0.95402
75   3gnw   9.10  0.99258
76   1gpk   5.37  0.87267
77   1gpn   6.48  0.79857
78   1h23   8.35  0.97450
79   1h22   9.10  0.98609
80   1e66   9.89  0.99230
81   3f3a   4.19  0.83457
82   3f3c   6.02  0.85092
83   4mme   6.50  0.88898
84   3f3d   7.16  0.98690
85   3f3e   7.70  0.97945
86   2wbg   4.45  0.99612
87   2cbv   5.48  0.71192
88   2j78   6.42  0.95221
89   2j7h   7.19  0.98550
90   2cet   8.02  0.97504
91   3udh   2.85  0.98422
92   3rsx   4.41  0.87243
93   4djv   6.72  0.99107
94   2vkm   8.74  0.92972
95   4gid  10.77  0.99240
96   4jfs   5.27  0.98413
97   4j28   5.70  0.97920
98   2wvt   6.12  0.98552
99   2xii   7.20  0.99518
100  4pcs   7.85  0.99416
101  3rr4   4.55  0.98068
102  1s38   5.15  0.99689
103  1r5y   6.46  0.99665
104  3gc5   7.26  0.99981
105  3ge7   8.70  0.99961
106  4dli   5.62  0.82458
107  2zb1   6.32  0.88217
108  4f9w   6.94  0.98376
109  3e92   8.00  0.97043
110  3e93   8.85  0.95762
111  4owm   2.96  0.92666
112  3twp   3.92  0.87577
113  3r88   4.82  0.94059
114  4gkm   5.17  0.98917
115  3qqs   5.82  0.98621
116  3gv9   2.12  0.57657
117  3gr2   2.52  0.47113
118  4kz6   3.10  0.85771
119  4jxs   4.74  0.90333
