     code  logKa    score
1    4llx   2.89  0.91445
2    5c28   5.66  0.80164
3    3uuo   7.96  0.94141
4    3ui7   9.00  0.92705
5    5c2h  11.09  0.95364
6    2v00   3.66  0.78670
7    3wz8   5.82  0.86629
8    3pww   7.32  0.98900
9    3prs   7.82  0.98109
10   3uri   9.00  0.99126
11   4m0z   5.19  0.96550
12   4m0y   6.46  0.95739
13   3qgy   7.80  0.91213
14   4qd6   8.64  0.53273
15   4rfm  10.05  0.96495
16   4cr9   4.10  0.95786
17   4cra   7.22  0.92079
18   4x6p   8.30  0.87597
19   4crc   8.72  0.91909
20   4ty7   9.52  0.79937
21   5aba   2.98  0.64342
22   5a7b   3.57  0.76770
23   4agn   3.97  0.79274
24   4agp   4.69  0.84341
25   4agq   5.01  0.89977
26   3bgz   6.26  0.95845
27   3jya   6.89  0.90613
28   2c3i   7.60  0.89470
29   4k18   8.96  0.85899
30   5dwr  11.22  0.97058
31   3mss   4.66  0.79720
32   3k5v   6.30  0.91717
33   3pyy   6.86  0.95499
34   2v7a   8.30  0.99483
35   4twp  10.00  0.91555
36   3wtj   6.53  0.89412
37   3zdg   7.10  0.96399
38   3u8k   8.66  0.98556
39   4qac   9.40  0.96643
40   3u8n  10.17  0.98907
41   1a30   4.30  0.22813
42   2qnq   6.11  0.85629
43   1g2k   7.96  0.99216
44   1eby   9.70  0.99121
45   3o9i  11.82  0.98495
46   4lzs   4.80  0.95716
47   3u5j   5.61  0.92530
48   4wiv   6.26  0.79330
49   4ogj   6.79  0.72093
50   3p5o   7.30  0.94739
51   1ps3   2.28  0.96044
52   3dx1   3.58  0.96268
53   3d4z   4.89  0.93530
54   3dx2   6.82  0.98377
55   3ejr   8.57  0.97788
56   3l7b   2.40  0.42292
57   4eky   3.52  0.73158
58   3g2n   4.09  0.81045
59   3syr   5.10  0.88618
60   3ebp   5.91  0.44633
61   2w66   4.05  0.97641
62   2w4x   4.85  0.83139
63   2wca   5.60  0.96931
64   2xj7   6.66  0.98303
65   2vvn   7.30  0.96548
66   3aru   3.22  0.94383
67   3arv   5.64  0.80965
68   3ary   6.00  0.89043
69   3arq   6.40  0.66197
70   3arp   7.15  0.81396
71   4ih5   4.11  0.27640
72   4ih7   5.24  0.90264
73   3cj4   6.51  0.88055
74   4eo8   8.15  0.85545
75   3gnw   9.10  0.98037
76   1gpk   5.37  0.91485
77   1gpn   6.48  0.76310
78   1h23   8.35  0.87535
79   1h22   9.10  0.91436
80   1e66   9.89  0.94070
81   3f3a   4.19  0.76838
82   3f3c   6.02  0.93931
83   4mme   6.50  0.86713
84   3f3d   7.16  0.94089
85   3f3e   7.70  0.94385
86   2wbg   4.45  0.98746
87   2cbv   5.48  0.90368
88   2j78   6.42  0.96672
89   2j7h   7.19  0.95983
90   2cet   8.02  0.97825
91   3udh   2.85  0.97854
92   3rsx   4.41  0.82975
93   4djv   6.72  0.97572
94   2vkm   8.74  0.95902
95   4gid  10.77  0.99357
96   4jfs   5.27  0.92692
97   4j28   5.70  0.92884
98   2wvt   6.12  0.98445
99   2xii   7.20  0.99488
100  4pcs   7.85  0.98587
101  3rr4   4.55  0.97433
102  1s38   5.15  0.99014
103  1r5y   6.46  0.98395
104  3gc5   7.26  0.99892
105  3ge7   8.70  0.99788
106  4dli   5.62  0.69610
107  2zb1   6.32  0.88643
108  4f9w   6.94  0.97463
109  3e92   8.00  0.94937
110  3e93   8.85  0.95902
111  4owm   2.96  0.89277
112  3twp   3.92  0.80622
113  3r88   4.82  0.94423
114  4gkm   5.17  0.76152
115  3qqs   5.82  0.86652
116  3gv9   2.12  0.73764
117  3gr2   2.52  0.32227
118  4kz6   3.10  0.84753
119  4jxs   4.74  0.82501
120  2r9w   5.10  0.67240
121  2hb1   3.80  0.80599
122  1bzc   4.92  0.81087
123  2qbr   6.33  0.82903
124  2qbq   7.44  0.80808
125  2qbp   8.40  0.84710
126  1q8t   4.76  0.76187
127  1ydr   5.52  0.88023
128  1q8u   5.96  0.90386
129  1ydt   7.32  0.97187
130  3ag9   8.05  0.86115
131  3fcq   2.77  0.44980
132  1z9g   5.64  0.87549
133  1qf1   7.32  0.97712
134  5tmn   8.04  0.78513
135  4tmn  10.17  0.70649
136  4ddk   2.29  0.88822
137  4ddh   3.32  0.86133
138  3ivg   4.30  0.82118
139  3coz   5.57  0.94823
140  3coy   6.02  0.97571
141  3pxf   4.43  0.47622
142  4eor   6.30  0.97699
143  2xnb   6.83  0.98406
144  1pxn   7.15  0.98280
145  2fvd   8.52  0.99518
146  4k77   6.63  0.97142
147  4e5w   7.66  0.98545
148  4ivb   8.72  0.99416
149  4ivd   9.52  0.99099
150  4ivc  10.00  0.99613
151  4f09   6.70  0.99076
152  4gfm   7.22  0.95503
153  4hge   7.92  0.98148
154  4e6q   8.36  0.95347
155  4jia   9.22  0.83281
156  2brb   4.86  0.83145
157  2br1   5.14  0.77761
158  3jvr   5.72  0.91906
159  3jvs   6.54  0.52697
160  1nvq   8.25  0.99497
161  3acw   4.76  0.85977
162  4ea2   6.44  0.79649
163  2zcr   6.87  0.68315
164  2zy1   7.40  0.86972
165  2zcq   8.82  0.58500
166  1bcu   3.28  0.91924
167  3bv9   5.36  0.68192
168  1oyt   7.24  0.93939
169  2zda   8.40  0.99234
170  3utu  10.92  0.99247
171  3u9q   4.38  0.80817
172  2yfe   6.63  0.82667
173  3fur   8.00  0.93662
174  3b1m   8.48  0.66993
175  2p4y   9.00  0.97660
176  3uo4   6.52  0.94948
177  3up2   7.40  0.98135
178  3e5a   8.23  0.55968
179  2wtv   8.74  0.98208
180  3myg  10.70  0.98551
181  3kgp   2.57  0.90459
182  1c5z   4.01  0.94145
183  1o5b   5.77  0.96149
184  1owh   7.40  0.82377
185  1sqa   9.21  0.86975
186  4jsz   2.30  0.51488
187  3kwa   4.08  0.20155
188  2weg   6.50  0.90379
189  3ryj   7.80  0.92764
190  3dd0   9.00  0.95077
191  2xdl   3.10  0.83775
192  3b27   5.16  0.86278
193  1yc1   6.17  0.97272
194  3rlr   7.52  0.93285
195  2yki   9.46  0.98269
196  1z95   7.12  0.92241
197  3b68   8.40  0.93057
198  3b5r   8.77  0.98333
199  3b65   9.27  0.96970
200  3g0w   9.52  0.99354
201  4u4s   2.92  0.75753
202  1p1q   4.89  0.85482
203  1syi   5.44  0.93671
204  1p1n   6.80  0.81187
205  2al5   8.40  0.97048
206  3g2z   2.36  0.30910
207  3g31   2.89  0.70478
208  4de2   4.12  0.77707
209  4de3   5.52  0.84195
210  4de1   5.96  0.66936
211  1vso   4.72  0.81720
212  4dld   5.82  0.74862
213  3gbb   6.90  0.96164
214  3fv2   8.11  0.95155
215  3fv1   9.30  0.96800
216  4mgd   4.69  0.97728
217  2qe4   7.96  0.91401
218  1qkt   9.04  0.93709
219  2pog   9.54  0.92661
220  2p15  10.30  0.98458
221  2y5h   5.79  0.96171
222  1lpg   7.09  0.90417
223  2xbv   8.43  0.95653
224  1z6e   9.72  0.99126
225  1mq6  11.15  0.98753
226  1nc3   5.00  0.98146
227  1nc1   6.12  0.95266
228  1y6r  10.11  0.99511
229  4f2w  11.30  0.98882
230  4f3c  11.82  0.98743
231  1uto   2.27  0.93708
232  4abg   3.57  0.96218
233  3gy4   5.10  0.96971
234  1k1i   6.58  0.96514
235  1o3f   7.96  0.91553
236  2yge   5.06  0.81053
237  2fxs   6.06  0.77090
238  2iwx   6.68  0.89538
239  2wer   7.05  0.86219
240  2vw5   8.52  0.85074
241  4kzq   6.10  0.87169
242  4kzu   6.50  0.84131
243  4j21   7.41  0.93966
244  4j3l   7.80  0.93857
245  3kr8   8.10  0.96248
246  2ymd   3.16  0.80845
247  2wnc   6.32  0.90810
248  2xys   7.42  0.92195
249  2wn9   8.52  0.86707
250  2x00  11.33  0.97010
251  3ozt   4.13  0.98430
252  3ozs   5.33  0.96997
253  3oe5   6.88  0.96480
254  3oe4   7.47  0.95176
255  3nw9   9.00  0.94681
256  3ao4   2.07  0.93467
257  3zt2   2.84  0.86080
258  3zsx   3.28  0.64618
259  4cig   3.67  0.81867
260  3zso   5.12  0.72326
261  3n7a   3.70  0.88069
262  4ciw   4.82  0.85795
263  3n86   5.64  0.96950
264  3n76   6.85  0.88786
265  2xb8   7.59  0.91347
266  4bkt   3.62  0.90803
267  4w9c   4.65  0.90627
268  4w9l   5.02  0.95543
269  4w9i   5.96  0.95042
270  4w9h   6.73  0.91870
271  3nq9   4.03  0.58040
272  3ueu   5.24  0.65953
273  3uev   5.89  0.79571
274  3uew   6.31  0.69034
275  3uex   6.92  0.75825
276  3lka   2.82  0.68252
277  3ehy   5.85  0.49761
278  3tsk   7.17  0.84881
279  3nx7   8.10  0.84307
280  4gr0   9.55  0.92237
281  3dxg   2.40  0.70608
282  3d6q   3.76  0.70827
283  1w4o   5.22  0.71571
284  1o0h   5.92  0.93446
285  1u1b   7.80  0.86386

Summary of the scoring power: ===================================
The regression equation: logKa = 6.38 + 0.92 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.412
Standard deviation in fitting (SD) = 1.98
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("results/scoring/crossdock_default2018_CNNscore_processed_score",header=FALSE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285)
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("results/scoring/crossdock_default2018_CNNscore-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
