     code  logKa     score
1    4llx   2.89       NaN
2    5c28   5.66   5.35664
3    3uuo   7.96   7.26863
4    3ui7   9.00   7.37415
5    5c2h  11.09   7.29736
6    2v00   3.66   4.06800
7    3wz8   5.82   5.43099
8    3pww   7.32   7.78263
9    3prs   7.82   8.00223
10   3uri   9.00   5.97331
11   4m0z   5.19   6.40633
12   4m0y   6.46   6.05081
13   3qgy   7.80   5.85225
14   4qd6   8.64   6.22299
15   4rfm  10.05   9.32474
16   4cr9   4.10   3.14068
17   4cra   7.22   7.51125
18   4x6p   8.30   8.48567
19   4crc   8.72   8.47271
20   4ty7   9.52   7.95429
21   5aba   2.98   2.85096
22   5a7b   3.57   4.80986
23   4agn   3.97   3.34330
24   4agp   4.69   4.61824
25   4agq   5.01   4.17253
26   3bgz   6.26   6.11650
27   3jya   6.89   7.30508
28   2c3i   7.60   7.32622
29   4k18   8.96   7.87258
30   5dwr  11.22   8.36879
31   3mss   4.66   5.13823
32   3k5v   6.30   6.15959
33   3pyy   6.86   6.06770
34   2v7a   8.30   7.46749
35   4twp  10.00   7.91583
36   3wtj   6.53   7.97701
37   3zdg   7.10   5.84771
38   3u8k   8.66   8.19090
39   4qac   9.40   8.89413
40   3u8n  10.17   8.90002
41   1a30   4.30   6.11237
42   2qnq   6.11   4.47625
43   1g2k   7.96   9.15556
44   1eby   9.70   8.85711
45   3o9i  11.82  11.19756
46   4lzs   4.80   4.57448
47   3u5j   5.61   5.47497
48   4wiv   6.26   5.00588
49   4ogj   6.79   6.39932
50   3p5o   7.30   6.24054
51   1ps3   2.28   5.51644
52   3dx1   3.58   5.22930
53   3d4z   4.89   6.85562
54   3dx2   6.82   5.62968
55   3ejr   8.57   7.94867
56   3l7b   2.40   3.98851
57   4eky   3.52   5.76510
58   3g2n   4.09   5.43059
59   3syr   5.10   5.70782
60   3ebp   5.91   6.93855
61   2w66   4.05   5.34871
62   2w4x   4.85   4.72403
63   2wca   5.60   5.97220
64   2xj7   6.66   5.65715
65   2vvn   7.30   5.53448
66   3aru   3.22   3.96560
67   3arv   5.64   4.46753
68   3ary   6.00   4.12206
69   3arq   6.40   6.13132
70   3arp   7.15   7.39780
71   4ih5   4.11   2.97242
72   4ih7   5.24   5.53282
73   3cj4   6.51   5.86521
74   4eo8   8.15   7.26784
75   3gnw   9.10   7.42768
76   1gpk   5.37   7.30573
77   1gpn   6.48   6.87192
78   1h23   8.35   8.87822
79   1h22   9.10   8.89534
80   1e66   9.89   7.71513
81   3f3a   4.19   5.30324
82   3f3c   6.02   6.05055
83   4mme   6.50   6.09007
84   3f3d   7.16   6.30117
85   3f3e   7.70   6.14233
86   2wbg   4.45   6.49034
87   2cbv   5.48   5.67892
88   2j78   6.42   5.50288
89   2j7h   7.19   5.66973
90   2cet   8.02   8.75552
91   3udh   2.85   4.16677
92   3rsx   4.41   4.48247
93   4djv   6.72   6.03524
94   2vkm   8.74   8.52413
95   4gid  10.77   8.40278
96   4jfs   5.27   6.21769
97   4j28   5.70   6.61467
98   2wvt   6.12   5.36800
99   2xii   7.20   7.65076
100  4pcs   7.85   6.07458
101  3rr4   4.55   6.50112
102  1s38   5.15   5.67067
103  1r5y   6.46   5.65183
104  3gc5   7.26   7.70431
105  3ge7   8.70   7.53142
106  4dli   5.62   6.67428
107  2zb1   6.32   7.04852
108  4f9w   6.94   6.39028
109  3e92   8.00   7.35472
110  3e93   8.85   7.97357
111  4owm   2.96   2.85101
112  3twp   3.92   2.96180
113  3r88   4.82   1.85729
114  4gkm   5.17   3.77075
115  3qqs   5.82   3.64827
116  3gv9   2.12   2.50943
117  3gr2   2.52   2.35700
118  4kz6   3.10   4.53072
119  4jxs   4.74   3.79349
120  2r9w   5.10   4.54101
121  2hb1   3.80   3.91181
122  1bzc   4.92   6.12804
123  2qbr   6.33   6.61526
124  2qbq   7.44   6.34981
125  2qbp   8.40   6.69982
126  1q8t   4.76   5.83349
127  1ydr   5.52   6.16353
128  1q8u   5.96   6.06990
129  1ydt   7.32   7.68689
130  3ag9   8.05   5.37598
131  3fcq   2.77   1.92323
132  1z9g   5.64   5.12560
133  1qf1   7.32   7.95878
134  5tmn   8.04   5.37232
135  4tmn  10.17   5.68999
136  4ddk   2.29   2.26359
137  4ddh   3.32   3.69319
138  3ivg   4.30   5.55857
139  3coz   5.57   6.15191
140  3coy   6.02   6.56942
141  3pxf   4.43   4.97000
142  4eor   6.30   7.62151
143  2xnb   6.83   8.32778
144  1pxn   7.15   7.18098
145  2fvd   8.52   8.62583
146  4k77   6.63   5.86958
147  4e5w   7.66   7.82091
148  4ivb   8.72   9.27501
149  4ivd   9.52   9.23841
150  4ivc  10.00   9.53677
151  4f09   6.70   7.60528
152  4gfm   7.22   4.93857
153  4hge   7.92   6.59099
154  4e6q   8.36   7.01056
155  4jia   9.22   6.34894
156  2brb   4.86   7.03570
157  2br1   5.14   7.44889
158  3jvr   5.72   4.41689
159  3jvs   6.54   4.64188
160  1nvq   8.25   7.68015
161  3acw   4.76   5.28923
162  4ea2   6.44   7.14258
163  2zcr   6.87   5.57520
164  2zy1   7.40   5.50281
165  2zcq   8.82   4.20232
166  1bcu   3.28   2.95076
167  3bv9   5.36   6.70510
168  1oyt   7.24   6.52668
169  2zda   8.40   6.83692
170  3utu  10.92   8.94363
171  3u9q   4.38   5.53220
172  2yfe   6.63   5.88511
173  3fur   8.00   7.90298
174  3b1m   8.48   7.34851
175  2p4y   9.00   7.17537
176  3uo4   6.52   7.36546
177  3up2   7.40   7.38566
178  3e5a   8.23   8.30728
179  2wtv   8.74   7.77274
180  3myg  10.70   6.05663
181  3kgp   2.57   3.42148
182  1c5z   4.01   4.31559
183  1o5b   5.77   4.36337
184  1owh   7.40   6.65478
185  1sqa   9.21   6.99339
186  4jsz   2.30   2.20796
187  3kwa   4.08   4.10964
188  2weg   6.50   5.21819
189  3ryj   7.80   7.04524
190  3dd0   9.00   7.48387
191  2xdl   3.10   5.66489
192  3b27   5.16   5.46008
193  1yc1   6.17   7.01582
194  3rlr   7.52   8.47007
195  2yki   9.46   9.00479
196  1z95   7.12   8.08666
197  3b68   8.40   7.99546
198  3b5r   8.77   8.49672
199  3b65   9.27   8.12733
200  3g0w   9.52   8.29707
201  4u4s   2.92   3.71227
202  1p1q   4.89   5.92568
203  1syi   5.44   6.48263
204  1p1n   6.80   6.71963
205  2al5   8.40   6.70915
206  3g2z   2.36   2.17177
207  3g31   2.89   4.43647
208  4de2   4.12   5.58237
209  4de3   5.52   4.58916
210  4de1   5.96   4.99334
211  1vso   4.72   4.40468
212  4dld   5.82   5.14464
213  3gbb   6.90   6.83075
214  3fv2   8.11   6.88280
215  3fv1   9.30   7.12343
216  4mgd   4.69   7.58742
217  2qe4   7.96   7.07361
218  1qkt   9.04   8.32831
219  2pog   9.54   8.16541
220  2p15  10.30   8.81738
221  2y5h   5.79   6.14188
222  1lpg   7.09   8.21685
223  2xbv   8.43   7.34870
224  1z6e   9.72   9.25102
225  1mq6  11.15   9.20821
226  1nc3   5.00   6.39468
227  1nc1   6.12   6.41779
228  1y6r  10.11   9.75095
229  4f2w  11.30  10.10208
230  4f3c  11.82  10.58126
231  1uto   2.27   3.23943
232  4abg   3.57   5.05377
233  3gy4   5.10   4.30121
234  1k1i   6.58   6.65234
235  1o3f   7.96   5.62686
236  2yge   5.06   6.66591
237  2fxs   6.06   6.02167
238  2iwx   6.68   6.93482
239  2wer   7.05   6.40790
240  2vw5   8.52   6.73169
241  4kzq   6.10   5.22071
242  4kzu   6.50   5.43963
243  4j21   7.41   5.72758
244  4j3l   7.80   6.23678
245  3kr8   8.10   7.05321
246  2ymd   3.16   6.09496
247  2wnc   6.32   6.20430
248  2xys   7.42   8.04734
249  2wn9   8.52   5.93146
250  2x00  11.33   9.90708
251  3ozt   4.13   6.26235
252  3ozs   5.33   6.44773
253  3oe5   6.88   6.09274
254  3oe4   7.47   5.82846
255  3nw9   9.00   8.23573
256  3ao4   2.07   3.36126
257  3zt2   2.84   3.87425
258  3zsx   3.28   3.12069
259  4cig   3.67   3.48570
260  3zso   5.12   3.65249
261  3n7a   3.70   4.40927
262  4ciw   4.82   4.99284
263  3n86   5.64   6.92483
264  3n76   6.85   6.77203
265  2xb8   7.59   6.37473
266  4bkt   3.62   4.59980
267  4w9c   4.65   6.60090
268  4w9l   5.02   6.80571
269  4w9i   5.96   6.34242
270  4w9h   6.73   6.64115
271  3nq9   4.03   4.53768
272  3ueu   5.24   5.26825
273  3uev   5.89   5.78078
274  3uew   6.31   6.00002
275  3uex   6.92   6.16709
276  3lka   2.82   3.13564
277  3ehy   5.85   3.97685
278  3tsk   7.17   7.78374
279  3nx7   8.10   4.76436
280  4gr0   9.55   7.76452
281  3dxg   2.40   2.49232
282  3d6q   3.76   2.63592
283  1w4o   5.22   4.15981
284  1o0h   5.92   3.61510
285  1u1b   7.80   4.40290

Summary of the scoring power: ===================================
The regression equation: logKa = 0.99 + 0.39 * Score
Number of favorable sample (N) = 284
Pearson correlation coefficient (R) = 0.796
Standard deviation in fitting (SD) = 1.31
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("results/default_CNNaffinity_processed_score",header=FALSE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,284,2);
for(i in 1:284)
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("results/default_CNNaffinity-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
