     code  logKa    score
1    4llx   2.89  3.98111
2    5c28   5.66  5.13147
3    3uuo   7.96  7.56587
4    3ui7   9.00  7.60222
5    5c2h  11.09  8.42584
6    2v00   3.66  5.71811
7    3wz8   5.82  7.20553
8    3pww   7.32  8.57422
9    3prs   7.82  8.89047
10   3uri   9.00  8.18812
11   4m0z   5.19  7.33998
12   4m0y   6.46  6.36804
13   3qgy   7.80  7.55050
14   4qd6   8.64  6.37296
15   4rfm  10.05  7.66422
16   4cr9   4.10  4.75928
17   4cra   7.22  7.60857
18   4x6p   8.30  8.47484
19   4crc   8.72  8.31179
20   4ty7   9.52  8.08621
21   5aba   2.98  5.17665
22   5a7b   3.57  5.60544
23   4agn   3.97  5.23682
24   4agp   4.69  5.83831
25   4agq   5.01  5.96827
26   3bgz   6.26  7.37839
27   3jya   6.89  6.53105
28   2c3i   7.60  7.33417
29   4k18   8.96  7.73215
30   5dwr  11.22  8.93550
31   3mss   4.66  4.31479
32   3k5v   6.30  6.26580
33   3pyy   6.86  6.33623
34   2v7a   8.30  7.64790
35   4twp  10.00  7.35197
36   3wtj   6.53  7.39013
37   3zdg   7.10  7.15797
38   3u8k   8.66  8.12168
39   4qac   9.40  8.07068
40   3u8n  10.17  8.67288
41   1a30   4.30  6.88906
42   2qnq   6.11  8.34443
43   1g2k   7.96  9.04018
44   1eby   9.70  8.94758
45   3o9i  11.82  9.55124
46   4lzs   4.80  4.88892
47   3u5j   5.61  6.12051
48   4wiv   6.26  6.50360
49   4ogj   6.79  6.85423
50   3p5o   7.30  7.13897
51   1ps3   2.28  5.63025
52   3dx1   3.58  5.01662
53   3d4z   4.89  5.54245
54   3dx2   6.82  5.83912
55   3ejr   8.57  6.94554
56   3l7b   2.40  4.91563
57   4eky   3.52  5.98724
58   3g2n   4.09  5.27437
59   3syr   5.10  6.31034
60   3ebp   5.91  5.68972
61   2w66   4.05  6.19127
62   2w4x   4.85  4.63637
63   2wca   5.60  5.61529
64   2xj7   6.66  6.73736
65   2vvn   7.30  6.66031
66   3aru   3.22  4.23032
67   3arv   5.64  4.93813
68   3ary   6.00  4.36061
69   3arq   6.40  5.45432
70   3arp   7.15  6.11709
71   4ih5   4.11  4.61071
72   4ih7   5.24  5.72744
73   3cj4   6.51  5.85520
74   4eo8   8.15  6.80581
75   3gnw   9.10  7.85890
76   1gpk   5.37  7.37865
77   1gpn   6.48  7.68327
78   1h23   8.35  8.25835
79   1h22   9.10  8.22224
80   1e66   9.89  8.31147
81   3f3a   4.19  5.85230
82   3f3c   6.02  5.90685
83   4mme   6.50  6.32384
84   3f3d   7.16  5.66948
85   3f3e   7.70  5.41905
86   2wbg   4.45  6.68683
87   2cbv   5.48  5.94302
88   2j78   6.42  6.14742
89   2j7h   7.19  5.39077
90   2cet   8.02  7.67112
91   3udh   2.85  4.72304
92   3rsx   4.41  5.15989
93   4djv   6.72  6.85326
94   2vkm   8.74  7.72201
95   4gid  10.77  8.05209
96   4jfs   5.27  5.39188
97   4j28   5.70  5.68646
98   2wvt   6.12  5.27902
99   2xii   7.20  6.61764
100  4pcs   7.85  5.61004
101  3rr4   4.55  6.36075
102  1s38   5.15  5.41464
103  1r5y   6.46  5.39981
104  3gc5   7.26  7.17351
105  3ge7   8.70  7.56837
106  4dli   5.62  6.48406
107  2zb1   6.32  7.42211
108  4f9w   6.94  7.60659
109  3e92   8.00  7.54248
110  3e93   8.85  7.72575
111  4owm   2.96  3.27058
112  3twp   3.92  2.40043
113  3r88   4.82  3.55987
114  4gkm   5.17  4.87915
115  3qqs   5.82  4.61926
116  3gv9   2.12  4.11785
117  3gr2   2.52  3.08774
118  4kz6   3.10  4.50090
119  4jxs   4.74  5.24781
120  2r9w   5.10  5.57256
121  2hb1   3.80  3.97486
122  1bzc   4.92  5.83204
123  2qbr   6.33  5.71066
124  2qbq   7.44  6.16108
125  2qbp   8.40  6.31431
126  1q8t   4.76  6.92274
127  1ydr   5.52  6.91994
128  1q8u   5.96  7.32268
129  1ydt   7.32  7.60402
130  3ag9   8.05  6.10929
131  3fcq   2.77  4.49801
132  1z9g   5.64  6.60697
133  1qf1   7.32  7.69319
134  5tmn   8.04  7.32597
135  4tmn  10.17  7.25739
136  4ddk   2.29  3.33932
137  4ddh   3.32  4.22249
138  3ivg   4.30  6.33293
139  3coz   5.57  6.26861
140  3coy   6.02  6.60510
141  3pxf   4.43  4.73506
142  4eor   6.30  7.56681
143  2xnb   6.83  7.95219
144  1pxn   7.15  7.19327
145  2fvd   8.52  7.45882
146  4k77   6.63  7.11970
147  4e5w   7.66  8.12886
148  4ivb   8.72  7.96280
149  4ivd   9.52  8.02085
150  4ivc  10.00  8.07150
