     code  logKa     score
1    4llx   2.89   5.16986
2    5c28   5.66   5.89309
3    3uuo   7.96   7.91519
4    3ui7   9.00   7.93804
5    5c2h  11.09   9.61533
6    2v00   3.66   7.39638
7    3wz8   5.82   9.00423
8    3pww   7.32  11.09257
9    3prs   7.82   8.76473
10   3uri   9.00   7.22008
11   4m0z   5.19  10.59867
12   4m0y   6.46   7.24545
13   3qgy   7.80   8.50597
14   4qd6   8.64   6.31119
15   4rfm  10.05  11.09027
16   4cr9   4.10   6.14309
17   4cra   7.22   9.91293
18   4x6p   8.30  10.51197
19   4crc   8.72   9.69063
20   4ty7   9.52  10.02703
21   5aba   2.98   5.44443
22   5a7b   3.57   6.47287
23   4agn   3.97   5.62091
24   4agp   4.69   6.24031
25   4agq   5.01   6.46334
26   3bgz   6.26  10.53186
27   3jya   6.89   7.49179
28   2c3i   7.60   8.48067
29   4k18   8.96   9.04188
30   5dwr  11.22  10.75849
31   3mss   4.66   6.07908
32   3k5v   6.30   8.46405
33   3pyy   6.86   8.77042
34   2v7a   8.30   9.54505
35   4twp  10.00   8.30865
36   3wtj   6.53   6.33073
37   3zdg   7.10   4.87028
38   3u8k   8.66   6.53429
39   4qac   9.40  10.71831
40   3u8n  10.17   6.70214
41   1a30   4.30   5.62414
42   2qnq   6.11   8.88496
43   1g2k   7.96  11.88489
44   1eby   9.70  12.51052
45   3o9i  11.82   9.75353
46   4lzs   4.80   6.30139
47   3u5j   5.61   8.72048
48   4wiv   6.26   7.66325
49   4ogj   6.79   6.43230
50   3p5o   7.30   8.62319
51   1ps3   2.28   7.74487
52   3dx1   3.58   5.81692
53   3d4z   4.89   5.86936
54   3dx2   6.82   6.12855
55   3ejr   8.57   8.13789
56   3l7b   2.40   9.20362
57   4eky   3.52   9.35140
58   3g2n   4.09   9.62366
59   3syr   5.10  10.67800
60   3ebp   5.91   9.69170
61   2w66   4.05   7.13508
62   2w4x   4.85   6.43496
63   2wca   5.60   6.50252
64   2xj7   6.66   8.92245
65   2vvn   7.30   7.22768
66   3aru   3.22   5.52481
67   3arv   5.64   9.55840
68   3ary   6.00   5.50500
69   3arq   6.40   9.99107
70   3arp   7.15   9.07848
71   4ih5   4.11   5.26630
72   4ih7   5.24   7.00602
73   3cj4   6.51   6.82524
74   4eo8   8.15   7.51708
75   3gnw   9.10  12.09871
76   1gpk   5.37  10.43347
77   1gpn   6.48  10.02510
78   1h23   8.35   9.66675
79   1h22   9.10   9.71267
80   1e66   9.89  12.01786
81   3f3a   4.19   6.95068
82   3f3c   6.02   7.66921
83   4mme   6.50   9.46535
84   3f3d   7.16   5.37391
85   3f3e   7.70   6.28688
86   2wbg   4.45   7.77349
87   2cbv   5.48   7.27714
88   2j78   6.42   7.20106
89   2j7h   7.19   6.20554
90   2cet   8.02   8.99701
91   3udh   2.85   7.11568
92   3rsx   4.41   7.58423
93   4djv   6.72   9.58220
94   2vkm   8.74  10.57906
95   4gid  10.77  10.96550
96   4jfs   5.27   6.48235
97   4j28   5.70   6.44349
98   2wvt   6.12   5.66633
99   2xii   7.20   9.83547
100  4pcs   7.85   7.21739
101  3rr4   4.55   6.97164
