#code  score
4llx 4.96191
5c28 5.26623
3uuo 6.56617
3ui7 6.85469
5c2h 7.57361
2v00 5.87296
3wz8 7.32582
3pww 8.95160
3prs 9.07716
3uri 9.04175
4m0z 7.48869
4m0y 6.45034
3qgy 7.68190
4qd6 6.89873
4rfm 7.79570
4cr9 5.52103
4cra 7.14037
4x6p 7.89297
4crc 7.56466
4ty7 7.29390
5aba 5.11910
5a7b 6.06456
4agn 5.65185
4agp 6.21892
4agq 6.35529
3bgz 7.09623
3jya 7.05103
2c3i 6.92747
4k18 7.57250
5dwr 8.69744
3mss 4.72814
3k5v 6.54071
3pyy 6.50258
2v7a 7.84957
4twp 7.81996
3wtj 6.63582
3zdg 5.51421
3u8k 6.75221
4qac 7.58500
3u8n 7.16074
1a30 5.72993
2qnq 9.21428
1g2k 8.86555
1eby 8.45324
3o9i 8.84648
4lzs 5.43054
3u5j 6.23211
4wiv 6.07254
4ogj 7.22146
3p5o 7.05941
1ps3 5.55283
3dx1 4.94239
3d4z 5.42389
3dx2 5.67293
3ejr 6.46433
3l7b 5.22303
4eky 6.50955
3g2n 5.56867
3syr 5.97053
3ebp 5.78040
2w66 5.72720
2w4x 4.79552
2wca 5.77382
2xj7 6.04543
2vvn 6.13077
3aru 5.05403
3arv 5.28896
3ary 4.64616
3arq 5.86027
3arp 6.11226
4ih5 5.24685
4ih7 5.81338
3cj4 5.91411
4eo8 6.49765
3gnw 8.32304
1gpk 6.47810
1gpn 6.33367
1h23 7.44650
1h22 7.38225
1e66 7.27329
3f3a 5.78348
3f3c 5.70809
4mme 6.84467
3f3d 5.59328
3f3e 5.35291
2wbg 6.40728
2cbv 5.37451
2j78 5.60744
2j7h 5.24915
2cet 6.76599
3udh 5.69417
3rsx 5.44382
4djv 7.14172
2vkm 8.74707
4gid 9.20415
4jfs 5.66498
4j28 5.58714
2wvt 5.32403
2xii 6.68881
4pcs 5.64699
3rr4 6.49761
1s38 6.50354
1r5y 6.42079
3gc5 8.02200
3ge7 8.20751
4dli 6.17481
2zb1 7.07155
4f9w 7.36829
3e92 7.43428
3e93 7.86573
4owm 3.94405
3twp 3.48232
3r88 4.45475
4gkm 5.34365
3qqs 5.28451
3gv9 4.57867
3gr2 3.98887
4kz6 4.84296
4jxs 5.45895
2r9w 5.58174
2hb1 4.59349
1bzc 5.17877
2qbr 6.06780
2qbq 6.15145
2qbp 6.25851
1q8t 6.29178
1ydr 6.92935
1q8u 7.08646
1ydt 7.87394
3ag9 6.50870
3fcq 4.17263
1z9g 5.54125
1qf1 7.00997
5tmn 6.02336
4tmn 6.64624
4ddk 4.41534
4ddh 5.17819
3ivg 6.84365
3coz 6.99514
3coy 7.27617
3pxf 5.38853
4eor 7.82482
2xnb 8.13599
1pxn 7.73183
2fvd 8.14592
4k77 6.90976
4e5w 7.91910
4ivb 7.73612
4ivd 7.87524
4ivc 7.96413
4f09 7.30894
4gfm 6.55528
4hge 7.65538
4e6q 7.20220
4jia 6.98768
2brb 6.66361
2br1 6.92727
3jvr 5.83877
3jvs 5.60775
1nvq 8.31588
3acw 6.33964
4ea2 6.89725
2zcr 6.15455
2zy1 6.45749
2zcq 5.77538
1bcu 5.45707
3bv9 7.91438
1oyt 6.95870
2zda 7.26094
3utu 8.84640
3u9q 5.06502
2yfe 6.51398
3fur 8.73629
3b1m 7.23747
2p4y 8.70939
3uo4 7.53748
3up2 7.50420
3e5a 7.66538
2wtv 8.26192
3myg 7.46353
3kgp 4.94099
1c5z 5.17912
1o5b 6.23856
1owh 5.63591
1sqa 6.65636
4jsz 3.30383
3kwa 4.29487
2weg 5.43666
3ryj 5.58396
3dd0 6.05813
2xdl 5.65594
3b27 6.21474
1yc1 7.00972
3rlr 7.55468
2yki 8.29095
1z95 7.56489
3b68 7.63743
3b5r 8.13406
3b65 7.59788
3g0w 7.85702
4u4s 5.61519
1p1q 6.05600
1syi 6.63974
1p1n 5.77311
2al5 6.47787
3g2z 4.26368
3g31 4.05459
4de2 5.55608
4de3 5.76197
4de1 5.67532
1vso 5.52748
4dld 6.49304
3gbb 6.22062
3fv2 6.16256
3fv1 6.62174
4mgd 7.33987
2qe4 7.03327
1qkt 6.79384
2pog 6.94725
2p15 8.85923
2y5h 7.21584
1lpg 7.15743
2xbv 7.55778
1z6e 8.09166
1mq6 7.94735
1nc3 6.86570
1nc1 7.01320
1y6r 7.72599
4f2w 7.72069
4f3c 7.96778
1uto 4.85477
4abg 5.39592
3gy4 5.16463
1k1i 7.32981
1o3f 6.44437
2yge 7.43831
2fxs 5.95135
2iwx 6.59113
2wer 6.54477
2vw5 7.52891
4kzq 6.11544
4kzu 6.29751
4j21 6.65548
4j3l 6.86261
3kr8 6.86819
2ymd 5.76729
2wnc 6.14121
2xys 6.81642
2wn9 6.05612
2x00 8.00997
3ozt 6.41027
3ozs 6.48461
3oe5 6.41705
3oe4 6.47303
3nw9 6.96582
3ao4 5.43167
3zt2 5.64942
3zsx 6.12991
4cig 6.52831
3zso 7.04100
3n7a 4.60370
4ciw 5.07498
3n86 6.37634
3n76 5.92881
2xb8 6.02552
4bkt 5.14184
4w9c 6.25559
4w9l 7.15333
4w9i 6.67459
4w9h 6.82363
3nq9 4.11460
3ueu 5.55379
3uev 5.83978
3uew 5.69665
3uex 6.15640
3lka 4.32385
3ehy 4.73908
3tsk 7.22356
3nx7 5.47816
4gr0 7.40316
3dxg 4.48645
3d6q 4.71150
1w4o 4.46263
1o0h 5.06730
1u1b 6.30549
