#code  score
4llx 0.91549
5c28 0.78162
3uuo 0.90343
3ui7 0.92856
5c2h 0.96822
2v00 0.79646
3wz8 0.83582
3pww 0.98891
3prs 0.97533
3uri 0.97156
4m0z 0.97463
4m0y 0.95616
3qgy 0.94983
4qd6 0.86184
4rfm 0.97667
4cr9 0.96175
4cra 0.93461
4x6p 0.89917
4crc 0.92274
4ty7 0.76911
5aba 0.69692
5a7b 0.81762
4agn 0.87400
4agp 0.88831
4agq 0.91293
3bgz 0.95907
3jya 0.94346
2c3i 0.85707
4k18 0.88059
5dwr 0.97244
3mss 0.78341
3k5v 0.90113
3pyy 0.94269
2v7a 0.99455
4twp 0.96942
3wtj 0.90521
3zdg 0.92121
3u8k 0.98978
4qac 0.96177
3u8n 0.99052
1a30 0.41673
2qnq 0.96319
1g2k 0.99405
1eby 0.98999
3o9i 0.98751
4lzs 0.95655
3u5j 0.86436
4wiv 0.79094
4ogj 0.64273
3p5o 0.95218
1ps3 0.96891
3dx1 0.95303
3d4z 0.96939
3dx2 0.98166
3ejr 0.95854
3l7b 0.33693
4eky 0.82741
3g2n 0.78560
3syr 0.82168
3ebp 0.53415
2w66 0.97511
2w4x 0.86917
2wca 0.96773
2xj7 0.98631
2vvn 0.98520
3aru 0.93282
3arv 0.69388
3ary 0.86651
3arq 0.78181
3arp 0.80066
4ih5 0.35244
4ih7 0.86287
3cj4 0.84282
4eo8 0.83572
3gnw 0.98316
1gpk 0.91207
1gpn 0.76804
1h23 0.84912
1h22 0.91659
1e66 0.93277
3f3a 0.83906
3f3c 0.83123
4mme 0.95280
3f3d 0.95567
3f3e 0.91730
2wbg 0.99212
2cbv 0.92323
2j78 0.96451
2j7h 0.96319
2cet 0.93728
3udh 0.97965
3rsx 0.83199
4djv 0.95818
2vkm 0.95696
4gid 0.99498
4jfs 0.96285
4j28 0.93202
2wvt 0.98188
2xii 0.99322
4pcs 0.97361
3rr4 0.96254
1s38 0.98726
1r5y 0.98450
3gc5 0.99911
3ge7 0.99836
4dli 0.67833
2zb1 0.90578
4f9w 0.97502
3e92 0.96335
3e93 0.96513
4owm 0.82825
3twp 0.81547
3r88 0.90233
4gkm 0.77331
3qqs 0.76912
3gv9 0.71193
3gr2 0.41594
4kz6 0.80670
4jxs 0.72662
2r9w 0.72529
2hb1 0.57016
1bzc 0.80368
2qbr 0.72519
2qbq 0.61280
2qbp 0.73058
1q8t 0.80836
1ydr 0.95818
1q8u 0.93472
1ydt 0.96999
3ag9 0.80397
3fcq 0.29868
1z9g 0.83522
1qf1 0.96403
5tmn 0.42264
4tmn 0.48305
4ddk 0.86298
4ddh 0.83061
3ivg 0.88005
3coz 0.94953
3coy 0.97455
3pxf 0.42630
4eor 0.98384
2xnb 0.99592
1pxn 0.99318
2fvd 0.99611
4k77 0.97823
4e5w 0.98785
4ivb 0.99486
4ivd 0.99232
4ivc 0.99592
4f09 0.99322
4gfm 0.93321
4hge 0.97538
4e6q 0.95063
4jia 0.78945
2brb 0.84242
2br1 0.80080
3jvr 0.94644
3jvs 0.56043
1nvq 0.99307
3acw 0.82703
4ea2 0.73597
2zcr 0.62393
2zy1 0.88511
2zcq 0.38572
1bcu 0.91024
3bv9 0.65320
1oyt 0.92428
2zda 0.99165
3utu 0.99281
3u9q 0.81887
2yfe 0.84765
3fur 0.94334
3b1m 0.68924
2p4y 0.98455
3uo4 0.96942
3up2 0.98393
3e5a 0.71196
2wtv 0.96981
3myg 0.98456
3kgp 0.96277
1c5z 0.95533
1o5b 0.96788
1owh 0.79550
1sqa 0.87137
4jsz 0.43597
3kwa 0.11931
2weg 0.85867
3ryj 0.78873
3dd0 0.89110
2xdl 0.81856
3b27 0.87881
1yc1 0.94825
3rlr 0.93437
2yki 0.96629
1z95 0.88073
3b68 0.93216
3b5r 0.98214
3b65 0.97059
3g0w 0.99092
4u4s 0.79814
1p1q 0.87836
1syi 0.92972
1p1n 0.74507
2al5 0.94969
3g2z 0.31424
3g31 0.63118
4de2 0.72466
4de3 0.84072
4de1 0.68476
1vso 0.85809
4dld 0.75269
3gbb 0.95751
3fv2 0.91686
3fv1 0.92822
4mgd 0.98342
2qe4 0.92722
1qkt 0.95180
2pog 0.93674
2p15 0.98581
2y5h 0.95655
1lpg 0.91050
2xbv 0.94189
1z6e 0.98903
1mq6 0.98079
1nc3 0.98931
1nc1 0.97892
1y6r 0.99760
4f2w 0.99285
4f3c 0.99098
1uto 0.95477
4abg 0.97048
3gy4 0.96050
1k1i 0.95501
1o3f 0.95592
2yge 0.87046
2fxs 0.81391
2iwx 0.90798
2wer 0.91346
2vw5 0.86833
4kzq 0.87787
4kzu 0.84594
4j21 0.89727
4j3l 0.93197
3kr8 0.96633
2ymd 0.89002
2wnc 0.94107
2xys 0.91948
2wn9 0.81138
2x00 0.96906
3ozt 0.97848
3ozs 0.95790
3oe5 0.94573
3oe4 0.93672
3nw9 0.95602
3ao4 0.91466
3zt2 0.85864
3zsx 0.57113
4cig 0.82031
3zso 0.65748
3n7a 0.87278
4ciw 0.82808
3n86 0.96182
3n76 0.73379
2xb8 0.88813
4bkt 0.92628
4w9c 0.92309
4w9l 0.96569
4w9i 0.96712
4w9h 0.95938
3nq9 0.57036
3ueu 0.68241
3uev 0.79838
3uew 0.60098
3uex 0.75923
3lka 0.54757
3ehy 0.31679
3tsk 0.89169
3nx7 0.78089
4gr0 0.76536
3dxg 0.78117
3d6q 0.57147
1w4o 0.60321
1o0h 0.92088
1u1b 0.88273
