#code  score
4llx 3.83143
5c28 5.41045
3uuo 7.33747
3ui7 7.40071
5c2h 7.18913
2v00 4.13648
3wz8 5.55289
3pww 7.82241
3prs 7.96852
3uri 5.79573
4m0z 6.52971
4m0y 6.19539
3qgy 5.60446
4qd6 6.33997
4rfm 9.09268
4cr9 3.09775
4cra 7.48426
4x6p 8.44034
4crc 8.33779
4ty7 8.02448
5aba 3.11915
5a7b 4.96848
4agn 3.53160
4agp 4.96970
4agq 4.56848
3bgz 6.13025
3jya 7.55371
2c3i 7.22682
4k18 7.72903
5dwr 8.35242
3mss 5.08706
3k5v 6.18401
3pyy 6.11662
2v7a 7.44255
4twp 8.14575
3wtj 7.88601
3zdg 5.89316
3u8k 8.27287
4qac 9.04533
3u8n 8.93270
1a30 6.69117
2qnq 4.06317
1g2k 9.02251
1eby 8.97752
3o9i 11.11463
4lzs 4.49566
3u5j 5.51955
4wiv 4.98867
4ogj 6.51523
3p5o 6.37460
1ps3 5.47448
3dx1 5.24005
3d4z 6.50970
3dx2 5.72099
3ejr 7.82984
3l7b 4.05379
4eky 6.17281
3g2n 5.41483
3syr 5.68552
3ebp 6.93402
2w66 5.37131
2w4x 4.78314
2wca 6.02661
2xj7 5.75760
2vvn 5.51235
3aru 4.06939
3arv 4.63425
3ary 4.18194
3arq 6.28139
3arp 7.36717
4ih5 3.17121
4ih7 5.62998
3cj4 5.61720
4eo8 7.25429
3gnw 7.37232
1gpk 7.36585
1gpn 7.03700
1h23 8.83932
1h22 8.87754
1e66 7.48264
3f3a 5.20862
3f3c 6.19388
4mme 6.16439
3f3d 6.23999
3f3e 6.03422
2wbg 6.47417
2cbv 5.62512
2j78 5.42099
2j7h 5.67843
2cet 8.79886
3udh 4.23473
3rsx 4.42698
4djv 5.99253
2vkm 8.71169
4gid 8.50475
4jfs 6.27249
4j28 6.42031
2wvt 5.28887
2xii 7.56434
4pcs 6.03999
3rr4 6.44036
1s38 5.60047
1r5y 5.58697
3gc5 7.75127
3ge7 7.57115
4dli 6.55299
2zb1 7.16757
4f9w 6.35248
3e92 7.40356
3e93 7.92441
4owm 2.86413
3twp 2.88863
3r88 1.84671
4gkm 3.61929
3qqs 3.74457
3gv9 2.39052
3gr2 2.06640
4kz6 4.48624
4jxs 3.83204
2r9w 4.32044
2hb1 4.11556
1bzc 6.37789
2qbr 6.67620
2qbq 6.43184
2qbp 7.14008
1q8t 5.85947
1ydr 6.36288
1q8u 6.53962
1ydt 7.32791
3ag9 5.32988
3fcq 2.09787
1z9g 5.35505
1qf1 8.02492
5tmn 5.54694
4tmn 5.77630
4ddk 2.32033
4ddh 3.55735
3ivg 5.35031
3coz 6.06431
3coy 6.52932
3pxf 4.90344
4eor 7.50665
2xnb 8.44532
1pxn 7.43529
2fvd 8.68291
4k77 5.80396
4e5w 7.99449
4ivb 9.41185
4ivd 9.37221
4ivc 9.55939
4f09 7.77822
4gfm 4.92789
4hge 6.51700
4e6q 7.26963
4jia 6.36081
2brb 7.05365
2br1 7.47588
3jvr 4.30492
3jvs 4.71066
1nvq 7.68445
3acw 5.31730
4ea2 7.15323
2zcr 5.49012
2zy1 5.36908
2zcq 4.19910
1bcu 2.95330
3bv9 6.85909
1oyt 6.50993
2zda 6.80911
3utu 8.78441
3u9q 5.45059
2yfe 5.91293
3fur 7.88719
3b1m 7.44429
2p4y 7.10272
3uo4 7.42394
3up2 7.44205
3e5a 8.24127
2wtv 7.75795
3myg 6.11922
3kgp 3.65274
1c5z 4.31424
1o5b 4.45056
1owh 6.54170
1sqa 7.02923
4jsz 1.72005
3kwa 4.03409
2weg 5.06152
3ryj 6.81278
3dd0 7.36935
2xdl 5.64193
3b27 5.66907
1yc1 7.06506
3rlr 8.42919
2yki 9.04858
1z95 7.86776
3b68 7.74125
3b5r 8.32682
3b65 8.03964
3g0w 8.21986
4u4s 3.69952
1p1q 6.22326
1syi 6.65723
1p1n 6.79809
2al5 6.70248
3g2z 2.17048
3g31 4.65880
4de2 5.45390
4de3 4.54563
4de1 4.86507
1vso 4.23631
4dld 5.41918
3gbb 7.02388
3fv2 6.95301
3fv1 7.19770
4mgd 7.75883
2qe4 7.04275
1qkt 8.41006
2pog 8.08646
2p15 8.87468
2y5h 6.12189
1lpg 8.29131
2xbv 7.31669
1z6e 9.47989
1mq6 9.23450
1nc3 6.39424
1nc1 6.47429
1y6r 9.88607
4f2w 10.21753
4f3c 10.70324
1uto 3.50336
4abg 5.03190
3gy4 4.31049
1k1i 6.63785
1o3f 5.60298
2yge 6.94594
2fxs 5.91247
2iwx 6.84203
2wer 6.58136
2vw5 6.70810
4kzq 5.26881
4kzu 5.46900
4j21 5.65215
4j3l 6.17405
3kr8 7.04469
2ymd 6.10133
2wnc 6.36360
2xys 7.98535
2wn9 5.79031
2x00 9.85413
3ozt 6.10928
3ozs 6.32980
3oe5 5.75950
3oe4 5.59691
3nw9 8.08998
3ao4 3.25232
3zt2 3.80253
3zsx 3.15207
4cig 3.70261
3zso 3.83422
3n7a 4.49214
4ciw 5.02521
3n86 6.92250
3n76 6.65974
2xb8 6.23292
4bkt 4.49202
4w9c 6.47694
4w9l 6.71541
4w9i 6.23460
4w9h 6.52995
3nq9 4.51249
3ueu 5.28268
3uev 5.79329
3uew 5.98312
3uex 6.11060
3lka 3.16160
3ehy 4.20382
3tsk 7.74554
3nx7 4.79457
4gr0 8.07053
3dxg 2.28159
3d6q 2.67430
1w4o 3.90106
1o0h 3.73197
1u1b 4.40702
