#code  score
4llx 0.87667
5c28 0.74957
3uuo 0.66110
3ui7 0.64325
5c2h 0.93123
2v00 0.51530
3wz8 0.35779
3pww 0.91267
3prs 0.91540
3uri 0.94453
4m0z 0.72297
4m0y 0.55468
3qgy 0.60648
4qd6 0.37823
4rfm 0.89816
4cr9 0.82610
4cra 0.73444
4x6p 0.95988
4crc 0.94746
4ty7 0.54344
5aba 0.55505
5a7b 0.66847
4agn 0.87376
4agp 0.81552
4agq 0.70695
3bgz 0.81432
3jya 0.94572
2c3i 0.84661
4k18 0.52273
5dwr 0.96615
3mss 0.79859
3k5v 0.98494
3pyy 0.96580
2v7a 0.90726
4twp 0.95704
3wtj 0.99791
3zdg 0.98461
3u8k 0.99598
4qac 0.99738
3u8n 0.99895
1a30 0.81453
2qnq 0.98061
1g2k 0.99147
1eby 0.97883
3o9i 0.99656
4lzs 0.65238
3u5j 0.66634
4wiv 0.46644
4ogj 0.57530
3p5o 0.75591
1ps3 0.99356
3dx1 0.99228
3d4z 0.94923
3dx2 0.99656
3ejr 0.99000
3l7b 0.94886
4eky 0.97228
3g2n 0.94910
3syr 0.98921
3ebp 0.27691
2w66 0.96558
2w4x 0.97176
2wca 0.97428
2xj7 0.97507
2vvn 0.99191
3aru 0.63987
3arv 0.40190
3ary 0.09059
3arq 0.54743
3arp 0.36506
4ih5 0.15961
4ih7 0.82198
3cj4 0.96339
4eo8 0.96909
3gnw 0.68134
1gpk 0.89039
1gpn 0.70443
1h23 0.99264
1h22 0.99264
1e66 0.90681
3f3a 0.93681
3f3c 0.99656
4mme 0.94548
3f3d 0.99734
3f3e 0.99581
2wbg 0.99700
2cbv 0.99794
2j78 0.94788
2j7h 0.99098
2cet 0.99608
3udh 0.79308
3rsx 0.61203
4djv 0.93295
2vkm 0.94371
4gid 0.99554
4jfs 0.98846
4j28 0.98502
2wvt 0.98003
2xii 0.99011
4pcs 0.99339
3rr4 0.92531
1s38 0.99616
1r5y 0.99278
3gc5 0.99801
3ge7 0.98295
4dli 0.86047
2zb1 0.89810
4f9w 0.83817
3e92 0.92729
3e93 0.93701
4owm 0.74711
3twp 0.67836
3r88 0.83851
4gkm 0.93503
3qqs 0.87856
3gv9 0.36287
3gr2 0.41079
4kz6 0.64543
4jxs 0.39121
2r9w 0.65961
2hb1 0.99181
1bzc 0.98253
2qbr 0.98708
2qbq 0.97633
2qbp 0.94541
1q8t 0.87935
1ydr 0.95527
1q8u 0.96304
1ydt 0.98097
3ag9 0.95483
3fcq 0.31961
1z9g 0.84170
1qf1 0.98037
5tmn 0.96626
4tmn 0.96584
4ddk 0.94492
4ddh 0.81656
3ivg 0.73315
3coz 0.95752
3coy 0.97742
3pxf 0.72970
4eor 0.97474
2xnb 0.99443
1pxn 0.97101
2fvd 0.73752
4k77 0.86251
4e5w 0.98442
4ivb 0.97457
4ivd 0.96115
4ivc 0.97155
4f09 0.95890
4gfm 0.15486
4hge 0.86732
4e6q 0.90884
4jia 0.16059
2brb 0.73672
2br1 0.73860
3jvr 0.79025
3jvs 0.62377
1nvq 0.82983
3acw 0.66919
4ea2 0.65267
2zcr 0.13924
2zy1 0.70537
2zcq 0.05744
1bcu 0.39090
3bv9 0.83620
1oyt 0.91059
2zda 0.99436
3utu 0.99565
3u9q 0.86678
2yfe 0.95092
3fur 0.88979
3b1m 0.83695
2p4y 0.98213
3uo4 0.98351
3up2 0.98525
3e5a 0.92962
2wtv 0.93831
3myg 0.91291
3kgp 0.95701
1c5z 0.97681
1o5b 0.98684
1owh 0.91794
1sqa 0.97584
4jsz 0.07992
3kwa 0.14592
2weg 0.92041
3ryj 0.76102
3dd0 0.96813
2xdl 0.90532
3b27 0.95411
1yc1 0.91664
3rlr 0.97580
2yki 0.93492
1z95 0.98364
3b68 0.99051
3b5r 0.99110
3b65 0.99804
3g0w 0.99727
4u4s 0.90543
1p1q 0.98921
1syi 0.99926
1p1n 0.98606
2al5 0.99810
3g2z 0.49603
3g31 0.86832
4de2 0.57184
4de3 0.56697
4de1 0.39620
1vso 0.75950
4dld 0.90370
3gbb 0.99031
3fv2 0.98384
3fv1 0.98966
4mgd 0.94459
2qe4 0.90620
1qkt 0.95389
2pog 0.95191
2p15 0.97856
2y5h 0.94124
1lpg 0.97682
2xbv 0.97903
1z6e 0.94544
1mq6 0.99279
1nc3 0.99866
1nc1 0.99977
1y6r 0.99903
4f2w 0.99876
4f3c 0.99961
1uto 0.64937
4abg 0.92597
3gy4 0.91590
1k1i 0.91675
1o3f 0.93858
2yge 0.80907
2fxs 0.44194
2iwx 0.62981
2wer 0.63290
2vw5 0.60940
4kzq 0.81397
4kzu 0.77938
4j21 0.78546
4j3l 0.73674
3kr8 0.92378
2ymd 0.97968
2wnc 0.94890
2xys 0.97129
2wn9 0.39775
2x00 0.98606
3ozt 0.97617
3ozs 0.90063
3oe5 0.84521
3oe4 0.95763
3nw9 0.99304
3ao4 0.65174
3zt2 0.42046
3zsx 0.31426
4cig 0.37784
3zso 0.37030
3n7a 0.98152
4ciw 0.97126
3n86 0.98292
3n76 0.97956
2xb8 0.95953
4bkt 0.94848
4w9c 0.97813
4w9l 0.97378
4w9i 0.98838
4w9h 0.98657
3nq9 0.81335
3ueu 0.82974
3uev 0.91156
3uew 0.82757
3uex 0.85256
3lka 0.21905
3ehy 0.79732
3tsk 0.98314
3nx7 0.85254
4gr0 0.96134
3dxg 0.60545
3d6q 0.41356
1w4o 0.68911
1o0h 0.54455
1u1b 0.52586
