#code  score
4llx 3.97999
5c28 5.18516
3uuo 7.69295
3ui7 7.58804
5c2h 8.36407
2v00 5.56144
3wz8 7.19780
3pww 8.43248
3prs 8.97721
3uri 7.84819
4m0z 7.40704
4m0y 6.33357
3qgy 6.90739
4qd6 7.02722
4rfm 7.70579
4cr9 4.82212
4cra 7.63239
4x6p 8.40936
4crc 8.22560
4ty7 8.01947
5aba 5.12742
5a7b 5.54290
4agn 5.34152
4agp 5.76219
4agq 5.91900
3bgz 7.40772
3jya 6.54800
2c3i 7.03072
4k18 8.11870
5dwr 8.94376
3mss 4.33307
3k5v 6.20666
3pyy 6.37340
2v7a 7.60588
4twp 7.99972
3wtj 7.50214
3zdg 7.11395
3u8k 8.14501
4qac 8.05176
3u8n 8.75968
1a30 7.08494
2qnq 8.71937
1g2k 9.07702
1eby 8.99753
3o9i 9.62775
4lzs 4.91641
3u5j 6.22597
4wiv 6.56345
4ogj 6.82343
3p5o 7.16623
1ps3 5.76805
3dx1 4.93480
3d4z 5.55939
3dx2 5.59928
3ejr 6.81569
3l7b 4.99837
4eky 6.36207
3g2n 5.44624
3syr 6.29883
3ebp 5.65599
2w66 6.16237
2w4x 4.74568
2wca 5.91455
2xj7 6.76473
2vvn 6.49023
3aru 4.27039
3arv 4.85282
3ary 4.37671
3arq 5.33245
3arp 6.11770
4ih5 4.49815
4ih7 5.71379
3cj4 5.72696
4eo8 6.74955
3gnw 7.85149
1gpk 7.40082
1gpn 7.67648
1h23 8.29932
1h22 8.34769
1e66 8.24101
3f3a 5.92147
3f3c 5.64969
4mme 6.77971
3f3d 5.51406
3f3e 5.33619
2wbg 6.88431
2cbv 5.91137
2j78 6.20924
2j7h 5.35822
2cet 7.85559
3udh 4.91257
3rsx 5.08932
4djv 6.73064
2vkm 7.82859
4gid 8.33617
4jfs 5.52434
4j28 5.93226
2wvt 5.40459
2xii 6.60977
4pcs 5.71036
3rr4 6.33810
1s38 5.44813
1r5y 5.31880
3gc5 7.18641
3ge7 7.60157
4dli 6.46038
2zb1 7.47586
4f9w 7.59222
3e92 7.56492
3e93 7.88742
4owm 3.09081
3twp 3.04526
3r88 3.42179
4gkm 4.81441
3qqs 4.43232
3gv9 4.03468
3gr2 3.25768
4kz6 4.60557
4jxs 4.91489
2r9w 5.54596
2hb1 4.04544
1bzc 5.84523
2qbr 5.66767
2qbq 6.04983
2qbp 6.35031
1q8t 7.05151
1ydr 7.20718
1q8u 7.32786
1ydt 7.62068
3ag9 6.23175
3fcq 4.54262
1z9g 6.61930
1qf1 7.07543
5tmn 6.09258
4tmn 6.93313
4ddk 3.13050
4ddh 4.13864
3ivg 6.39226
3coz 6.47974
3coy 6.67470
3pxf 4.57803
4eor 7.47201
2xnb 8.04415
1pxn 7.44610
2fvd 7.40497
4k77 7.14470
4e5w 8.09858
4ivb 7.97650
4ivd 8.02736
4ivc 8.04570
4f09 7.68689
4gfm 6.77646
4hge 8.19305
4e6q 8.05644
4jia 7.26753
2brb 7.03169
2br1 7.50879
3jvr 5.12329
3jvs 5.75788
1nvq 7.80654
3acw 6.79610
4ea2 7.19867
2zcr 6.63767
2zy1 6.75361
2zcq 5.96742
1bcu 5.24554
3bv9 8.17883
1oyt 7.67888
2zda 7.62892
3utu 8.81002
3u9q 4.68508
2yfe 6.58580
3fur 8.33001
3b1m 7.18420
2p4y 8.10317
3uo4 7.25555
3up2 7.45138
3e5a 7.88462
2wtv 8.17120
3myg 7.36308
3kgp 4.15881
1c5z 4.10946
1o5b 5.46555
1owh 6.14973
1sqa 6.80423
4jsz 2.30086
3kwa 4.33208
2weg 5.88033
3ryj 6.99231
3dd0 6.66026
2xdl 5.60314
3b27 5.47167
1yc1 6.69849
3rlr 7.31102
2yki 8.50390
1z95 7.79663
3b68 7.92672
3b5r 7.89253
3b65 7.87363
3g0w 8.27934
4u4s 4.57030
1p1q 6.37028
1syi 6.72493
1p1n 6.39911
2al5 6.41836
3g2z 3.45148
3g31 3.31486
4de2 4.58712
4de3 4.98952
4de1 4.85847
1vso 6.31203
4dld 6.94818
3gbb 6.47971
3fv2 6.61885
3fv1 6.98669
4mgd 7.92273
2qe4 8.23638
1qkt 7.63287
2pog 7.82168
2p15 9.45862
2y5h 8.36921
1lpg 7.69678
2xbv 8.19052
1z6e 8.71561
1mq6 8.56828
1nc3 7.23610
1nc1 7.63090
1y6r 8.44058
4f2w 8.59416
4f3c 9.02909
1uto 3.97122
4abg 4.46827
3gy4 4.17221
1k1i 7.55714
1o3f 6.54992
2yge 7.96056
2fxs 6.11951
2iwx 6.71388
2wer 6.53334
2vw5 7.57848
4kzq 6.32151
4kzu 6.58304
4j21 7.07869
4j3l 7.66099
3kr8 7.12473
2ymd 6.15554
2wnc 7.55788
2xys 7.82215
2wn9 6.79794
2x00 8.75415
3ozt 6.58417
3ozs 6.68636
3oe5 6.81914
3oe4 6.74484
3nw9 7.09414
3ao4 4.66086
3zt2 4.96625
3zsx 5.35868
4cig 5.49634
3zso 6.17404
3n7a 4.36446
4ciw 5.10556
3n86 6.37043
3n76 6.46530
2xb8 6.72574
4bkt 4.62940
4w9c 5.86991
4w9l 7.04125
4w9i 6.20243
4w9h 6.57584
3nq9 3.85144
3ueu 4.92996
3uev 4.96159
3uew 5.18383
3uex 5.64716
3lka 4.70101
3ehy 4.81441
3tsk 6.47767
3nx7 5.77022
4gr0 7.18450
3dxg 3.95662
3d6q 3.36074
1w4o 4.46104
1o0h 4.88816
1u1b 6.19716
