#code  score
4llx 0.91075
5c28 0.80469
3uuo 0.97554
3ui7 0.97028
5c2h 0.99416
2v00 0.94778
3wz8 0.97050
3pww 0.91620
3prs 0.98791
3uri 0.75208
4m0z 0.98053
4m0y 0.98629
3qgy 0.55594
4qd6 0.98323
4rfm 0.98859
4cr9 0.98954
4cra 0.99238
4x6p 0.97803
4crc 0.98751
4ty7 0.94531
5aba 0.94735
5a7b 0.94158
4agn 0.97707
4agp 0.96342
4agq 0.96777
3bgz 0.97643
3jya 0.84095
2c3i 0.63793
4k18 0.96697
5dwr 0.98963
3mss 0.60790
3k5v 0.94025
3pyy 0.96641
2v7a 0.99621
4twp 0.99212
3wtj 0.91458
3zdg 0.98075
3u8k 0.99335
4qac 0.90750
3u8n 0.99634
1a30 0.71513
2qnq 0.98261
1g2k 0.99673
1eby 0.98175
3o9i 0.99680
4lzs 0.95661
3u5j 0.96251
4wiv 0.95092
4ogj 0.94669
3p5o 0.98913
1ps3 0.99165
3dx1 0.99566
3d4z 0.98602
3dx2 0.99844
3ejr 0.98961
3l7b 0.90239
4eky 0.91460
3g2n 0.97367
3syr 0.98846
3ebp 0.52323
2w66 0.99122
2w4x 0.99383
2wca 0.97057
2xj7 0.99719
2vvn 0.99556
3aru 0.75252
3arv 0.87542
3ary 0.96412
3arq 0.85727
3arp 0.85046
4ih5 0.53209
4ih7 0.98276
3cj4 0.97794
4eo8 0.98287
3gnw 0.99018
1gpk 0.95240
1gpn 0.89370
1h23 0.99363
1h22 0.99440
1e66 0.99142
3f3a 0.93059
3f3c 0.96086
4mme 0.97981
3f3d 0.97659
3f3e 0.98566
2wbg 0.99804
2cbv 0.99130
2j78 0.99840
2j7h 0.99435
2cet 0.99597
3udh 0.86083
3rsx 0.98856
4djv 0.98664
2vkm 0.99604
4gid 0.99674
4jfs 0.98764
4j28 0.96312
2wvt 0.98921
2xii 0.99773
4pcs 0.98920
3rr4 0.98361
1s38 0.99385
1r5y 0.99206
3gc5 0.99768
3ge7 0.99427
4dli 0.66068
2zb1 0.99249
4f9w 0.99705
3e92 0.99485
3e93 0.99311
4owm 0.52421
3twp 0.78343
3r88 0.74943
4gkm 0.98658
3qqs 0.93579
3gv9 0.95359
3gr2 0.69111
4kz6 0.95836
4jxs 0.81926
2r9w 0.97775
2hb1 0.96216
1bzc 0.96667
2qbr 0.95567
2qbq 0.91240
2qbp 0.97619
1q8t 0.98001
1ydr 0.99516
1q8u 0.99407
1ydt 0.99424
3ag9 0.07175
3fcq 0.78064
1z9g 0.97754
1qf1 0.81866
5tmn 0.42643
4tmn 0.75262
4ddk 0.61133
4ddh 0.91619
3ivg 0.98086
3coz 0.98689
3coy 0.99467
3pxf 0.27874
4eor 0.99698
2xnb 0.99789
1pxn 0.99418
2fvd 0.99652
4k77 0.99254
4e5w 0.99530
4ivb 0.99801
4ivd 0.99459
4ivc 0.99762
4f09 0.99793
4gfm 0.97332
4hge 0.99077
4e6q 0.99401
4jia 0.66833
2brb 0.98191
2br1 0.98348
3jvr 0.99282
3jvs 0.95736
1nvq 0.99786
3acw 0.97997
4ea2 0.85263
2zcr 0.87017
2zy1 0.96311
2zcq 0.62602
1bcu 0.88924
3bv9 0.55047
1oyt 0.97659
2zda 0.99253
3utu 0.99369
3u9q 0.59074
2yfe 0.95608
3fur 0.98453
3b1m 0.88697
2p4y 0.99043
3uo4 0.99574
3up2 0.99738
3e5a 0.87819
2wtv 0.83283
3myg 0.85110
3kgp 0.99017
1c5z 0.94928
1o5b 0.97175
1owh 0.66093
1sqa 0.45705
4jsz 0.41295
3kwa 0.65076
2weg 0.72484
3ryj 0.95955
3dd0 0.72818
2xdl 0.95389
3b27 0.98920
1yc1 0.98875
3rlr 0.98983
2yki 0.99233
1z95 0.96809
3b68 0.98464
3b5r 0.99008
3b65 0.99639
3g0w 0.99267
4u4s 0.90364
1p1q 0.98002
1syi 0.99764
1p1n 0.98698
2al5 0.99168
3g2z 0.46234
3g31 0.45643
4de2 0.76134
4de3 0.95199
4de1 0.83950
1vso 0.99285
4dld 0.99617
3gbb 0.99631
3fv2 0.99075
3fv1 0.99349
4mgd 0.95856
2qe4 0.98900
1qkt 0.90915
2pog 0.85478
2p15 0.99637
2y5h 0.99424
1lpg 0.92013
2xbv 0.99182
1z6e 0.99907
1mq6 0.99937
1nc3 0.99047
1nc1 0.98919
1y6r 0.99708
4f2w 0.99488
4f3c 0.99159
1uto 0.97314
4abg 0.97359
3gy4 0.92891
1k1i 0.85245
1o3f 0.97531
2yge 0.99122
2fxs 0.97288
2iwx 0.97548
2wer 0.98141
2vw5 0.98426
4kzq 0.98149
4kzu 0.98946
4j21 0.98975
4j3l 0.99086
3kr8 0.99409
2ymd 0.96868
2wnc 0.98027
2xys 0.94395
2wn9 0.59161
2x00 0.98905
3ozt 0.99455
3ozs 0.98699
3oe5 0.99518
3oe4 0.99452
3nw9 0.99503
3ao4 0.97776
3zt2 0.98197
3zsx 0.93651
4cig 0.97155
3zso 0.90786
3n7a 0.97460
4ciw 0.97550
3n86 0.98282
3n76 0.98415
2xb8 0.99002
4bkt 0.99289
4w9c 0.98459
4w9l 0.99576
4w9i 0.99436
4w9h 0.99415
3nq9 0.17907
3ueu 0.60468
3uev 0.22206
3uew 0.33864
3uex 0.45532
3lka 0.83210
3ehy 0.28758
3tsk 0.20014
3nx7 0.38986
4gr0 0.32587
3dxg 0.95533
3d6q 0.34757
1w4o 0.98495
1o0h 0.81292
1u1b 0.97016
