#code  score
4llx -5.14112
5c28 -5.79614
3uuo -7.88801
3ui7 -8.04720
5c2h -9.75765
2v00 -7.49633
3wz8 -8.98749
3pww -10.96622
3prs -8.90160
3uri -7.00054
4m0z -10.82694
4m0y -7.20528
3qgy -8.82705
4qd6 -6.91227
4rfm -11.35013
4cr9 -6.14590
4cra -10.10506
4x6p -10.74311
4crc -9.67762
4ty7 -9.73658
5aba -5.57451
5a7b -6.66591
4agn -5.89909
4agp -6.45969
4agq -6.67511
3bgz -10.65125
3jya -7.82707
2c3i -8.25911
4k18 -9.66516
5dwr -10.93662
3mss -6.05891
3k5v -8.57240
3pyy -8.77736
2v7a -9.45974
4twp -10.32571
3wtj -6.54100
3zdg -4.77233
3u8k -6.99087
4qac -11.20041
3u8n -6.76437
1a30 -5.18801
2qnq -10.46203
1g2k -12.00743
1eby -12.62076
3o9i -9.90734
4lzs -6.28829
3u5j -8.70058
4wiv -7.49392
4ogj -6.27499
3p5o -8.72952
1ps3 -8.09508
3dx1 -5.78188
3d4z -7.79289
3dx2 -5.70475
3ejr -7.88323
3l7b -9.29831
4eky -10.78543
3g2n -9.53672
3syr -10.75956
3ebp -9.92148
2w66 -7.50449
2w4x -7.02250
2wca -7.09396
2xj7 -8.71531
2vvn -7.15230
3aru -5.23703
3arv -9.38085
3ary -6.16778
3arq -10.56924
3arp -9.21187
4ih5 -5.70873
4ih7 -6.82948
3cj4 -6.49622
4eo8 -7.38737
3gnw -12.11667
1gpk -10.65235
1gpn -10.06856
1h23 -9.60943
1h22 -9.77154
1e66 -12.31397
3f3a -6.80983
3f3c -7.22204
4mme -10.53621
3f3d -4.92819
3f3e -6.10184
2wbg -8.29297
2cbv -7.41031
2j78 -6.96772
2j7h -5.75682
2cet -8.28116
3udh -7.07843
3rsx -7.64899
4djv -9.07273
2vkm -10.67884
4gid -11.35798
4jfs -6.69631
4j28 -6.44152
2wvt -5.82580
2xii -9.74628
4pcs -6.57904
3rr4 -7.13346
1s38 -8.14833
1r5y -7.27908
3gc5 -9.12660
3ge7 -10.23255
4dli -9.51693
2zb1 -10.88492
4f9w -10.26287
3e92 -12.99848
3e93 -13.48712
4owm -4.20140
3twp -4.60302
3r88 -4.63453
4gkm -7.72349
3qqs -6.91552
3gv9 -4.10244
3gr2 -4.00597
4kz6 -5.15589
4jxs -6.57655
2r9w -7.68796
2hb1 -5.12455
1bzc -8.54508
2qbr -7.05465
2qbq -7.54849
2qbp -8.18506
1q8t -6.97554
1ydr -8.20466
1q8u -8.25629
1ydt -8.48827
3ag9 -5.19325
3fcq -3.52824
1z9g -4.39675
1qf1 -6.69648
5tmn -5.82808
4tmn -7.08657
4ddk -4.94441
4ddh -5.90451
3ivg -9.01110
3coz -10.15945
3coy -10.65986
3pxf -5.52937
4eor -8.97520
2xnb -9.93886
1pxn -9.26132
2fvd -9.10314
4k77 -7.64299
4e5w -10.24510
4ivb -9.55008
4ivd -8.91438
4ivc -9.60188
4f09 -8.27408
4gfm -7.12976
4hge -8.90737
4e6q -8.99764
4jia -8.76962
2brb -7.69277
2br1 -7.78858
3jvr -7.54104
3jvs -7.26867
1nvq -13.70576
3acw -10.35629
4ea2 -6.73634
2zcr -7.15625
2zy1 -8.70809
2zcq -6.20376
1bcu -7.36191
3bv9 -8.16700
1oyt -10.44634
2zda -9.56635
3utu -9.34561
3u9q -4.76306
2yfe -7.92963
3fur -11.17484
3b1m -11.14485
2p4y -11.39140
3uo4 -9.26238
3up2 -9.07554
3e5a -8.19071
2wtv -10.42198
3myg -6.69904
3kgp -5.07681
1c5z -5.23874
1o5b -6.10180
1owh -7.21883
1sqa -8.00084
4jsz -2.85941
3kwa -1.06702
2weg -4.60557
3ryj -3.80447
3dd0 -4.70375
2xdl -6.07546
3b27 -6.96197
1yc1 -9.09420
3rlr -8.92842
2yki -15.22825
1z95 -9.91428
3b68 -11.27437
3b5r -10.40142
3b65 -10.14191
3g0w -10.14736
4u4s -5.53816
1p1q -6.70140
1syi -8.81085
1p1n -7.25906
2al5 -8.25168
3g2z -3.78283
3g31 -3.15161
4de2 -7.65923
4de3 -8.14084
4de1 -8.23398
1vso -5.87548
4dld -7.92236
3gbb -8.69837
3fv2 -10.28256
3fv1 -9.98420
4mgd -8.61325
2qe4 -10.04813
1qkt -10.14991
2pog -10.53880
2p15 -14.42729
2y5h -7.92676
1lpg -8.62564
2xbv -10.76081
1z6e -10.95737
1mq6 -9.25762
1nc3 -10.62925
1nc1 -8.43715
1y6r -10.39902
4f2w -9.23921
4f3c -9.11070
1uto -4.24865
4abg -5.52904
3gy4 -5.80270
1k1i -7.70830
1o3f -8.71358
2yge -9.43083
2fxs -6.82057
2iwx -9.44418
