#code  score
4llx 4.04847
5c28 4.54875
3uuo 6.99726
3ui7 7.56505
5c2h 7.73623
2v00 4.27749
3wz8 5.82680
3pww 7.27942
3prs 8.51252
3uri 7.03585
4m0z 6.72891
4m0y 6.38901
3qgy 8.25550
4qd6 6.80330
4rfm 7.61013
4cr9 4.81398
4cra 7.72256
4x6p 8.57736
4crc 8.53201
4ty7 7.93229
5aba 5.04827
5a7b 5.11774
4agn 5.11094
4agp 5.54998
4agq 5.71144
3bgz 6.97422
3jya 6.84591
2c3i 7.40229
4k18 8.05386
5dwr 8.86476
3mss 4.16577
3k5v 6.10303
3pyy 5.90243
2v7a 8.40701
4twp 8.01376
3wtj 7.01676
3zdg 6.71804
3u8k 7.96055
4qac 8.05856
3u8n 8.89330
1a30 7.18785
2qnq 8.34264
1g2k 9.16971
1eby 8.89317
3o9i 10.25662
4lzs 4.89190
3u5j 5.95843
4wiv 5.90890
4ogj 6.66319
3p5o 6.98815
1ps3 5.70073
3dx1 5.46204
3d4z 5.85855
3dx2 6.05210
3ejr 8.01214
3l7b 3.63676
4eky 5.51704
3g2n 5.04451
3syr 4.84075
3ebp 5.64405
2w66 6.23399
2w4x 4.32229
2wca 6.04996
2xj7 6.73790
2vvn 6.44462
3aru 4.84829
3arv 5.16741
3ary 4.36642
3arq 5.87804
3arp 5.79762
4ih5 4.60217
4ih7 5.20120
3cj4 6.11691
4eo8 6.81082
3gnw 8.20872
1gpk 6.68795
1gpn 7.17799
1h23 8.29779
1h22 8.43085
1e66 7.85957
3f3a 5.10217
3f3c 4.80900
4mme 5.84199
3f3d 5.06225
3f3e 4.92786
2wbg 6.95891
2cbv 6.13596
2j78 6.40991
2j7h 5.71090
2cet 8.51421
3udh 4.79951
3rsx 4.73586
4djv 7.11829
2vkm 8.34713
4gid 8.54387
4jfs 6.43710
4j28 6.84880
2wvt 6.06769
2xii 8.04937
4pcs 6.58172
3rr4 5.89469
1s38 5.74616
1r5y 5.86070
3gc5 7.79237
3ge7 8.80197
4dli 6.29977
2zb1 6.73681
4f9w 7.55824
3e92 7.22214
3e93 7.62071
4owm 3.30466
3twp 2.98019
3r88 3.05863
4gkm 4.82709
3qqs 4.57539
3gv9 4.15213
3gr2 4.14604
4kz6 5.49424
4jxs 6.02609
2r9w 6.16875
2hb1 3.70206
1bzc 5.35436
2qbr 6.09221
2qbq 6.33780
2qbp 6.76280
1q8t 5.89875
1ydr 7.02838
1q8u 7.42241
1ydt 7.97586
3ag9 6.13296
3fcq 4.06431
1z9g 5.48369
1qf1 7.55949
5tmn 7.27715
4tmn 7.52591
4ddk 3.40924
4ddh 4.15149
3ivg 6.48015
3coz 6.82969
3coy 7.10064
3pxf 5.41663
4eor 7.59881
2xnb 7.78820
1pxn 6.96488
2fvd 7.78199
4k77 6.43352
4e5w 8.12639
4ivb 8.43979
4ivd 8.34824
4ivc 8.59793
4f09 7.41350
4gfm 6.22708
4hge 7.29060
4e6q 7.72594
4jia 6.70897
2brb 6.90460
2br1 7.27988
3jvr 5.86183
3jvs 5.60466
1nvq 7.97484
3acw 6.76737
4ea2 6.81862
2zcr 6.55486
2zy1 6.39687
2zcq 5.88254
1bcu 4.73383
3bv9 7.61693
1oyt 7.10073
2zda 7.73723
3utu 9.44289
3u9q 5.65839
2yfe 6.84731
3fur 8.04688
3b1m 7.09632
2p4y 7.97013
3uo4 7.34367
3up2 7.42164
3e5a 8.21682
2wtv 8.30484
3myg 7.59571
3kgp 4.48797
1c5z 4.51495
1o5b 5.87053
1owh 5.91480
1sqa 7.41276
4jsz 3.50675
3kwa 4.95491
2weg 5.84026
3ryj 6.96266
3dd0 7.09696
2xdl 4.83411
3b27 5.67242
1yc1 6.75605
3rlr 7.12826
2yki 8.76856
1z95 7.12082
3b68 7.67611
3b5r 8.20730
3b65 7.86495
3g0w 7.96983
4u4s 4.85364
1p1q 6.57596
1syi 7.29804
1p1n 6.48086
2al5 6.85974
3g2z 4.27151
3g31 4.37174
4de2 5.76488
4de3 6.17064
4de1 5.80492
1vso 5.69836
4dld 6.77195
3gbb 7.38553
3fv2 6.88824
3fv1 7.70744
4mgd 7.37550
2qe4 7.06174
1qkt 7.79132
2pog 7.40297
2p15 8.89873
2y5h 7.81554
1lpg 8.09289
2xbv 8.85342
1z6e 9.51382
1mq6 8.89377
1nc3 6.66866
1nc1 6.83604
1y6r 9.12289
4f2w 9.19755
4f3c 9.79375
1uto 3.59871
4abg 4.23788
3gy4 4.41006
1k1i 7.79554
1o3f 6.77101
2yge 7.21329
2fxs 5.74592
2iwx 6.52015
2wer 6.32879
2vw5 6.97096
4kzq 6.53080
4kzu 6.41633
4j21 6.82385
4j3l 7.10371
3kr8 6.66404
2ymd 6.05981
2wnc 6.70523
2xys 8.23697
2wn9 6.33820
2x00 8.64328
3ozt 6.69925
3ozs 6.80758
3oe5 6.79085
3oe4 6.89059
3nw9 7.38079
3ao4 4.33337
3zt2 4.69989
3zsx 4.89950
4cig 5.48936
3zso 5.87881
3n7a 4.57018
4ciw 5.31878
3n86 6.76772
3n76 6.40170
2xb8 6.12310
4bkt 5.16970
4w9c 6.64526
4w9l 7.01363
4w9i 7.16133
4w9h 7.23695
3nq9 4.80674
3ueu 6.22901
3uev 6.84920
3uew 6.56274
3uex 6.95484
3lka 3.81261
3ehy 5.48227
3tsk 7.42629
3nx7 5.79432
4gr0 7.68588
3dxg 4.11724
3d6q 4.04985
1w4o 4.60354
1o0h 5.31603
1u1b 6.67898
