#code  score
4llx 0.91858
5c28 0.77442
3uuo 0.81629
3ui7 0.98096
5c2h 0.97185
2v00 0.48164
3wz8 0.87240
3pww 0.34677
3prs 0.98993
3uri 0.85004
4m0z 0.86854
4m0y 0.95428
3qgy 0.96748
4qd6 0.77517
4rfm 0.85898
4cr9 0.98452
4cra 0.98143
4x6p 0.99194
4crc 0.99385
4ty7 0.97093
5aba 0.87856
5a7b 0.82458
4agn 0.93089
4agp 0.88172
4agq 0.93230
3bgz 0.95331
3jya 0.97063
2c3i 0.98303
4k18 0.99282
5dwr 0.99579
3mss 0.66802
3k5v 0.91397
3pyy 0.77947
2v7a 0.99775
4twp 0.96407
3wtj 0.99524
3zdg 0.96845
3u8k 0.98863
4qac 0.93791
3u8n 0.99133
1a30 0.92704
2qnq 0.98070
1g2k 0.99259
1eby 0.98884
3o9i 0.99774
4lzs 0.94402
3u5j 0.76225
4wiv 0.88743
4ogj 0.77398
3p5o 0.95511
1ps3 0.98364
3dx1 0.99195
3d4z 0.96479
3dx2 0.99799
3ejr 0.99116
3l7b 0.86983
4eky 0.98458
3g2n 0.99143
3syr 0.98524
3ebp 0.38129
2w66 0.98443
2w4x 0.98307
2wca 0.99032
2xj7 0.97107
2vvn 0.99695
3aru 0.96704
3arv 0.92798
3ary 0.88407
3arq 0.89496
3arp 0.19509
4ih5 0.40775
4ih7 0.97276
3cj4 0.96356
4eo8 0.97023
3gnw 0.99348
1gpk 0.79671
1gpn 0.83659
1h23 0.99055
1h22 0.99519
1e66 0.91780
3f3a 0.92751
3f3c 0.93027
4mme 0.97112
3f3d 0.96560
3f3e 0.94787
2wbg 0.99476
2cbv 0.97280
2j78 0.99450
2j7h 0.98715
2cet 0.99175
3udh 0.99604
3rsx 0.91871
4djv 0.99962
2vkm 0.97565
4gid 0.99104
4jfs 0.94629
4j28 0.95576
2wvt 0.96533
2xii 0.98374
4pcs 0.95221
3rr4 0.92827
1s38 0.98872
1r5y 0.98724
3gc5 0.99667
3ge7 0.99116
4dli 0.66713
2zb1 0.88003
4f9w 0.98894
3e92 0.95614
3e93 0.92597
4owm 0.89808
3twp 0.83490
3r88 0.89921
4gkm 0.98909
3qqs 0.98285
3gv9 0.95123
3gr2 0.35279
4kz6 0.98108
4jxs 0.98221
2r9w 0.90484
2hb1 0.82390
1bzc 0.96009
2qbr 0.96313
2qbq 0.89803
2qbp 0.90327
1q8t 0.75384
1ydr 0.98898
1q8u 0.99196
1ydt 0.99459
3ag9 0.94607
3fcq 0.87649
1z9g 0.97769
1qf1 0.99766
5tmn 0.99161
4tmn 0.98356
4ddk 0.96420
4ddh 0.98494
3ivg 0.98679
3coz 0.98642
3coy 0.98866
3pxf 0.30723
4eor 0.99648
2xnb 0.99905
1pxn 0.99220
2fvd 0.99816
4k77 0.94477
4e5w 0.93085
4ivb 0.99630
4ivd 0.99338
4ivc 0.99661
4f09 0.99561
4gfm 0.91527
4hge 0.98471
4e6q 0.99428
4jia 0.57036
2brb 0.96888
2br1 0.93768
3jvr 0.97247
3jvs 0.92186
1nvq 0.98918
3acw 0.65810
4ea2 0.39983
2zcr 0.86053
2zy1 0.89277
2zcq 0.57570
1bcu 0.85423
3bv9 0.40257
1oyt 0.93155
2zda 0.99875
3utu 0.99964
3u9q 0.96877
2yfe 0.98609
3fur 0.92974
3b1m 0.89814
2p4y 0.97083
3uo4 0.99539
3up2 0.99488
3e5a 0.99244
2wtv 0.99601
3myg 0.99272
3kgp 0.99450
1c5z 0.99476
1o5b 0.99215
1owh 0.94424
1sqa 0.97435
4jsz 0.24600
3kwa 0.06460
2weg 0.93843
3ryj 0.96722
3dd0 0.98553
2xdl 0.94075
3b27 0.97871
1yc1 0.98752
3rlr 0.98596
2yki 0.98845
1z95 0.68108
3b68 0.88814
3b5r 0.95354
3b65 0.95362
3g0w 0.90032
4u4s 0.88696
1p1q 0.98185
1syi 0.99867
1p1n 0.98755
2al5 0.99600
3g2z 0.66277
3g31 0.80053
4de2 0.95653
4de3 0.98936
4de1 0.92304
1vso 0.99479
4dld 0.98832
3gbb 0.99382
3fv2 0.94433
3fv1 0.96545
4mgd 0.98126
2qe4 0.83382
1qkt 0.98679
2pog 0.87756
2p15 0.96636
2y5h 0.98331
1lpg 0.99621
2xbv 0.99723
1z6e 0.99907
1mq6 0.99850
1nc3 0.82848
1nc1 0.69585
1y6r 0.92426
4f2w 0.92146
4f3c 0.95715
1uto 0.98242
4abg 0.97121
3gy4 0.98933
1k1i 0.98449
1o3f 0.97732
2yge 0.87716
2fxs 0.89296
2iwx 0.97440
2wer 0.95680
2vw5 0.88123
4kzq 0.95324
4kzu 0.93760
4j21 0.82715
4j3l 0.78086
3kr8 0.84812
2ymd 0.80740
2wnc 0.91328
2xys 0.93941
2wn9 0.88763
2x00 0.97545
3ozt 0.97885
3ozs 0.95514
3oe5 0.97955
3oe4 0.98117
3nw9 0.97887
3ao4 0.94273
3zt2 0.97204
3zsx 0.85404
4cig 0.90841
3zso 0.77357
3n7a 0.92515
4ciw 0.81920
3n86 0.92236
3n76 0.84819
2xb8 0.89258
4bkt 0.93099
4w9c 0.93039
4w9l 0.90185
4w9i 0.99114
4w9h 0.98261
3nq9 0.84564
3ueu 0.86623
3uev 0.97754
3uew 0.93730
3uex 0.97802
3lka 0.49529
3ehy 0.98229
3tsk 0.95088
3nx7 0.99501
4gr0 0.98311
3dxg 0.94726
3d6q 0.63460
1w4o 0.99147
1o0h 0.99797
1u1b 0.99541
