#code  score
4llx 4.76000
5c28 4.93712
3uuo 6.24653
3ui7 6.75061
5c2h 7.59685
2v00 5.37174
3wz8 6.99121
3pww 8.29140
3prs 8.75397
3uri 8.46871
4m0z 6.99547
4m0y 5.99503
3qgy 7.14170
4qd6 6.54043
4rfm 7.52558
4cr9 5.13277
4cra 7.11602
4x6p 8.03759
4crc 7.50878
4ty7 7.32074
5aba 5.22600
5a7b 6.09127
4agn 5.63203
4agp 6.27396
4agq 6.46832
3bgz 6.71903
3jya 6.56231
2c3i 6.86667
4k18 7.24795
5dwr 8.30469
3mss 4.57427
3k5v 6.34864
3pyy 6.07835
2v7a 7.82004
4twp 7.55120
3wtj 6.39703
3zdg 5.68133
3u8k 6.67582
4qac 7.29127
3u8n 7.11501
1a30 5.01368
2qnq 9.05134
1g2k 8.77540
1eby 8.64582
3o9i 8.94982
4lzs 5.21965
3u5j 6.07085
4wiv 6.02439
4ogj 7.10311
3p5o 6.86417
1ps3 5.51176
3dx1 4.89494
3d4z 5.71722
3dx2 5.45553
3ejr 6.07512
3l7b 5.69069
4eky 6.60007
3g2n 5.85777
3syr 6.24991
3ebp 5.55419
2w66 5.48410
2w4x 4.92884
2wca 5.65762
2xj7 5.97133
2vvn 5.98035
3aru 5.04800
3arv 5.10695
3ary 4.71388
3arq 5.52562
3arp 6.34688
4ih5 5.26879
4ih7 5.63488
3cj4 5.71629
4eo8 6.55006
3gnw 8.32648
1gpk 6.17055
1gpn 6.13568
1h23 7.56190
1h22 7.56535
1e66 7.28765
3f3a 5.29571
3f3c 5.18397
4mme 6.58968
3f3d 5.50692
3f3e 5.30369
2wbg 6.41699
2cbv 4.75900
2j78 5.18179
2j7h 5.19345
2cet 6.30781
3udh 5.21891
3rsx 5.19268
4djv 6.84678
2vkm 7.97007
4gid 8.66539
4jfs 5.80004
4j28 5.60983
2wvt 5.22362
2xii 6.40487
4pcs 5.73750
3rr4 6.12025
1s38 6.07423
1r5y 5.85956
3gc5 7.52380
3ge7 7.93512
4dli 6.27032
2zb1 6.85272
4f9w 7.23125
3e92 7.23643
3e93 7.80715
4owm 3.90921
3twp 3.48944
3r88 4.22237
4gkm 5.30952
3qqs 5.21103
3gv9 4.17936
3gr2 4.07381
4kz6 4.40658
4jxs 5.08391
2r9w 5.31754
2hb1 4.56840
1bzc 4.98777
2qbr 5.98322
2qbq 6.22030
2qbp 6.33758
1q8t 6.08778
1ydr 6.49408
1q8u 6.66961
1ydt 7.54300
3ag9 6.62441
3fcq 4.02190
1z9g 5.46365
1qf1 6.85978
5tmn 5.82848
4tmn 6.28898
4ddk 4.57851
4ddh 5.20315
3ivg 6.86874
3coz 7.12178
3coy 7.41486
3pxf 5.10143
4eor 7.37590
2xnb 7.92898
1pxn 7.35809
2fvd 7.76645
4k77 6.24030
4e5w 7.60215
4ivb 7.46968
4ivd 7.57151
4ivc 7.66684
4f09 6.94512
4gfm 6.19106
4hge 7.40042
4e6q 7.24318
4jia 6.67267
2brb 6.42221
2br1 6.52944
3jvr 5.81590
3jvs 5.21904
1nvq 8.06020
3acw 6.28456
4ea2 6.92897
2zcr 6.07930
2zy1 6.33117
2zcq 5.63101
1bcu 5.15309
3bv9 7.88341
1oyt 6.75763
2zda 7.00747
3utu 8.52864
3u9q 5.33279
2yfe 6.42034
3fur 8.36193
3b1m 7.01757
2p4y 8.66057
3uo4 7.28430
3up2 7.21403
3e5a 7.52202
2wtv 7.85630
3myg 7.37170
3kgp 4.64474
1c5z 4.91077
1o5b 5.88129
1owh 5.58741
1sqa 6.61249
4jsz 3.00196
3kwa 4.56429
2weg 5.05868
3ryj 5.13257
3dd0 5.65050
2xdl 5.49357
3b27 6.10067
1yc1 6.36787
3rlr 7.04777
2yki 7.96240
1z95 7.32389
3b68 7.56413
3b5r 7.96136
3b65 7.73004
3g0w 7.51446
4u4s 5.16094
1p1q 5.20430
1syi 6.25190
1p1n 5.10717
2al5 6.03860
3g2z 4.02938
3g31 3.65763
4de2 5.64511
4de3 5.68554
4de1 5.63475
1vso 5.23832
4dld 5.77993
3gbb 5.83888
3fv2 5.66543
3fv1 6.19867
4mgd 7.28357
2qe4 6.87605
1qkt 6.72891
2pog 6.81547
2p15 8.71001
2y5h 7.17222
1lpg 6.91151
2xbv 7.48057
1z6e 8.23246
1mq6 8.02425
1nc3 6.95761
1nc1 6.78910
1y6r 7.68704
4f2w 7.81262
4f3c 8.18055
1uto 4.58182
4abg 5.34831
3gy4 4.86338
1k1i 6.80420
1o3f 6.14953
2yge 7.21159
2fxs 5.66419
2iwx 6.33552
2wer 6.09881
2vw5 7.55396
4kzq 5.69428
4kzu 5.91792
4j21 6.18797
4j3l 6.35602
3kr8 6.51486
2ymd 5.64222
2wnc 5.92178
2xys 6.69164
2wn9 5.68032
2x00 7.66634
3ozt 6.19482
3ozs 6.21971
3oe5 6.16328
3oe4 6.18853
3nw9 6.93331
3ao4 5.19973
3zt2 5.37928
3zsx 5.94227
4cig 6.46115
3zso 7.04656
3n7a 5.12465
4ciw 5.41413
3n86 6.70235
3n76 6.19845
2xb8 6.10377
4bkt 4.83341
4w9c 6.01484
4w9l 7.03332
4w9i 6.47284
4w9h 6.62550
3nq9 3.85476
3ueu 5.35830
3uev 5.79638
3uew 5.49963
3uex 6.03109
3lka 3.84221
3ehy 4.22196
3tsk 6.59489
3nx7 4.96102
4gr0 6.88334
3dxg 4.11404
3d6q 4.38509
1w4o 4.19803
1o0h 5.23946
1u1b 6.72358
