#code  score
4llx 0.84871
5c28 0.47568
3uuo 0.73769
3ui7 0.92674
5c2h 0.98527
2v00 0.71266
3wz8 0.86282
3pww 0.91416
3prs 0.95262
3uri 0.70768
4m0z 0.98411
4m0y 0.92509
3qgy 0.89361
4qd6 0.81377
4rfm 0.97071
4cr9 0.91794
4cra 0.96922
4x6p 0.96504
4crc 0.90592
4ty7 0.91950
5aba 0.80425
5a7b 0.89281
4agn 0.88686
4agp 0.94290
4agq 0.95683
3bgz 0.96305
3jya 0.92617
2c3i 0.88185
4k18 0.80851
5dwr 0.95195
3mss 0.74232
3k5v 0.89688
3pyy 0.71873
2v7a 0.99810
4twp 0.95911
3wtj 0.81794
3zdg 0.93100
3u8k 0.98941
4qac 0.96532
3u8n 0.99536
1a30 0.13739
2qnq 0.97920
1g2k 0.99468
1eby 0.99514
3o9i 0.99506
4lzs 0.97124
3u5j 0.88839
4wiv 0.88223
4ogj 0.73265
3p5o 0.95534
1ps3 0.98709
3dx1 0.94413
3d4z 0.98962
3dx2 0.96725
3ejr 0.78375
3l7b 0.69975
4eky 0.93074
3g2n 0.94605
3syr 0.97031
3ebp 0.55211
2w66 0.96227
2w4x 0.93968
2wca 0.96992
2xj7 0.99230
2vvn 0.98873
3aru 0.93368
3arv 0.88653
3ary 0.91173
3arq 0.84410
3arp 0.87632
4ih5 0.35602
4ih7 0.91999
3cj4 0.86833
4eo8 0.94751
3gnw 0.99209
1gpk 0.87543
1gpn 0.74094
1h23 0.95800
1h22 0.98466
1e66 0.99183
3f3a 0.64009
3f3c 0.36974
4mme 0.92543
3f3d 0.97390
3f3e 0.95013
2wbg 0.99426
2cbv 0.54649
2j78 0.93016
2j7h 0.97730
2cet 0.75692
3udh 0.96865
3rsx 0.88536
4djv 0.97715
2vkm 0.51773
4gid 0.96067
4jfs 0.97668
4j28 0.93391
2wvt 0.96302
2xii 0.96472
4pcs 0.98090
3rr4 0.96219
1s38 0.99614
1r5y 0.99069
3gc5 0.99977
3ge7 0.99939
4dli 0.80307
2zb1 0.90164
4f9w 0.98386
3e92 0.97936
3e93 0.95229
4owm 0.79131
3twp 0.83973
3r88 0.81845
4gkm 0.86859
3qqs 0.83584
3gv9 0.65413
3gr2 0.44025
4kz6 0.64859
4jxs 0.80352
2r9w 0.76820
2hb1 0.64959
1bzc 0.82377
2qbr 0.61887
2qbq 0.55586
2qbp 0.73472
1q8t 0.78299
1ydr 0.91479
1q8u 0.88831
1ydt 0.97304
3ag9 0.68153
3fcq 0.14755
1z9g 0.83527
1qf1 0.98039
5tmn 0.32949
4tmn 0.21057
4ddk 0.90217
4ddh 0.92218
3ivg 0.96993
3coz 0.97772
3coy 0.98987
3pxf 0.48559
4eor 0.96077
2xnb 0.99613
1pxn 0.99386
2fvd 0.99749
4k77 0.84534
4e5w 0.96097
4ivb 0.99441
4ivd 0.98716
4ivc 0.99425
4f09 0.98985
4gfm 0.96137
4hge 0.95779
4e6q 0.96158
4jia 0.70697
2brb 0.82126
2br1 0.73380
3jvr 0.98750
3jvs 0.45058
1nvq 0.99434
3acw 0.74363
4ea2 0.69054
2zcr 0.42857
2zy1 0.92956
2zcq 0.25297
1bcu 0.87329
3bv9 0.69448
1oyt 0.91789
2zda 0.99104
3utu 0.98949
3u9q 0.96142
2yfe 0.95215
3fur 0.96417
3b1m 0.77730
2p4y 0.99402
3uo4 0.93711
3up2 0.98070
3e5a 0.68051
2wtv 0.93814
3myg 0.97338
3kgp 0.94052
1c5z 0.96234
1o5b 0.96922
1owh 0.85887
1sqa 0.86671
4jsz 0.22908
3kwa 0.09437
2weg 0.82313
3ryj 0.55388
3dd0 0.83974
2xdl 0.86260
3b27 0.92977
1yc1 0.89833
3rlr 0.90059
2yki 0.95739
1z95 0.88338
3b68 0.97102
3b5r 0.99408
3b65 0.99627
3g0w 0.97972
4u4s 0.73155
1p1q 0.79583
1syi 0.98374
1p1n 0.70195
2al5 0.98836
3g2z 0.30864
3g31 0.53734
4de2 0.78262
4de3 0.88661
4de1 0.80471
1vso 0.94589
4dld 0.83826
3gbb 0.98730
3fv2 0.92802
3fv1 0.96639
4mgd 0.99465
2qe4 0.94358
1qkt 0.95991
2pog 0.95890
2p15 0.99131
2y5h 0.96241
1lpg 0.85238
2xbv 0.96291
1z6e 0.99683
1mq6 0.99544
1nc3 0.99742
1nc1 0.91028
1y6r 0.99898
4f2w 0.99847
4f3c 0.99835
1uto 0.92617
4abg 0.96756
3gy4 0.93254
1k1i 0.91883
1o3f 0.95902
2yge 0.88967
2fxs 0.85035
2iwx 0.95050
2wer 0.90792
2vw5 0.97291
4kzq 0.87997
4kzu 0.85633
4j21 0.89187
4j3l 0.91028
3kr8 0.96126
2ymd 0.89288
2wnc 0.93806
2xys 0.95536
2wn9 0.81053
2x00 0.92351
3ozt 0.93820
3ozs 0.85613
3oe5 0.90277
3oe4 0.76272
3nw9 0.96356
3ao4 0.71182
3zt2 0.89297
3zsx 0.60096
4cig 0.92541
3zso 0.86348
3n7a 0.97155
4ciw 0.92547
3n86 0.98930
3n76 0.87370
2xb8 0.94020
4bkt 0.88895
4w9c 0.91447
4w9l 0.97090
4w9i 0.97046
4w9h 0.96533
3nq9 0.36583
3ueu 0.72118
3uev 0.89597
3uew 0.60296
3uex 0.83554
3lka 0.21499
3ehy 0.22720
3tsk 0.73793
3nx7 0.73308
4gr0 0.34919
3dxg 0.50557
3d6q 0.28258
1w4o 0.36673
1o0h 0.92659
1u1b 0.87904
