#code  score
4llx 0.95976
5c28 0.80726
3uuo 0.97483
3ui7 0.98204
5c2h 0.99256
2v00 0.95875
3wz8 0.97894
3pww 0.92193
3prs 0.98532
3uri 0.84899
4m0z 0.96700
4m0y 0.98993
3qgy 0.88167
4qd6 0.66985
4rfm 0.94683
4cr9 0.98652
4cra 0.98199
4x6p 0.98766
4crc 0.99059
4ty7 0.96471
5aba 0.95483
5a7b 0.94590
4agn 0.97066
4agp 0.96455
4agq 0.96183
3bgz 0.97636
3jya 0.89595
2c3i 0.88728
4k18 0.76200
5dwr 0.98704
3mss 0.56263
3k5v 0.93446
3pyy 0.97298
2v7a 0.99733
4twp 0.68768
3wtj 0.91931
3zdg 0.98775
3u8k 0.99240
4qac 0.90243
3u8n 0.99526
1a30 0.74025
2qnq 0.90171
1g2k 0.99677
1eby 0.98906
3o9i 0.99572
4lzs 0.95626
3u5j 0.97592
4wiv 0.94182
4ogj 0.95022
3p5o 0.99180
1ps3 0.99018
3dx1 0.99591
3d4z 0.99422
3dx2 0.99905
3ejr 0.98774
3l7b 0.89602
4eky 0.76818
3g2n 0.96984
3syr 0.98895
3ebp 0.51409
2w66 0.99359
2w4x 0.99284
2wca 0.53298
2xj7 0.99739
2vvn 0.99535
3aru 0.67789
3arv 0.90508
3ary 0.95150
3arq 0.87892
3arp 0.81806
4ih5 0.66057
4ih7 0.99062
3cj4 0.96702
4eo8 0.98673
3gnw 0.99266
1gpk 0.90986
1gpn 0.93056
1h23 0.99331
1h22 0.99299
1e66 0.99125
3f3a 0.91021
3f3c 0.97591
4mme 0.70327
3f3d 0.94975
3f3e 0.98513
2wbg 0.99708
2cbv 0.99065
2j78 0.99843
2j7h 0.99030
2cet 0.99846
3udh 0.82080
3rsx 0.99004
4djv 0.99626
2vkm 0.99559
4gid 0.99308
4jfs 0.98727
4j28 0.98310
2wvt 0.99410
2xii 0.99767
4pcs 0.99190
3rr4 0.97982
1s38 0.99177
1r5y 0.98878
3gc5 0.99546
3ge7 0.98748
4dli 0.75007
2zb1 0.98826
4f9w 0.99765
3e92 0.99439
3e93 0.97499
4owm 0.86262
3twp 0.13616
3r88 0.87642
4gkm 0.98661
3qqs 0.96789
3gv9 0.96394
3gr2 0.59012
4kz6 0.94470
4jxs 0.97932
2r9w 0.98490
2hb1 0.96145
1bzc 0.97395
2qbr 0.96054
2qbq 0.92135
2qbp 0.96939
1q8t 0.94017
1ydr 0.97380
1q8u 0.99349
1ydt 0.99571
3ag9 0.16062
3fcq 0.84963
1z9g 0.96491
1qf1 0.98187
5tmn 0.95606
4tmn 0.83383
4ddk 0.80457
4ddh 0.95341
3ivg 0.96417
3coz 0.98384
3coy 0.99540
3pxf 0.49151
4eor 0.99355
2xnb 0.99428
1pxn 0.97078
2fvd 0.99368
4k77 0.99327
4e5w 0.99523
4ivb 0.99807
4ivd 0.99251
4ivc 0.99844
4f09 0.99763
4gfm 0.98510
4hge 0.99112
4e6q 0.99143
4jia 0.90868
2brb 0.98320
2br1 0.98302
3jvr 0.98891
3jvs 0.94644
1nvq 0.99877
3acw 0.98480
4ea2 0.95707
2zcr 0.93340
2zy1 0.95229
2zcq 0.80747
1bcu 0.94472
3bv9 0.69733
1oyt 0.97944
2zda 0.99650
3utu 0.99715
3u9q 0.92336
2yfe 0.96166
3fur 0.98714
3b1m 0.80289
2p4y 0.95362
3uo4 0.99219
3up2 0.99593
3e5a 0.74830
2wtv 0.91854
3myg 0.87814
3kgp 0.98505
1c5z 0.98173
1o5b 0.97209
1owh 0.96583
1sqa 0.81598
4jsz 0.52041
3kwa 0.28247
2weg 0.92528
3ryj 0.99384
3dd0 0.89076
2xdl 0.96152
3b27 0.98618
1yc1 0.99175
3rlr 0.98701
2yki 0.99461
1z95 0.98558
3b68 0.98004
3b5r 0.98899
3b65 0.99666
3g0w 0.99465
4u4s 0.89625
1p1q 0.92946
1syi 0.99830
1p1n 0.85559
2al5 0.99364
3g2z 0.54664
3g31 0.64834
4de2 0.76347
4de3 0.94168
4de1 0.83705
1vso 0.99128
4dld 0.99352
3gbb 0.99670
3fv2 0.99070
3fv1 0.99443
4mgd 0.90456
2qe4 0.94770
1qkt 0.96280
2pog 0.41289
2p15 0.99539
2y5h 0.99406
1lpg 0.63743
2xbv 0.99742
1z6e 0.99888
1mq6 0.99899
1nc3 0.98780
1nc1 0.98180
1y6r 0.99601
4f2w 0.99259
4f3c 0.99100
1uto 0.97497
4abg 0.98385
3gy4 0.96700
1k1i 0.94069
1o3f 0.28742
2yge 0.98698
2fxs 0.97729
2iwx 0.97156
2wer 0.98277
2vw5 0.98178
4kzq 0.98268
4kzu 0.99121
4j21 0.99166
4j3l 0.98767
3kr8 0.99472
2ymd 0.90782
2wnc 0.96917
2xys 0.88059
2wn9 0.81603
2x00 0.99095
3ozt 0.99806
3ozs 0.99719
3oe5 0.99811
3oe4 0.99719
3nw9 0.99425
3ao4 0.97706
3zt2 0.98318
3zsx 0.97887
4cig 0.98134
3zso 0.93528
3n7a 0.98669
4ciw 0.96841
3n86 0.98739
3n76 0.99289
2xb8 0.99227
4bkt 0.99508
4w9c 0.98892
4w9l 0.99191
4w9i 0.99023
4w9h 0.97143
3nq9 0.44164
3ueu 0.26409
3uev 0.25916
3uew 0.60029
3uex 0.52080
3lka 0.89206
3ehy 0.21879
3tsk 0.55784
3nx7 0.67854
4gr0 0.53839
3dxg 0.87638
3d6q 0.74130
1w4o 0.95852
1o0h 0.83012
1u1b 0.97663
