#code  score
4llx 3.74951
5c28 5.35664
3uuo 7.26863
3ui7 7.37415
5c2h 7.29736
2v00 4.06800
3wz8 5.43099
3pww 7.78263
3prs 8.00223
3uri 5.97331
4m0z 6.40633
4m0y 6.05081
3qgy 5.85225
4qd6 6.22299
4rfm 9.32474
4cr9 3.14068
4cra 7.51125
4x6p 8.48567
4crc 8.47271
4ty7 7.95429
5aba 2.85096
5a7b 4.80986
4agn 3.34330
4agp 4.61824
4agq 4.17253
3bgz 6.11650
3jya 7.30508
2c3i 7.32622
4k18 7.87258
5dwr 8.36879
3mss 5.13823
3k5v 6.15959
3pyy 6.06770
2v7a 7.46749
4twp 7.91583
3wtj 7.97701
3zdg 5.84771
3u8k 8.19090
4qac 8.89413
3u8n 8.90002
1a30 6.11237
2qnq 4.47625
1g2k 9.15556
1eby 8.85711
3o9i 11.19756
4lzs 4.57448
3u5j 5.47497
4wiv 5.00588
4ogj 6.39932
3p5o 6.24054
1ps3 5.51644
3dx1 5.22930
3d4z 6.85562
3dx2 5.62968
3ejr 7.94867
3l7b 3.98851
4eky 5.76510
3g2n 5.43059
3syr 5.70782
3ebp 6.93855
2w66 5.34871
2w4x 4.72403
2wca 5.97220
2xj7 5.65715
2vvn 5.53448
3aru 3.96560
3arv 4.46753
3ary 4.12206
3arq 6.13132
3arp 7.39780
4ih5 2.97242
4ih7 5.53282
3cj4 5.86521
4eo8 7.26784
3gnw 7.42768
1gpk 7.30573
1gpn 6.87192
1h23 8.87822
1h22 8.89534
1e66 7.71513
3f3a 5.30324
3f3c 6.05055
4mme 6.09007
3f3d 6.30117
3f3e 6.14233
2wbg 6.49034
2cbv 5.67892
2j78 5.50288
2j7h 5.66973
2cet 8.75552
3udh 4.16677
3rsx 4.48247
4djv 6.03524
2vkm 8.52413
4gid 8.40278
4jfs 6.21769
4j28 6.61467
2wvt 5.36800
2xii 7.65076
4pcs 6.07458
3rr4 6.50112
1s38 5.67067
1r5y 5.65183
3gc5 7.70431
3ge7 7.53142
4dli 6.67428
2zb1 7.04852
4f9w 6.39028
3e92 7.35472
3e93 7.97357
4owm 2.85101
3twp 2.96180
3r88 1.85729
4gkm 3.77075
3qqs 3.64827
3gv9 2.50943
3gr2 2.35700
4kz6 4.53072
4jxs 3.79349
2r9w 4.54101
2hb1 3.91181
1bzc 6.12804
2qbr 6.61526
2qbq 6.34981
2qbp 6.69982
1q8t 5.83349
1ydr 6.16353
1q8u 6.06990
1ydt 7.68689
3ag9 5.37598
3fcq 1.92323
1z9g 5.12560
1qf1 7.95878
5tmn 5.37232
4tmn 5.68999
4ddk 2.26359
4ddh 3.69319
3ivg 5.55857
3coz 6.15191
3coy 6.56942
3pxf 4.97000
4eor 7.62151
2xnb 8.32778
1pxn 7.18098
2fvd 8.62583
4k77 5.86958
4e5w 7.82091
4ivb 9.27501
4ivd 9.23841
4ivc 9.53677
4f09 7.60528
4gfm 4.93857
4hge 6.59099
4e6q 7.01056
4jia 6.34894
2brb 7.03570
2br1 7.44889
3jvr 4.41689
3jvs 4.64188
1nvq 7.68015
3acw 5.28923
4ea2 7.14258
2zcr 5.57520
2zy1 5.50281
2zcq 4.20232
1bcu 2.95076
3bv9 6.70510
1oyt 6.52668
2zda 6.83692
3utu 8.94363
3u9q 5.53220
2yfe 5.88511
3fur 7.90298
3b1m 7.34851
2p4y 7.17537
3uo4 7.36546
3up2 7.38566
3e5a 8.30728
2wtv 7.77274
3myg 6.05663
3kgp 3.42148
1c5z 4.31559
1o5b 4.36337
1owh 6.65478
1sqa 6.99339
4jsz 2.20796
3kwa 4.10964
2weg 5.21819
3ryj 7.04524
3dd0 7.48387
2xdl 5.66489
3b27 5.46008
1yc1 7.01582
3rlr 8.47007
2yki 9.00479
1z95 8.08666
3b68 7.99546
3b5r 8.49672
3b65 8.12733
3g0w 8.29707
4u4s 3.71227
1p1q 5.92568
1syi 6.48263
1p1n 6.71963
2al5 6.70915
3g2z 2.17177
3g31 4.43647
4de2 5.58237
4de3 4.58916
4de1 4.99334
1vso 4.40468
4dld 5.14464
3gbb 6.83075
3fv2 6.88280
3fv1 7.12343
4mgd 7.58742
2qe4 7.07361
1qkt 8.32831
2pog 8.16541
2p15 8.81738
2y5h 6.14188
1lpg 8.21685
2xbv 7.34870
1z6e 9.25102
1mq6 9.20821
1nc3 6.39468
1nc1 6.41779
1y6r 9.75095
4f2w 10.10208
4f3c 10.58126
1uto 3.23943
4abg 5.05377
3gy4 4.30121
1k1i 6.65234
1o3f 5.62686
2yge 6.66591
2fxs 6.02167
2iwx 6.93482
2wer 6.40790
2vw5 6.73169
4kzq 5.22071
4kzu 5.43963
4j21 5.72758
4j3l 6.23678
3kr8 7.05321
2ymd 6.09496
2wnc 6.20430
2xys 8.04734
2wn9 5.93146
2x00 9.90708
3ozt 6.26235
3ozs 6.44773
3oe5 6.09274
3oe4 5.82846
3nw9 8.23573
3ao4 3.36126
3zt2 3.87425
3zsx 3.12069
4cig 3.48570
3zso 3.65249
3n7a 4.40927
4ciw 4.99284
3n86 6.92483
3n76 6.77203
2xb8 6.37473
4bkt 4.59980
4w9c 6.60090
4w9l 6.80571
4w9i 6.34242
4w9h 6.64115
3nq9 4.53768
3ueu 5.26825
3uev 5.78078
3uew 6.00002
3uex 6.16709
3lka 3.13564
3ehy 3.97685
3tsk 7.78374
3nx7 4.76436
4gr0 7.76452
3dxg 2.49232
3d6q 2.63592
1w4o 4.15981
1o0h 3.61510
1u1b 4.40290
