#code  score
4llx 0.83366
5c28 0.51391
3uuo 0.83697
3ui7 0.91831
5c2h 0.96177
2v00 0.75312
3wz8 0.86788
3pww 0.93560
3prs 0.95584
3uri 0.95302
4m0z 0.97811
4m0y 0.95982
3qgy 0.84819
4qd6 0.35056
4rfm 0.93758
4cr9 0.90889
4cra 0.97023
4x6p 0.93986
4crc 0.94965
4ty7 0.94214
5aba 0.75272
5a7b 0.83688
4agn 0.77680
4agp 0.91602
4agq 0.94248
3bgz 0.96582
3jya 0.84143
2c3i 0.89769
4k18 0.63783
5dwr 0.91812
3mss 0.76892
3k5v 0.89291
3pyy 0.82228
2v7a 0.99808
4twp 0.74432
3wtj 0.84871
3zdg 0.95338
3u8k 0.97628
4qac 0.96678
3u8n 0.99095
1a30 0.07948
2qnq 0.46496
1g2k 0.99289
1eby 0.99442
3o9i 0.99235
4lzs 0.97634
3u5j 0.95835
4wiv 0.89368
4ogj 0.78650
3p5o 0.94737
1ps3 0.95570
3dx1 0.94441
3d4z 0.91232
3dx2 0.96973
3ejr 0.87394
3l7b 0.73491
4eky 0.39267
3g2n 0.95924
3syr 0.98027
3ebp 0.38451
2w66 0.92215
2w4x 0.92472
2wca 0.96564
2xj7 0.98844
2vvn 0.96796
3aru 0.93512
3arv 0.93909
3ary 0.90661
3arq 0.61128
3arp 0.90387
4ih5 0.41429
4ih7 0.94717
3cj4 0.95934
4eo8 0.95161
3gnw 0.98830
1gpk 0.90230
1gpn 0.76569
1h23 0.97488
1h22 0.98309
1e66 0.99083
3f3a 0.72430
3f3c 0.87378
4mme 0.55754
3f3d 0.97359
3f3e 0.97318
2wbg 0.98120
2cbv 0.36400
2j78 0.93443
2j7h 0.98171
2cet 0.90591
3udh 0.97052
3rsx 0.90701
4djv 0.98505
2vkm 0.57306
4gid 0.93581
4jfs 0.95742
4j28 0.96897
2wvt 0.97256
2xii 0.98575
4pcs 0.99176
3rr4 0.97499
1s38 0.99661
1r5y 0.99265
3gc5 0.99951
3ge7 0.99807
4dli 0.72373
2zb1 0.82826
4f9w 0.98296
3e92 0.96456
3e93 0.94475
4owm 0.89557
3twp 0.78055
3r88 0.91960
4gkm 0.86192
3qqs 0.97093
3gv9 0.70955
3gr2 0.33364
4kz6 0.77006
4jxs 0.91239
2r9w 0.69545
2hb1 0.92416
1bzc 0.81318
2qbr 0.89902
2qbq 0.87719
2qbp 0.90866
1q8t 0.64490
1ydr 0.66315
1q8u 0.83239
1ydt 0.96274
3ag9 0.83922
3fcq 0.23460
1z9g 0.82733
1qf1 0.99497
5tmn 0.92969
4tmn 0.80388
4ddk 0.91973
4ddh 0.91868
3ivg 0.80232
3coz 0.98548
3coy 0.99424
3pxf 0.54818
4eor 0.96698
2xnb 0.96647
1pxn 0.97957
2fvd 0.99709
4k77 0.84878
4e5w 0.95933
4ivb 0.99340
4ivd 0.97826
4ivc 0.99607
4f09 0.98564
4gfm 0.97122
4hge 0.96227
4e6q 0.97149
4jia 0.78088
2brb 0.83290
2br1 0.72243
3jvr 0.97649
3jvs 0.60280
1nvq 0.99624
3acw 0.83152
4ea2 0.71064
2zcr 0.62339
2zy1 0.90210
2zcq 0.83916
1bcu 0.85409
3bv9 0.73744
1oyt 0.94342
2zda 0.99350
3utu 0.99104
3u9q 0.97394
2yfe 0.94287
3fur 0.95356
3b1m 0.69742
2p4y 0.98405
3uo4 0.80423
3up2 0.96637
3e5a 0.55318
2wtv 0.97756
3myg 0.96214
3kgp 0.68304
1c5z 0.94510
1o5b 0.93209
1owh 0.88280
1sqa 0.84049
4jsz 0.32220
3kwa 0.12346
2weg 0.91568
3ryj 0.93907
3dd0 0.93947
2xdl 0.89683
3b27 0.90369
1yc1 0.95822
3rlr 0.89894
2yki 0.98858
1z95 0.93928
3b68 0.94247
3b5r 0.98916
3b65 0.99334
3g0w 0.99075
4u4s 0.67071
1p1q 0.32617
1syi 0.98376
1p1n 0.81502
2al5 0.99053
3g2z 0.37381
3g31 0.54890
4de2 0.86374
4de3 0.88177
4de1 0.80514
1vso 0.92569
4dld 0.77434
3gbb 0.98897
3fv2 0.96657
3fv1 0.98717
4mgd 0.98580
2qe4 0.93318
1qkt 0.91425
2pog 0.94947
2p15 0.99176
2y5h 0.94786
1lpg 0.62229
2xbv 0.98012
1z6e 0.99802
1mq6 0.99534
1nc3 0.99574
1nc1 0.70511
1y6r 0.99779
4f2w 0.99822
4f3c 0.99723
1uto 0.83768
4abg 0.95058
3gy4 0.94854
1k1i 0.92288
1o3f 0.93719
2yge 0.88476
2fxs 0.74044
2iwx 0.94063
2wer 0.74506
2vw5 0.97309
4kzq 0.85603
4kzu 0.84171
4j21 0.94948
4j3l 0.92487
3kr8 0.95131
2ymd 0.66900
2wnc 0.86048
2xys 0.89229
2wn9 0.91539
2x00 0.96443
3ozt 0.98960
3ozs 0.95256
3oe5 0.98352
3oe4 0.93562
3nw9 0.93885
3ao4 0.66168
3zt2 0.93074
3zsx 0.75142
4cig 0.93927
3zso 0.91033
3n7a 0.98146
4ciw 0.94440
3n86 0.99408
3n76 0.97506
2xb8 0.96707
4bkt 0.87587
4w9c 0.87933
4w9l 0.94372
4w9i 0.93585
4w9h 0.88009
3nq9 0.46628
3ueu 0.68328
3uev 0.87997
3uew 0.76821
3uex 0.84245
3lka 0.40530
3ehy 0.50460
3tsk 0.73264
3nx7 0.86418
4gr0 0.84391
3dxg 0.49522
3d6q 0.51552
1w4o 0.78091
1o0h 0.94649
1u1b 0.87862
