#code  score
4llx -5.27993
5c28 -6.14659
3uuo -8.37494
3ui7 -8.78987
5c2h -10.35973
2v00 -8.19110
3wz8 -9.43694
3pww -11.73916
3prs -9.79108
3uri -8.28427
4m0z -11.01255
4m0y -7.73613
3qgy -9.64947
4qd6 -8.34094
4rfm -11.66817
4cr9 -6.85299
4cra -10.52110
4x6p -11.34005
4crc -10.38811
4ty7 -10.36456
5aba -5.68454
5a7b -7.04166
4agn -6.80915
4agp -6.89816
4agq -6.80543
3bgz -10.89446
3jya -7.83730
2c3i -8.70968
4k18 -10.58047
5dwr -11.33041
3mss -6.90859
3k5v -8.85915
3pyy -9.12797
2v7a -10.08699
4twp -9.68307
3wtj -6.61234
3zdg -5.71430
3u8k -7.16596
4qac -11.83322
3u8n -7.63001
1a30 -7.09540
2qnq -10.27633
1g2k -12.35087
1eby -13.16898
3o9i -10.34035
4lzs -6.11847
3u5j -8.96172
4wiv -8.07598
4ogj -6.70126
3p5o -9.01470
1ps3 -9.12519
3dx1 -7.54827
3d4z -7.80888
3dx2 -7.63946
3ejr -9.78557
3l7b -10.35482
4eky -10.94905
3g2n -10.05171
3syr -11.03075
3ebp -10.69035
2w66 -8.85513
2w4x -8.09523
2wca -7.76162
2xj7 -9.60552
2vvn -7.87918
3aru -6.16829
3arv -10.78768
3ary -6.89272
3arq -11.35455
3arp -10.29727
4ih5 -6.39472
4ih7 -7.52255
3cj4 -7.60778
4eo8 -7.81943
3gnw -12.98980
1gpk -10.79993
1gpn -10.45543
1h23 -10.61984
1h22 -10.22011
1e66 -12.77406
3f3a -7.80299
3f3c -8.13732
4mme -10.55128
3f3d -5.78226
3f3e -6.72265
2wbg -8.61491
2cbv -8.02835
2j78 -8.05986
2j7h -6.60815
2cet -9.60698
3udh -7.59145
3rsx -7.94881
4djv -10.43979
2vkm -11.66689
4gid -12.12630
4jfs -7.41947
4j28 -7.43033
2wvt -7.09765
2xii -11.04993
4pcs -7.75122
3rr4 -8.58593
1s38 -8.31715
1r5y -7.86309
3gc5 -10.25555
3ge7 -10.85229
4dli -10.29151
2zb1 -11.14099
4f9w -10.51299
3e92 -12.74746
3e93 -14.28957
4owm -5.22183
3twp -4.88945
3r88 -5.85801
4gkm -8.78093
3qqs -8.79045
3gv9 -4.99175
3gr2 -4.87236
4kz6 -5.65762
4jxs -7.50262
2r9w -8.58163
2hb1 -6.41226
1bzc -9.57629
2qbr -7.89027
2qbq -8.46696
2qbp -9.34420
1q8t -8.06013
1ydr -8.18510
1q8u -8.78930
1ydt -8.69864
3ag9 -6.86066
3fcq -6.04354
1z9g -6.03931
1qf1 -8.09583
5tmn -8.31776
4tmn -9.24193
4ddk -6.39132
4ddh -6.83038
3ivg -9.66017
3coz -10.92348
3coy -11.36496
3pxf -6.63124
4eor -9.51707
2xnb -10.49005
1pxn -9.55422
2fvd -8.90513
4k77 -7.83776
4e5w -10.55405
4ivb -9.73246
4ivd -9.14710
4ivc -9.76336
4f09 -8.37927
4gfm -7.40736
4hge -9.30481
4e6q -9.57351
4jia -9.43164
2brb -7.88154
2br1 -7.77394
3jvr -7.91242
3jvs -7.99389
1nvq -14.02220
3acw -10.84012
4ea2 -7.84122
2zcr -10.21669
2zy1 -9.10293
2zcq -8.84269
1bcu -7.67784
3bv9 -8.77754
1oyt -11.21583
2zda -10.37786
3utu -10.28025
3u9q -5.45966
2yfe -7.88177
3fur -11.67915
3b1m -11.49860
2p4y -11.64679
3uo4 -9.84920
3up2 -9.41612
3e5a -9.71098
2wtv -11.40412
3myg -7.73340
3kgp -5.68331
1c5z -5.92296
1o5b -6.67442
1owh -8.36312
1sqa -9.30755
4jsz -4.32618
3kwa -3.78667
2weg -6.24675
3ryj -7.44153
3dd0 -6.46493
2xdl -6.68292
3b27 -7.28551
1yc1 -10.56168
3rlr -9.12048
2yki -15.74537
1z95 -10.71144
3b68 -11.84146
3b5r -11.42501
3b65 -10.36349
3g0w -10.58527
4u4s -5.99949
1p1q -7.15941
1syi -9.31589
1p1n -8.40415
2al5 -9.14132
3g2z -5.44586
3g31 -4.53436
4de2 -8.37243
4de3 -8.46318
4de1 -9.09654
1vso -7.24757
4dld -8.49428
3gbb -9.43750
3fv2 -10.88765
3fv1 -10.70631
4mgd -9.13648
2qe4 -10.41298
1qkt -11.25569
2pog -10.79211
2p15 -14.96511
2y5h -8.34312
1lpg -9.94963
2xbv -11.48206
1z6e -11.31595
1mq6 -9.64924
1nc3 -10.55466
1nc1 -9.10828
1y6r -10.58069
4f2w -9.67175
4f3c -9.95641
1uto -4.55841
4abg -5.84817
3gy4 -6.63650
1k1i -8.81507
1o3f -9.01431
2yge -9.95444
2fxs -6.98449
2iwx -9.56538
2wer -9.58248
2vw5 -10.84539
4kzq -11.46557
4kzu -11.61455
4j21 -12.17652
4j3l -11.34442
3kr8 -12.04392
2ymd -7.86838
2wnc -7.96696
2xys -11.46489
2wn9 -7.30198
2x00 -13.92072
3ozt -11.69286
3ozs -11.41712
3oe5 -11.01070
3oe4 -11.57315
3nw9 -13.13714
3ao4 -7.69532
3zt2 -9.77627
3zsx -7.62788
4cig -7.91395
3zso -8.48753
3n7a -8.20255
4ciw -9.09869
3n86 -12.68089
3n76 -12.06412
2xb8 -11.78389
4bkt -6.81139
4w9c -8.08368
4w9l -9.09526
4w9i -9.05949
4w9h -8.88835
3nq9 -4.25689
3ueu -5.87789
3uev -6.32936
3uew -6.51360
3uex -7.04693
3lka -6.59132
3ehy -7.44822
3tsk -9.92498
3nx7 -7.00063
4gr0 -11.79881
3dxg -4.95673
3d6q -5.52990
1w4o -6.89696
1o0h -7.61219
1u1b -8.74332
