#code  score
4llx 5.02241
5c28 5.43684
3uuo 6.72254
3ui7 6.81076
5c2h 7.67914
2v00 5.87422
3wz8 7.37217
3pww 8.79228
3prs 9.04743
3uri 9.37058
4m0z 7.39878
4m0y 6.33602
3qgy 7.59290
4qd6 6.98907
4rfm 7.74172
4cr9 5.59987
4cra 7.18757
4x6p 7.99361
4crc 7.67266
4ty7 7.39159
5aba 5.23976
5a7b 6.17026
4agn 5.83591
4agp 6.28920
4agq 6.41921
3bgz 7.08855
3jya 6.84460
2c3i 6.97532
4k18 7.65106
5dwr 8.80392
3mss 4.93883
3k5v 6.56681
3pyy 6.62737
2v7a 7.84564
4twp 7.69334
3wtj 6.74880
3zdg 5.85299
3u8k 6.73585
4qac 7.62949
3u8n 7.22419
1a30 5.72020
2qnq 9.09029
1g2k 8.81779
1eby 8.49789
3o9i 8.75508
4lzs 5.29617
3u5j 6.30319
4wiv 6.19277
4ogj 7.41314
3p5o 7.17848
1ps3 5.50808
3dx1 4.95607
3d4z 5.43972
3dx2 5.72862
3ejr 6.58056
3l7b 5.23515
4eky 6.53021
3g2n 5.69713
3syr 6.06794
3ebp 5.86501
2w66 5.82305
2w4x 5.03370
2wca 5.69952
2xj7 6.02977
2vvn 6.09931
3aru 5.15434
3arv 5.52974
3ary 4.82385
3arq 5.89492
3arp 6.24493
4ih5 5.22776
4ih7 6.00159
3cj4 6.02202
4eo8 6.62197
3gnw 8.33357
1gpk 6.48519
1gpn 6.38323
1h23 7.76372
1h22 7.44200
1e66 7.38885
3f3a 5.73221
3f3c 5.92290
4mme 6.84130
3f3d 5.58294
3f3e 5.44303
2wbg 6.39096
2cbv 5.36818
2j78 5.56537
2j7h 5.29146
2cet 6.99482
3udh 5.71044
3rsx 5.44231
4djv 7.35496
2vkm 8.78422
4gid 9.26968
4jfs 5.66272
4j28 5.70837
2wvt 5.37041
2xii 6.73427
4pcs 5.86229
3rr4 6.66736
1s38 6.50732
1r5y 6.50318
3gc5 8.19116
3ge7 8.33837
4dli 6.20229
2zb1 7.07432
4f9w 7.39209
3e92 7.41831
3e93 7.96048
4owm 3.95918
3twp 3.58040
3r88 4.56260
4gkm 5.67222
3qqs 5.57501
3gv9 4.36416
3gr2 4.01657
4kz6 4.86315
4jxs 5.59214
2r9w 5.60818
2hb1 4.86537
1bzc 5.38275
2qbr 6.24107
2qbq 6.39605
2qbp 6.43821
1q8t 6.24747
1ydr 6.85202
1q8u 7.05544
1ydt 7.94026
3ag9 6.74174
3fcq 4.44166
1z9g 5.44751
1qf1 6.99496
5tmn 6.41535
4tmn 6.92326
4ddk 4.34425
4ddh 5.17840
3ivg 6.81960
3coz 7.01232
3coy 7.26392
3pxf 5.63963
4eor 7.75120
2xnb 8.09874
1pxn 7.80668
2fvd 8.07805
4k77 6.82560
4e5w 7.87800
4ivb 7.76118
4ivd 7.92684
4ivc 8.00953
4f09 7.17416
4gfm 6.59782
4hge 7.67232
4e6q 7.32002
4jia 7.08916
2brb 6.61966
2br1 6.96926
3jvr 6.02594
3jvs 5.73946
1nvq 8.44554
3acw 6.39920
4ea2 6.94759
2zcr 6.20212
2zy1 6.50867
2zcq 5.86337
1bcu 5.46583
3bv9 8.03487
1oyt 7.00149
2zda 7.35173
3utu 8.80087
3u9q 5.11173
2yfe 6.25873
3fur 8.57968
3b1m 7.33551
2p4y 8.83362
3uo4 7.57624
3up2 7.57639
3e5a 8.12200
2wtv 8.50276
3myg 7.46187
3kgp 5.08730
1c5z 5.18391
1o5b 6.18966
1owh 5.73087
1sqa 6.77223
4jsz 3.53484
3kwa 4.23559
2weg 5.63310
3ryj 5.80143
3dd0 6.30237
2xdl 5.61730
3b27 6.22971
1yc1 7.28608
3rlr 7.62400
2yki 8.50459
1z95 7.67335
3b68 7.57235
3b5r 8.12059
3b65 7.66070
3g0w 7.91152
4u4s 5.71081
1p1q 6.08095
1syi 6.75977
1p1n 5.92843
2al5 6.70371
3g2z 4.37428
3g31 4.35385
4de2 5.63484
4de3 5.72600
4de1 5.73404
1vso 5.62770
4dld 6.64368
3gbb 6.25383
3fv2 6.27688
3fv1 6.81118
4mgd 7.21833
2qe4 7.04612
1qkt 6.86212
2pog 6.95545
2p15 8.80037
2y5h 7.34749
1lpg 7.38236
2xbv 7.72580
1z6e 8.04242
1mq6 8.01436
1nc3 6.81442
1nc1 7.04882
1y6r 7.68494
4f2w 7.76494
4f3c 8.07793
1uto 4.75947
4abg 5.37238
3gy4 5.17318
1k1i 7.47234
1o3f 6.37510
2yge 7.34085
2fxs 5.83177
2iwx 6.52677
2wer 6.38096
2vw5 7.52161
4kzq 6.17410
4kzu 6.39171
4j21 6.90328
4j3l 7.07943
3kr8 6.97009
2ymd 5.73612
2wnc 6.12294
2xys 6.94153
2wn9 6.18313
2x00 8.03075
3ozt 6.38753
3ozs 6.47972
3oe5 6.51018
3oe4 6.42845
3nw9 6.94742
3ao4 5.51191
3zt2 5.79558
3zsx 6.17437
4cig 6.58004
3zso 7.25854
3n7a 4.63730
4ciw 5.18237
3n86 6.47031
3n76 6.24466
2xb8 6.13736
4bkt 5.14814
4w9c 6.24774
4w9l 7.17506
4w9i 6.62397
4w9h 6.69211
3nq9 4.47621
3ueu 5.71161
3uev 6.07543
3uew 6.21695
3uex 6.42246
3lka 4.85189
3ehy 5.10851
3tsk 7.30885
3nx7 5.52195
4gr0 7.86225
3dxg 4.38959
3d6q 4.84436
1w4o 4.66260
1o0h 5.05015
1u1b 6.25165
