#code  score
4llx 0.92965
5c28 0.85915
3uuo 0.96145
3ui7 0.92288
5c2h 0.97542
2v00 0.80822
3wz8 0.87164
3pww 0.97647
3prs 0.96697
3uri 0.99384
4m0z 0.95974
4m0y 0.93633
3qgy 0.90565
4qd6 0.77689
4rfm 0.96534
4cr9 0.96515
4cra 0.93583
4x6p 0.93273
4crc 0.93779
4ty7 0.84906
5aba 0.73855
5a7b 0.87185
4agn 0.91180
4agp 0.92587
4agq 0.92841
3bgz 0.94980
3jya 0.86207
2c3i 0.88642
4k18 0.90733
5dwr 0.98245
3mss 0.83435
3k5v 0.90779
3pyy 0.96312
2v7a 0.99535
4twp 0.92954
3wtj 0.94040
3zdg 0.98279
3u8k 0.98920
4qac 0.97272
3u8n 0.99427
1a30 0.43007
2qnq 0.92609
1g2k 0.99314
1eby 0.99186
3o9i 0.97878
4lzs 0.92947
3u5j 0.92739
4wiv 0.77247
4ogj 0.73509
3p5o 0.97024
1ps3 0.97336
3dx1 0.97657
3d4z 0.96906
3dx2 0.99139
3ejr 0.97704
3l7b 0.36394
4eky 0.85680
3g2n 0.89840
3syr 0.90577
3ebp 0.55811
2w66 0.98339
2w4x 0.94915
2wca 0.93974
2xj7 0.98471
2vvn 0.98240
3aru 0.91647
3arv 0.82617
3ary 0.82263
3arq 0.75784
3arp 0.82265
4ih5 0.33778
4ih7 0.92600
3cj4 0.88224
4eo8 0.86280
3gnw 0.98371
1gpk 0.90845
1gpn 0.78119
1h23 0.91427
1h22 0.91995
1e66 0.95668
3f3a 0.80799
3f3c 0.93811
4mme 0.95224
3f3d 0.96646
3f3e 0.95088
2wbg 0.99273
2cbv 0.93190
2j78 0.96804
2j7h 0.97342
2cet 0.98309
3udh 0.98461
3rsx 0.82474
4djv 0.98587
2vkm 0.97837
4gid 0.99728
4jfs 0.96543
4j28 0.96792
2wvt 0.99004
2xii 0.99591
4pcs 0.99011
3rr4 0.98266
1s38 0.98842
1r5y 0.98931
3gc5 0.99958
3ge7 0.99911
4dli 0.73475
2zb1 0.88139
4f9w 0.97617
3e92 0.96083
3e93 0.97591
4owm 0.90595
3twp 0.86458
3r88 0.95260
4gkm 0.95770
3qqs 0.94901
3gv9 0.61379
3gr2 0.43154
4kz6 0.86523
4jxs 0.81159
2r9w 0.76073
2hb1 0.87266
1bzc 0.90660
2qbr 0.87818
2qbq 0.79783
2qbp 0.84586
1q8t 0.78498
1ydr 0.94885
1q8u 0.93129
1ydt 0.97977
3ag9 0.87970
3fcq 0.49275
1z9g 0.84929
1qf1 0.96959
5tmn 0.85120
4tmn 0.77849
4ddk 0.86480
4ddh 0.83573
3ivg 0.89017
3coz 0.94836
3coy 0.97311
3pxf 0.54403
4eor 0.97705
2xnb 0.99564
1pxn 0.99467
2fvd 0.99546
4k77 0.97455
4e5w 0.98648
4ivb 0.99500
4ivd 0.99353
4ivc 0.99658
4f09 0.99107
4gfm 0.94580
4hge 0.97263
4e6q 0.97278
4jia 0.86489
2brb 0.79964
2br1 0.77090
3jvr 0.96914
3jvs 0.68543
1nvq 0.99604
3acw 0.86198
4ea2 0.78142
2zcr 0.67436
2zy1 0.86133
2zcq 0.61996
1bcu 0.92669
3bv9 0.72637
1oyt 0.93757
2zda 0.99420
3utu 0.99270
3u9q 0.81332
2yfe 0.73529
3fur 0.92351
3b1m 0.73908
2p4y 0.98824
3uo4 0.97025
3up2 0.98407
3e5a 0.95280
2wtv 0.99130
3myg 0.98859
3kgp 0.97280
1c5z 0.97036
1o5b 0.97130
1owh 0.85838
1sqa 0.90426
4jsz 0.58044
3kwa 0.17997
2weg 0.95830
3ryj 0.93734
3dd0 0.97886
2xdl 0.80725
3b27 0.89322
1yc1 0.98398
3rlr 0.95116
2yki 0.98775
1z95 0.90469
3b68 0.94039
3b5r 0.98196
3b65 0.98057
3g0w 0.99396
4u4s 0.85928
1p1q 0.91222
1syi 0.95272
1p1n 0.87993
2al5 0.98148
3g2z 0.44457
3g31 0.78762
4de2 0.81209
4de3 0.82206
4de1 0.76308
1vso 0.92360
4dld 0.89348
3gbb 0.97842
3fv2 0.96640
3fv1 0.98242
4mgd 0.97131
2qe4 0.92862
1qkt 0.95198
2pog 0.93451
2p15 0.98172
2y5h 0.97052
1lpg 0.96883
2xbv 0.97053
1z6e 0.98856
1mq6 0.98797
1nc3 0.98090
1nc1 0.97930
1y6r 0.99674
4f2w 0.99453
4f3c 0.99519
1uto 0.93825
4abg 0.97069
3gy4 0.96988
1k1i 0.95625
1o3f 0.95063
2yge 0.82945
2fxs 0.75111
2iwx 0.87292
2wer 0.83780
2vw5 0.85660
4kzq 0.90069
4kzu 0.87645
4j21 0.95271
4j3l 0.96731
3kr8 0.97303
2ymd 0.87000
2wnc 0.92469
2xys 0.96519
2wn9 0.87968
2x00 0.97169
3ozt 0.98442
3ozs 0.97750
3oe5 0.97156
3oe4 0.94178
3nw9 0.94839
3ao4 0.94022
3zt2 0.90244
3zsx 0.62458
4cig 0.85246
3zso 0.77942
3n7a 0.87594
4ciw 0.90327
3n86 0.97445
3n76 0.92381
2xb8 0.94933
4bkt 0.93793
4w9c 0.91022
4w9l 0.96340
4w9i 0.96725
4w9h 0.93458
3nq9 0.72291
3ueu 0.78215
3uev 0.82150
3uew 0.73427
3uex 0.82411
3lka 0.83302
3ehy 0.69696
3tsk 0.87565
3nx7 0.90367
4gr0 0.96081
3dxg 0.69835
3d6q 0.71419
1w4o 0.81758
1o0h 0.92942
1u1b 0.90446
