#code  score
4llx 3.82884
5c28 5.35935
3uuo 7.30690
3ui7 7.55570
5c2h 7.25101
2v00 4.23100
3wz8 5.32489
3pww 7.43320
3prs 7.52633
3uri 6.14800
4m0z 6.36920
4m0y 6.12530
3qgy 5.83894
4qd6 6.78551
4rfm 9.13619
4cr9 3.25749
4cra 7.43898
4x6p 8.25549
4crc 8.24237
4ty7 7.77631
5aba 3.36697
5a7b 5.02096
4agn 3.83612
4agp 4.70725
4agq 4.34715
3bgz 6.01826
3jya 7.45773
2c3i 7.24585
4k18 7.72610
5dwr 8.26416
3mss 5.27828
3k5v 6.09264
3pyy 6.03093
2v7a 7.36668
4twp 7.83280
3wtj 8.03923
3zdg 5.98585
3u8k 8.34395
4qac 8.85729
3u8n 9.05837
1a30 6.16656
2qnq 4.25986
1g2k 9.20042
1eby 8.73275
3o9i 11.08743
4lzs 4.33329
3u5j 5.44806
4wiv 5.11614
4ogj 6.62334
3p5o 6.31572
1ps3 5.38712
3dx1 5.10800
3d4z 6.39809
3dx2 5.57410
3ejr 7.63714
3l7b 4.14680
4eky 6.13993
3g2n 5.39410
3syr 5.76410
3ebp 6.95741
2w66 5.20527
2w4x 4.79511
2wca 5.78547
2xj7 5.36775
2vvn 5.34148
3aru 3.93488
3arv 4.40872
3ary 4.48342
3arq 5.59190
3arp 7.85152
4ih5 3.57997
4ih7 5.56126
3cj4 5.86359
4eo8 7.25284
3gnw 7.37759
1gpk 7.30861
1gpn 6.84170
1h23 8.72779
1h22 8.80011
1e66 7.47271
3f3a 5.27926
3f3c 6.08311
4mme 6.23521
3f3d 6.26463
3f3e 6.07510
2wbg 6.44603
2cbv 5.70874
2j78 5.50347
2j7h 5.57272
2cet 8.79234
3udh 4.15221
3rsx 4.38866
4djv 5.98298
2vkm 8.39446
4gid 8.32249
4jfs 6.19747
4j28 6.58925
2wvt 5.24077
2xii 7.62629
4pcs 6.02342
3rr4 6.37474
1s38 5.69732
1r5y 5.62748
3gc5 7.85559
3ge7 7.56343
4dli 6.54066
2zb1 6.93032
4f9w 6.37418
3e92 7.29438
3e93 7.87674
4owm 2.72097
3twp 2.94708
3r88 2.00628
4gkm 3.78299
3qqs 3.58438
3gv9 2.44218
3gr2 2.19334
4kz6 4.46483
4jxs 3.74416
2r9w 4.11020
2hb1 3.99504
1bzc 6.06647
2qbr 6.61011
2qbq 6.37732
2qbp 7.19054
1q8t 5.95511
1ydr 6.27549
1q8u 6.21734
1ydt 7.46448
3ag9 5.16130
3fcq 2.07476
1z9g 5.38969
1qf1 7.95177
5tmn 5.46598
4tmn 5.57101
4ddk 2.13888
4ddh 3.57176
3ivg 5.37461
3coz 6.14739
3coy 6.53733
3pxf 5.28553
4eor 7.53048
2xnb 8.35371
1pxn 7.43186
2fvd 8.58201
4k77 5.76208
4e5w 7.78962
4ivb 9.22771
4ivd 9.11954
4ivc 9.46055
4f09 7.60615
4gfm 4.92899
4hge 6.69067
4e6q 7.18823
4jia 6.40346
2brb 7.00531
2br1 7.52344
3jvr 4.30664
3jvs 4.33212
1nvq 7.63255
3acw 5.31046
4ea2 6.87477
2zcr 5.72400
2zy1 5.73840
2zcq 4.34575
1bcu 2.95113
3bv9 6.72864
1oyt 6.59380
2zda 6.85986
3utu 8.72124
3u9q 5.41345
2yfe 5.79331
3fur 7.87131
3b1m 7.40171
2p4y 7.13863
3uo4 7.26580
3up2 7.41157
3e5a 8.67738
2wtv 7.72161
3myg 6.07369
3kgp 3.79498
1c5z 4.22095
1o5b 4.32834
1owh 6.38634
1sqa 6.92905
4jsz 2.27825
3kwa 3.32930
2weg 5.23603
3ryj 7.10279
3dd0 7.40236
2xdl 5.48058
3b27 5.51597
1yc1 6.88606
3rlr 8.28321
2yki 8.94135
1z95 7.82072
3b68 7.58400
3b5r 8.16682
3b65 8.02654
3g0w 8.29877
4u4s 3.81099
1p1q 6.28642
1syi 6.53498
1p1n 6.71364
2al5 6.73674
3g2z 2.54644
3g31 4.47297
4de2 5.59581
4de3 4.55538
4de1 5.14290
1vso 4.78111
4dld 5.38314
3gbb 6.77516
3fv2 6.94573
3fv1 7.12236
4mgd 7.70519
2qe4 7.17198
1qkt 7.63939
2pog 7.91771
2p15 8.86530
2y5h 6.54749
1lpg 8.35453
2xbv 7.56708
1z6e 9.26071
1mq6 9.22690
1nc3 6.46380
1nc1 6.41397
1y6r 9.77472
4f2w 10.01411
4f3c 10.63258
1uto 3.31085
4abg 5.04047
3gy4 4.22943
1k1i 6.84335
1o3f 5.45750
2yge 6.62830
2fxs 6.10211
2iwx 6.82167
2wer 6.26589
2vw5 6.83185
4kzq 5.21457
4kzu 5.41983
4j21 5.73769
4j3l 6.27449
3kr8 7.10728
2ymd 6.04040
2wnc 6.31753
2xys 7.96423
2wn9 5.76509
2x00 9.89459
3ozt 6.29306
3ozs 6.24018
3oe5 6.37013
3oe4 5.88121
3nw9 8.37461
3ao4 3.35169
3zt2 4.27620
3zsx 2.68805
4cig 3.25921
3zso 3.59954
3n7a 4.39740
4ciw 4.88769
3n86 6.96644
3n76 6.80715
2xb8 6.27839
4bkt 4.59083
4w9c 6.66208
4w9l 6.78048
4w9i 6.30394
4w9h 6.51490
3nq9 4.48762
3ueu 5.31030
3uev 5.74556
3uew 6.19361
3uex 6.47707
3lka 3.19366
3ehy 4.04855
3tsk 7.21165
3nx7 4.85700
4gr0 7.73341
3dxg 2.35332
3d6q 2.53160
1w4o 3.80328
1o0h 3.32031
1u1b 4.15056
