#code  score
4llx 0.85219
5c28 0.74188
3uuo 0.65531
3ui7 0.73870
5c2h 0.88294
2v00 0.59859
3wz8 0.24750
3pww 0.72498
3prs 0.77865
3uri 0.97350
4m0z 0.70090
4m0y 0.50764
3qgy 0.56356
4qd6 0.29871
4rfm 0.83687
4cr9 0.88348
4cra 0.67164
4x6p 0.94180
4crc 0.93518
4ty7 0.43593
5aba 0.64761
5a7b 0.60535
4agn 0.89071
4agp 0.80519
4agq 0.65712
3bgz 0.79703
3jya 0.90536
2c3i 0.81613
4k18 0.62304
5dwr 0.94947
3mss 0.66324
3k5v 0.98172
3pyy 0.97333
2v7a 0.85987
4twp 0.91387
3wtj 0.99821
3zdg 0.98482
3u8k 0.99629
4qac 0.99594
3u8n 0.99894
1a30 0.46701
2qnq 0.98359
1g2k 0.99280
1eby 0.98907
3o9i 0.99389
4lzs 0.48666
3u5j 0.45337
4wiv 0.42515
4ogj 0.73919
3p5o 0.77678
1ps3 0.98525
3dx1 0.98575
3d4z 0.93188
3dx2 0.99340
3ejr 0.95869
3l7b 0.92965
4eky 0.96054
3g2n 0.95198
3syr 0.99125
3ebp 0.26542
2w66 0.92525
2w4x 0.97830
2wca 0.91047
2xj7 0.93992
2vvn 0.97988
3aru 0.43909
3arv 0.42077
3ary 0.08090
3arq 0.13725
3arp 0.49761
4ih5 0.46784
4ih7 0.74997
3cj4 0.96671
4eo8 0.95881
3gnw 0.63048
1gpk 0.87302
1gpn 0.56594
1h23 0.99281
1h22 0.99127
1e66 0.92359
3f3a 0.93767
3f3c 0.99639
4mme 0.93853
3f3d 0.99737
3f3e 0.99549
2wbg 0.99641
2cbv 0.99801
2j78 0.95230
2j7h 0.98877
2cet 0.99719
3udh 0.81745
3rsx 0.60314
4djv 0.91431
2vkm 0.90350
4gid 0.99451
4jfs 0.98263
4j28 0.98690
2wvt 0.98248
2xii 0.99236
4pcs 0.99128
3rr4 0.92597
1s38 0.99649
1r5y 0.99196
3gc5 0.99805
3ge7 0.97744
4dli 0.86430
2zb1 0.85722
4f9w 0.83835
3e92 0.90310
3e93 0.90375
4owm 0.66499
3twp 0.59606
3r88 0.90297
4gkm 0.91108
3qqs 0.90811
3gv9 0.37056
3gr2 0.50379
4kz6 0.64345
4jxs 0.28989
2r9w 0.58686
2hb1 0.98494
1bzc 0.96179
2qbr 0.98288
2qbq 0.97331
2qbp 0.96920
1q8t 0.89526
1ydr 0.94625
1q8u 0.94796
1ydt 0.97991
3ag9 0.91583
3fcq 0.21260
1z9g 0.78854
1qf1 0.97005
5tmn 0.88112
4tmn 0.84566
4ddk 0.94593
4ddh 0.85473
3ivg 0.75864
3coz 0.96333
3coy 0.98246
3pxf 0.81737
4eor 0.96044
2xnb 0.98315
1pxn 0.97022
2fvd 0.67809
4k77 0.81224
4e5w 0.97523
4ivb 0.96798
4ivd 0.93273
4ivc 0.96832
4f09 0.92914
4gfm 0.17254
4hge 0.85758
4e6q 0.89951
4jia 0.15021
2brb 0.69315
2br1 0.75643
3jvr 0.77305
3jvs 0.40900
1nvq 0.76524
3acw 0.62272
4ea2 0.83733
2zcr 0.08703
2zy1 0.72537
2zcq 0.03922
1bcu 0.37013
3bv9 0.63067
1oyt 0.91795
2zda 0.99360
3utu 0.98451
3u9q 0.87922
2yfe 0.91017
3fur 0.79498
3b1m 0.80189
2p4y 0.98098
3uo4 0.96748
3up2 0.97686
3e5a 0.92240
2wtv 0.92684
3myg 0.84726
3kgp 0.96850
1c5z 0.96767
1o5b 0.98655
1owh 0.88995
1sqa 0.95319
4jsz 0.21824
3kwa 0.10871
2weg 0.95707
3ryj 0.82686
3dd0 0.97226
2xdl 0.81416
3b27 0.93825
1yc1 0.89208
3rlr 0.96390
2yki 0.93744
1z95 0.95589
3b68 0.99080
3b5r 0.98494
3b65 0.99814
3g0w 0.99737
4u4s 0.89980
1p1q 0.99158
1syi 0.99900
1p1n 0.98255
2al5 0.99793
3g2z 0.48765
3g31 0.74337
4de2 0.58734
4de3 0.52367
4de1 0.48470
1vso 0.73229
4dld 0.88359
3gbb 0.98679
3fv2 0.98062
3fv1 0.98725
4mgd 0.87503
2qe4 0.91988
1qkt 0.88603
2pog 0.94570
2p15 0.97631
2y5h 0.95900
1lpg 0.97851
2xbv 0.98623
1z6e 0.91983
1mq6 0.99181
1nc3 0.99908
1nc1 0.99953
1y6r 0.99872
4f2w 0.99797
4f3c 0.99971
1uto 0.48188
4abg 0.91751
3gy4 0.93451
1k1i 0.91928
1o3f 0.92610
2yge 0.63221
2fxs 0.55505
2iwx 0.74477
2wer 0.66177
2vw5 0.54565
4kzq 0.82046
4kzu 0.79942
4j21 0.88177
4j3l 0.79242
3kr8 0.96129
2ymd 0.97725
2wnc 0.96069
2xys 0.97989
2wn9 0.39968
2x00 0.98580
3ozt 0.98593
3ozs 0.96258
3oe5 0.98016
3oe4 0.98531
3nw9 0.99472
3ao4 0.76812
3zt2 0.67472
3zsx 0.35592
4cig 0.50175
3zso 0.55116
3n7a 0.97561
4ciw 0.95196
3n86 0.98764
3n76 0.98628
2xb8 0.94517
4bkt 0.96297
4w9c 0.98175
4w9l 0.96774
4w9i 0.98822
4w9h 0.98351
3nq9 0.74112
3ueu 0.79181
3uev 0.88251
3uew 0.76671
3uex 0.85806
3lka 0.29145
3ehy 0.50662
3tsk 0.87520
3nx7 0.66493
4gr0 0.94033
3dxg 0.42855
3d6q 0.37783
1w4o 0.64347
1o0h 0.33877
1u1b 0.60867
