#code  score
4llx 3.93677
5c28 5.06899
3uuo 7.56505
3ui7 7.55729
5c2h 8.50146
2v00 5.77958
3wz8 7.23807
3pww 8.34736
3prs 8.84592
3uri 8.28980
4m0z 7.51808
4m0y 6.27419
3qgy 7.75748
4qd6 7.12040
4rfm 7.79668
4cr9 4.84845
4cra 7.64935
4x6p 8.45951
4crc 8.31195
4ty7 7.95632
5aba 5.04141
5a7b 5.47996
4agn 5.37941
4agp 5.54808
4agq 5.85182
3bgz 7.25971
3jya 6.57680
2c3i 7.43700
4k18 8.34317
5dwr 8.97933
3mss 4.45985
3k5v 6.27731
3pyy 6.36193
2v7a 7.70517
4twp 7.96112
3wtj 7.44157
3zdg 7.02571
3u8k 8.18560
4qac 7.98028
3u8n 8.81017
1a30 7.04413
2qnq 8.61755
1g2k 9.01675
1eby 9.17781
3o9i 9.65467
4lzs 4.69079
3u5j 6.06253
4wiv 6.50769
4ogj 6.81973
3p5o 7.09418
1ps3 5.82272
3dx1 5.21284
3d4z 5.60921
3dx2 6.09251
3ejr 7.00302
3l7b 4.90150
4eky 6.56983
3g2n 5.29299
3syr 6.24307
3ebp 5.67861
2w66 6.22911
2w4x 4.91637
2wca 5.81568
2xj7 6.83893
2vvn 6.66864
3aru 4.11979
3arv 4.77467
3ary 3.71839
3arq 4.95997
3arp 5.91225
4ih5 4.76158
4ih7 5.81332
3cj4 5.91480
4eo8 6.75984
3gnw 7.87674
1gpk 7.53516
1gpn 7.85553
1h23 8.18043
1h22 8.35152
1e66 8.23698
3f3a 5.81029
3f3c 5.91128
4mme 6.90075
3f3d 5.75278
3f3e 5.68549
2wbg 6.85789
2cbv 6.14796
2j78 6.18137
2j7h 5.52966
2cet 7.86778
3udh 5.09317
3rsx 5.13865
4djv 6.89420
2vkm 7.96082
4gid 8.44550
4jfs 5.61811
4j28 5.94836
2wvt 5.52132
2xii 6.76528
4pcs 5.63547
3rr4 6.50109
1s38 5.39977
1r5y 5.38931
3gc5 7.30844
3ge7 7.67530
4dli 6.30144
2zb1 7.42435
4f9w 7.61945
3e92 7.59347
3e93 7.94669
4owm 3.33193
3twp 3.09351
3r88 3.61145
4gkm 4.94545
3qqs 4.56321
3gv9 3.70305
3gr2 3.07795
4kz6 4.24729
4jxs 5.17996
2r9w 5.29584
2hb1 3.95790
1bzc 5.75139
2qbr 5.67827
2qbq 6.17497
2qbp 6.31637
1q8t 7.08800
1ydr 7.13782
1q8u 7.37245
1ydt 7.73732
3ag9 6.96878
3fcq 4.73026
1z9g 6.12189
1qf1 7.86986
5tmn 7.37270
4tmn 7.58876
4ddk 3.61907
4ddh 4.16847
3ivg 6.42969
3coz 6.39885
3coy 6.65713
3pxf 5.06961
4eor 7.53527
2xnb 7.98844
1pxn 7.58243
2fvd 7.41614
4k77 7.13273
4e5w 8.09602
4ivb 7.96436
4ivd 8.18468
4ivc 8.10645
4f09 7.74227
4gfm 6.77836
4hge 8.19965
4e6q 8.18872
4jia 7.94608
2brb 6.97891
2br1 7.50860
3jvr 5.04364
3jvs 5.34372
1nvq 7.94265
3acw 6.77721
4ea2 7.50103
2zcr 6.62299
2zy1 6.72786
2zcq 6.67909
1bcu 5.30084
3bv9 8.13406
1oyt 7.70230
2zda 7.70190
3utu 8.65973
3u9q 5.19001
2yfe 6.45892
3fur 8.16653
3b1m 7.26164
2p4y 8.07125
3uo4 7.40841
3up2 7.50446
3e5a 8.12097
2wtv 8.60824
3myg 7.65134
3kgp 4.24504
1c5z 4.06186
1o5b 5.42834
1owh 6.29976
1sqa 7.21969
4jsz 2.52813
3kwa 3.75918
2weg 6.64881
3ryj 7.34572
3dd0 7.33151
2xdl 5.62886
3b27 5.53213
1yc1 6.82977
3rlr 7.36119
2yki 8.41209
1z95 7.94032
3b68 7.90486
3b5r 8.01699
3b65 7.91486
3g0w 8.33072
4u4s 4.59004
1p1q 6.67058
1syi 6.80162
1p1n 6.56689
2al5 6.69950
3g2z 3.27848
3g31 3.59493
4de2 4.49535
4de3 4.85413
4de1 4.77203
1vso 6.16358
4dld 6.93689
3gbb 6.64745
3fv2 6.73004
3fv1 7.08123
4mgd 8.21244
2qe4 8.24153
1qkt 8.19236
2pog 8.43216
2p15 9.45655
2y5h 8.47598
1lpg 7.99814
2xbv 8.34880
1z6e 8.63039
1mq6 8.56353
1nc3 7.16379
1nc1 7.66685
1y6r 8.40553
4f2w 8.56972
4f3c 9.18124
1uto 3.94343
4abg 4.41752
3gy4 4.30270
1k1i 7.55681
1o3f 6.61990
2yge 7.73343
2fxs 6.10877
2iwx 6.38049
2wer 6.39763
2vw5 7.49065
4kzq 6.30809
4kzu 6.59251
4j21 7.20368
4j3l 7.65214
3kr8 7.13717
2ymd 6.11553
2wnc 7.43665
2xys 8.06948
2wn9 7.18070
2x00 8.79923
3ozt 6.80132
3ozs 6.90742
3oe5 6.99699
3oe4 6.81130
3nw9 7.17460
3ao4 4.55239
3zt2 4.91104
3zsx 5.11739
4cig 5.45860
3zso 6.11048
3n7a 4.49183
4ciw 5.20549
3n86 6.33203
3n76 6.55832
2xb8 6.65966
4bkt 4.51077
4w9c 5.96585
4w9l 6.89943
4w9i 6.27908
4w9h 6.50354
3nq9 4.22838
3ueu 5.45742
3uev 5.78761
3uew 6.04270
3uex 6.28774
3lka 4.21484
3ehy 6.05902
3tsk 7.68733
3nx7 6.90390
4gr0 8.22817
3dxg 3.95439
3d6q 3.90712
1w4o 4.43221
1o0h 4.82986
1u1b 6.03075
