#code  score
4llx 0.93889
5c28 0.89615
3uuo 0.98200
3ui7 0.98049
5c2h 0.99663
2v00 0.97334
3wz8 0.97285
3pww 0.83358
3prs 0.98896
3uri 0.92036
4m0z 0.97866
4m0y 0.99087
3qgy 0.97830
4qd6 0.96667
4rfm 0.98518
4cr9 0.99114
4cra 0.99340
4x6p 0.98561
4crc 0.98962
4ty7 0.96276
5aba 0.93268
5a7b 0.94841
4agn 0.94805
4agp 0.96572
4agq 0.96243
3bgz 0.95734
3jya 0.96381
2c3i 0.96676
4k18 0.98457
5dwr 0.99385
3mss 0.71540
3k5v 0.94791
3pyy 0.97219
2v7a 0.99749
4twp 0.97820
3wtj 0.94661
3zdg 0.98608
3u8k 0.99330
4qac 0.94148
3u8n 0.99750
1a30 0.77062
2qnq 0.97746
1g2k 0.99718
1eby 0.99759
3o9i 0.99637
4lzs 0.95169
3u5j 0.96951
4wiv 0.92975
4ogj 0.93765
3p5o 0.99337
1ps3 0.97640
3dx1 0.99434
3d4z 0.97416
3dx2 0.99847
3ejr 0.98513
3l7b 0.73764
4eky 0.98081
3g2n 0.97894
3syr 0.98742
3ebp 0.50882
2w66 0.99371
2w4x 0.99352
2wca 0.94583
2xj7 0.99847
2vvn 0.99576
3aru 0.64378
3arv 0.83835
3ary 0.75257
3arq 0.66813
3arp 0.56465
4ih5 0.63601
4ih7 0.99085
3cj4 0.98698
4eo8 0.99621
3gnw 0.99579
1gpk 0.96925
1gpn 0.95780
1h23 0.99052
1h22 0.99495
1e66 0.99058
3f3a 0.91592
3f3c 0.97128
4mme 0.98711
3f3d 0.97445
3f3e 0.98531
2wbg 0.99804
2cbv 0.99142
2j78 0.99821
2j7h 0.99439
2cet 0.99801
3udh 0.98829
3rsx 0.98741
4djv 0.99931
2vkm 0.99664
4gid 0.99855
4jfs 0.98955
4j28 0.98935
2wvt 0.99485
2xii 0.99685
4pcs 0.99488
3rr4 0.98339
1s38 0.99223
1r5y 0.99033
3gc5 0.99760
3ge7 0.99648
4dli 0.69117
2zb1 0.99032
4f9w 0.99770
3e92 0.99376
3e93 0.99601
4owm 0.90120
3twp 0.89355
3r88 0.90313
4gkm 0.98884
3qqs 0.98351
3gv9 0.91049
3gr2 0.56150
4kz6 0.89765
4jxs 0.95154
2r9w 0.96626
2hb1 0.96307
1bzc 0.97719
2qbr 0.96744
2qbq 0.95771
2qbp 0.97458
1q8t 0.97360
1ydr 0.99559
1q8u 0.99628
1ydt 0.99619
3ag9 0.68902
3fcq 0.88723
1z9g 0.96095
1qf1 0.99237
5tmn 0.96197
4tmn 0.96121
4ddk 0.97202
4ddh 0.91734
3ivg 0.98720
3coz 0.99296
3coy 0.99609
3pxf 0.57388
4eor 0.99755
2xnb 0.99859
1pxn 0.99748
2fvd 0.99666
4k77 0.99392
4e5w 0.99508
4ivb 0.99834
4ivd 0.99674
4ivc 0.99836
4f09 0.99826
4gfm 0.98265
4hge 0.98794
4e6q 0.99722
4jia 0.98614
2brb 0.97390
2br1 0.97488
3jvr 0.99061
3jvs 0.83564
1nvq 0.99874
3acw 0.98530
4ea2 0.91863
2zcr 0.85762
2zy1 0.97257
2zcq 0.82537
1bcu 0.92760
3bv9 0.65874
1oyt 0.98588
2zda 0.99824
3utu 0.99680
3u9q 0.91674
2yfe 0.95836
3fur 0.98330
3b1m 0.94972
2p4y 0.99465
3uo4 0.99554
3up2 0.99728
3e5a 0.99062
2wtv 0.99728
3myg 0.99444
3kgp 0.99467
1c5z 0.99402
1o5b 0.98642
1owh 0.97959
1sqa 0.98299
4jsz 0.67060
3kwa 0.13437
2weg 0.99317
3ryj 0.99498
3dd0 0.99171
2xdl 0.96288
3b27 0.98608
1yc1 0.99260
3rlr 0.98690
2yki 0.99484
1z95 0.97756
3b68 0.99186
3b5r 0.98949
3b65 0.99694
3g0w 0.99365
4u4s 0.92640
1p1q 0.98112
1syi 0.99765
1p1n 0.99326
2al5 0.99447
3g2z 0.40881
3g31 0.93818
4de2 0.71008
4de3 0.91886
4de1 0.78824
1vso 0.99606
4dld 0.99086
3gbb 0.99770
3fv2 0.98933
3fv1 0.99478
4mgd 0.99232
2qe4 0.98884
1qkt 0.99129
2pog 0.98454
2p15 0.99733
2y5h 0.99657
1lpg 0.99601
2xbv 0.99750
1z6e 0.99913
1mq6 0.99910
1nc3 0.98888
1nc1 0.99325
1y6r 0.99713
4f2w 0.99679
4f3c 0.99781
1uto 0.97366
4abg 0.98569
3gy4 0.98741
1k1i 0.97228
1o3f 0.97827
2yge 0.98178
2fxs 0.94150
2iwx 0.95853
2wer 0.98121
2vw5 0.96943
4kzq 0.98574
4kzu 0.99155
4j21 0.99340
4j3l 0.98288
3kr8 0.99506
2ymd 0.95949
2wnc 0.97890
2xys 0.99653
2wn9 0.96453
2x00 0.99066
3ozt 0.99760
3ozs 0.99599
3oe5 0.99731
3oe4 0.99515
3nw9 0.99364
3ao4 0.97610
3zt2 0.97697
3zsx 0.90149
4cig 0.96264
3zso 0.89157
3n7a 0.99051
4ciw 0.97309
3n86 0.99020
3n76 0.99242
2xb8 0.99218
4bkt 0.99520
4w9c 0.98691
4w9l 0.99563
4w9i 0.99695
4w9h 0.99522
3nq9 0.70855
3ueu 0.97615
3uev 0.97827
3uew 0.93309
3uex 0.96828
3lka 0.93357
3ehy 0.97146
3tsk 0.96972
3nx7 0.99344
4gr0 0.96366
3dxg 0.91132
3d6q 0.93618
1w4o 0.98166
1o0h 0.94511
1u1b 0.98567
