#code  score
4llx 3.99809
5c28 4.57582
3uuo 7.11949
3ui7 7.49045
5c2h 7.79756
2v00 4.40172
3wz8 5.98379
3pww 7.24989
3prs 8.47748
3uri 7.05154
4m0z 6.70189
4m0y 6.22444
3qgy 7.96842
4qd6 6.79616
4rfm 7.37908
4cr9 4.78922
4cra 7.81643
4x6p 8.55502
4crc 8.40057
4ty7 7.88726
5aba 5.22697
5a7b 5.21922
4agn 5.32877
4agp 5.62975
4agq 5.74090
3bgz 6.83621
3jya 6.44231
2c3i 7.32113
4k18 8.06883
5dwr 8.76722
3mss 4.28231
3k5v 6.08857
3pyy 5.95121
2v7a 8.31174
4twp 7.92454
3wtj 6.94213
3zdg 6.71500
3u8k 7.92400
4qac 7.83810
3u8n 8.73490
1a30 6.92568
2qnq 8.25639
1g2k 9.15346
1eby 8.75065
3o9i 10.12297
4lzs 4.72142
3u5j 5.94942
4wiv 6.19524
4ogj 6.69836
3p5o 7.12047
1ps3 5.38692
3dx1 5.27688
3d4z 5.58621
3dx2 5.94836
3ejr 7.77222
3l7b 3.71660
4eky 5.56633
3g2n 5.07458
3syr 4.94027
3ebp 5.71252
2w66 6.08007
2w4x 4.30406
2wca 5.79309
2xj7 6.56673
2vvn 6.34339
3aru 4.59076
3arv 5.05642
3ary 4.24257
3arq 5.76517
3arp 5.73595
4ih5 4.66803
4ih7 5.13408
3cj4 6.09076
4eo8 6.85702
3gnw 8.12240
1gpk 6.61175
1gpn 7.06789
1h23 8.48149
1h22 8.41062
1e66 7.85113
3f3a 4.92036
3f3c 4.83313
4mme 6.00101
3f3d 5.08472
3f3e 4.93215
2wbg 6.87243
2cbv 5.91760
2j78 6.17826
2j7h 5.63773
2cet 8.37143
3udh 4.74685
3rsx 4.72256
4djv 7.02420
2vkm 8.15490
4gid 8.51889
4jfs 6.33352
4j28 6.78208
2wvt 5.93606
2xii 7.97648
4pcs 6.63202
3rr4 5.73572
1s38 5.74768
1r5y 5.86899
3gc5 7.80133
3ge7 8.66426
4dli 6.22221
2zb1 6.63786
4f9w 7.53392
3e92 7.14893
3e93 7.50470
4owm 3.13164
3twp 2.95152
3r88 3.14906
4gkm 4.89542
3qqs 4.65617
3gv9 3.83920
3gr2 4.14961
4kz6 5.33513
4jxs 5.80600
2r9w 6.06870
2hb1 3.68753
1bzc 5.38211
2qbr 6.01717
2qbq 6.35375
2qbp 6.77693
1q8t 5.95405
1ydr 6.85568
1q8u 7.25162
1ydt 7.94170
3ag9 6.42872
3fcq 3.96146
1z9g 4.99354
1qf1 7.35448
5tmn 6.99207
4tmn 7.47020
4ddk 3.12871
4ddh 4.08955
3ivg 6.27561
3coz 6.54567
3coy 6.91893
3pxf 5.57859
4eor 7.46968
2xnb 7.69522
1pxn 7.08667
2fvd 7.73250
4k77 6.35459
4e5w 8.02422
4ivb 8.38091
4ivd 8.24730
4ivc 8.52717
4f09 7.27706
4gfm 6.31040
4hge 7.17406
4e6q 7.70007
4jia 6.74535
2brb 6.79985
2br1 7.30497
3jvr 5.91286
3jvs 5.63087
1nvq 7.75907
3acw 6.87226
4ea2 7.17682
2zcr 6.32779
2zy1 6.56361
2zcq 6.09487
1bcu 4.67970
3bv9 7.45138
1oyt 7.11062
2zda 7.77623
3utu 9.38848
3u9q 5.59856
2yfe 6.37886
3fur 7.61646
3b1m 7.12400
2p4y 8.03276
3uo4 7.26464
3up2 7.40372
3e5a 8.25280
2wtv 8.24401
3myg 7.47012
3kgp 4.56595
1c5z 4.43692
1o5b 5.72031
1owh 5.72738
1sqa 7.29594
4jsz 3.50045
3kwa 4.28691
2weg 5.90418
3ryj 6.94112
3dd0 7.21887
2xdl 4.62610
3b27 5.57538
1yc1 6.77269
3rlr 7.08002
2yki 8.72990
1z95 7.08599
3b68 7.42067
3b5r 8.00537
3b65 7.79229
3g0w 7.97114
4u4s 4.92035
1p1q 6.38104
1syi 7.24328
1p1n 6.37778
2al5 6.90245
3g2z 4.14218
3g31 4.13653
4de2 5.74839
4de3 6.17598
4de1 5.81896
1vso 5.62545
4dld 6.71505
3gbb 7.27492
3fv2 6.79205
3fv1 7.57510
4mgd 7.18714
2qe4 6.93656
1qkt 7.03401
2pog 7.35292
2p15 8.72795
2y5h 7.58092
1lpg 8.02481
2xbv 8.64522
1z6e 9.30551
1mq6 8.79453
1nc3 6.84544
1nc1 6.97001
1y6r 9.18939
4f2w 9.19720
4f3c 9.67633
1uto 3.45812
4abg 4.18310
3gy4 4.31740
1k1i 7.88901
1o3f 6.65865
2yge 6.95129
2fxs 5.54867
2iwx 6.33334
2wer 6.10845
2vw5 6.86486
4kzq 6.49402
4kzu 6.41661
4j21 6.96992
4j3l 7.15980
3kr8 6.71404
2ymd 6.01209
2wnc 6.62099
2xys 8.29702
2wn9 6.38518
2x00 8.66303
3ozt 6.56833
3ozs 6.54478
3oe5 6.88526
3oe4 6.85007
3nw9 7.39335
3ao4 4.34279
3zt2 4.80958
3zsx 4.66435
4cig 5.40101
3zso 5.93752
3n7a 4.60740
4ciw 5.18000
3n86 6.80494
3n76 6.53103
2xb8 6.07320
4bkt 5.20703
4w9c 6.70148
4w9l 7.13630
4w9i 7.07885
4w9h 7.15988
3nq9 4.70456
3ueu 6.00996
3uev 6.49315
3uew 6.40515
3uex 6.48648
3lka 4.19692
3ehy 5.39776
3tsk 6.99908
3nx7 5.60102
4gr0 7.70275
3dxg 4.12281
3d6q 4.12549
1w4o 4.62117
1o0h 5.14962
1u1b 6.70681
