#code  score
4llx 0.90119
5c28 0.76992
3uuo 0.91477
3ui7 0.97726
5c2h 0.97758
2v00 0.61641
3wz8 0.91494
3pww 0.17230
3prs 0.98292
3uri 0.90609
4m0z 0.86439
4m0y 0.92256
3qgy 0.90044
4qd6 0.62176
4rfm 0.62394
4cr9 0.97389
4cra 0.98551
4x6p 0.99035
4crc 0.98915
4ty7 0.96997
5aba 0.89594
5a7b 0.80254
4agn 0.91569
4agp 0.87879
4agq 0.91232
3bgz 0.91940
3jya 0.78796
2c3i 0.96936
4k18 0.99249
5dwr 0.99194
3mss 0.60114
3k5v 0.89222
3pyy 0.76881
2v7a 0.99644
4twp 0.92502
3wtj 0.99529
3zdg 0.96537
3u8k 0.98526
4qac 0.87570
3u8n 0.98747
1a30 0.76221
2qnq 0.98095
1g2k 0.99188
1eby 0.98213
3o9i 0.99671
4lzs 0.91318
3u5j 0.78679
4wiv 0.90743
4ogj 0.79467
3p5o 0.97528
1ps3 0.97500
3dx1 0.98633
3d4z 0.89240
3dx2 0.99743
3ejr 0.97559
3l7b 0.83718
4eky 0.97777
3g2n 0.99485
3syr 0.98807
3ebp 0.40759
2w66 0.96203
2w4x 0.97972
2wca 0.96448
2xj7 0.92437
2vvn 0.99293
3aru 0.85025
3arv 0.91083
3ary 0.55177
3arq 0.87010
3arp 0.12348
4ih5 0.46962
4ih7 0.95907
3cj4 0.95222
4eo8 0.97083
3gnw 0.99127
1gpk 0.76846
1gpn 0.75802
1h23 0.97971
1h22 0.99264
1e66 0.91104
3f3a 0.84958
3f3c 0.90741
4mme 0.98007
3f3d 0.95906
3f3e 0.92704
2wbg 0.99323
2cbv 0.95154
2j78 0.99203
2j7h 0.98349
2cet 0.99070
3udh 0.99507
3rsx 0.90523
4djv 0.99944
2vkm 0.97583
4gid 0.99306
4jfs 0.92260
4j28 0.95472
2wvt 0.95164
2xii 0.97709
4pcs 0.96096
3rr4 0.84993
1s38 0.98957
1r5y 0.98681
3gc5 0.99721
3ge7 0.98081
4dli 0.58655
2zb1 0.81659
4f9w 0.98671
3e92 0.93394
3e93 0.87406
4owm 0.85087
3twp 0.81644
3r88 0.92474
4gkm 0.98890
3qqs 0.98244
3gv9 0.82292
3gr2 0.31302
4kz6 0.96705
4jxs 0.96314
2r9w 0.86037
2hb1 0.84067
1bzc 0.95221
2qbr 0.96432
2qbq 0.91978
2qbp 0.90849
1q8t 0.68748
1ydr 0.98217
1q8u 0.98744
1ydt 0.99394
3ag9 0.95585
3fcq 0.78889
1z9g 0.88127
1qf1 0.99343
5tmn 0.97916
4tmn 0.97867
4ddk 0.88409
4ddh 0.98368
3ivg 0.97623
3coz 0.96512
3coy 0.98274
3pxf 0.47765
4eor 0.99511
2xnb 0.99817
1pxn 0.99405
2fvd 0.99697
4k77 0.93461
4e5w 0.92300
4ivb 0.99498
4ivd 0.98776
4ivc 0.99529
4f09 0.99417
4gfm 0.92640
4hge 0.97367
4e6q 0.99480
4jia 0.61323
2brb 0.93963
2br1 0.93411
3jvr 0.97870
3jvs 0.87948
1nvq 0.97509
3acw 0.68918
4ea2 0.65543
2zcr 0.61061
2zy1 0.92161
2zcq 0.52274
1bcu 0.81701
3bv9 0.29974
1oyt 0.93814
2zda 0.99884
3utu 0.99952
3u9q 0.94488
2yfe 0.93168
3fur 0.75569
3b1m 0.88660
2p4y 0.97512
3uo4 0.98938
3up2 0.99158
3e5a 0.98823
2wtv 0.99388
3myg 0.98920
3kgp 0.99521
1c5z 0.99261
1o5b 0.99024
1owh 0.90866
1sqa 0.93824
4jsz 0.38152
3kwa 0.02496
2weg 0.95442
3ryj 0.96037
3dd0 0.99192
2xdl 0.88876
3b27 0.96468
1yc1 0.98267
3rlr 0.97926
2yki 0.98714
1z95 0.54250
3b68 0.86977
3b5r 0.89810
3b65 0.94741
3g0w 0.90542
4u4s 0.89166
1p1q 0.96986
1syi 0.99776
1p1n 0.98026
2al5 0.99388
3g2z 0.59229
3g31 0.70404
4de2 0.94361
4de3 0.98871
4de1 0.91953
1vso 0.99197
4dld 0.97771
3gbb 0.98985
3fv2 0.91970
3fv1 0.94455
4mgd 0.94036
2qe4 0.73863
1qkt 0.85133
2pog 0.86022
2p15 0.93298
2y5h 0.97468
1lpg 0.99542
2xbv 0.99400
1z6e 0.99793
1mq6 0.99756
1nc3 0.89050
1nc1 0.71061
1y6r 0.93717
4f2w 0.92457
4f3c 0.92041
1uto 0.95776
4abg 0.96364
3gy4 0.98199
1k1i 0.99193
1o3f 0.96619
2yge 0.67580
2fxs 0.80434
2iwx 0.96675
2wer 0.91772
2vw5 0.81457
4kzq 0.94592
4kzu 0.93189
4j21 0.89053
4j3l 0.84352
3kr8 0.86687
2ymd 0.80072
2wnc 0.89159
2xys 0.94645
2wn9 0.90337
2x00 0.97474
3ozt 0.97380
3ozs 0.92990
3oe5 0.98451
3oe4 0.97962
3nw9 0.97427
3ao4 0.94035
3zt2 0.96889
3zsx 0.80210
4cig 0.88422
3zso 0.82316
3n7a 0.93141
4ciw 0.73904
3n86 0.92353
3n76 0.85869
2xb8 0.88495
4bkt 0.95516
4w9c 0.95508
4w9l 0.94235
4w9i 0.99117
4w9h 0.98110
3nq9 0.79241
3ueu 0.73765
3uev 0.88364
3uew 0.73418
3uex 0.85787
3lka 0.63810
3ehy 0.94406
3tsk 0.77472
3nx7 0.98779
4gr0 0.97452
3dxg 0.94061
3d6q 0.68967
1w4o 0.98817
1o0h 0.99624
1u1b 0.99656
