#code  score
4llx 4.84970
5c28 5.13199
3uuo 6.52721
3ui7 6.67412
5c2h 7.73032
2v00 5.38164
3wz8 7.02633
3pww 8.28414
3prs 8.70761
3uri 9.04902
4m0z 6.89911
4m0y 5.98376
3qgy 7.10544
4qd6 6.60596
4rfm 7.38151
4cr9 5.13582
4cra 7.18396
4x6p 8.10765
4crc 7.62671
4ty7 7.42467
5aba 5.28946
5a7b 6.21322
4agn 5.78130
4agp 6.35661
4agq 6.52223
3bgz 6.67933
3jya 6.39816
2c3i 6.80558
4k18 7.40676
5dwr 8.39629
3mss 4.82265
3k5v 6.38729
3pyy 6.24831
2v7a 7.75474
4twp 7.27248
3wtj 6.52257
3zdg 6.02089
3u8k 6.63548
4qac 7.43110
3u8n 7.18288
1a30 5.39701
2qnq 8.83596
1g2k 8.82681
1eby 8.76684
3o9i 8.83033
4lzs 5.01064
3u5j 6.21473
4wiv 6.05669
4ogj 7.25873
3p5o 6.99929
1ps3 5.48277
3dx1 5.11833
3d4z 5.54161
3dx2 5.76361
3ejr 6.39535
3l7b 5.58838
4eky 6.50079
3g2n 5.99413
3syr 6.28104
3ebp 5.67624
2w66 5.69948
2w4x 5.21235
2wca 5.44350
2xj7 5.88803
2vvn 5.94633
3aru 5.10088
3arv 5.19609
3ary 4.73851
3arq 5.49835
3arp 6.38974
4ih5 5.30649
4ih7 5.74840
3cj4 5.92164
4eo8 6.60802
3gnw 8.38126
1gpk 6.17405
1gpn 6.20996
1h23 7.82944
1h22 7.64522
1e66 7.34703
3f3a 5.57000
3f3c 5.63268
4mme 6.52728
3f3d 5.61732
3f3e 5.45151
2wbg 6.46175
2cbv 4.86674
2j78 5.21931
2j7h 5.26057
2cet 6.75185
3udh 5.29832
3rsx 5.16699
4djv 6.99670
2vkm 8.34320
4gid 8.89771
4jfs 5.84904
4j28 5.81962
2wvt 5.33708
2xii 6.69767
4pcs 5.96963
3rr4 6.26809
1s38 6.10993
1r5y 6.00284
3gc5 7.59310
3ge7 8.03985
4dli 6.29854
2zb1 6.83444
4f9w 7.23398
3e92 7.17182
3e93 7.83364
4owm 4.02612
3twp 3.60934
3r88 4.43361
4gkm 5.69267
3qqs 5.57245
3gv9 4.04400
3gr2 4.08591
4kz6 4.54596
4jxs 5.22998
2r9w 5.30057
2hb1 4.89708
1bzc 5.19234
2qbr 6.33365
2qbq 6.56265
2qbp 6.70944
1q8t 6.06079
1ydr 6.51856
1q8u 6.62339
1ydt 7.62488
3ag9 7.00997
3fcq 4.46798
1z9g 5.40270
1qf1 7.00620
5tmn 6.62573
4tmn 6.93610
4ddk 4.46062
4ddh 5.22079
3ivg 6.85925
3coz 7.21810
3coy 7.49568
3pxf 5.34053
4eor 7.38654
2xnb 7.88809
1pxn 7.51587
2fvd 7.64249
4k77 6.23038
4e5w 7.63637
4ivb 7.50752
4ivd 7.64476
4ivc 7.78808
4f09 6.84312
4gfm 6.20786
4hge 7.37578
4e6q 7.42708
4jia 6.82625
2brb 6.30099
2br1 6.54605
3jvr 6.01922
3jvs 5.61272
1nvq 8.16527
3acw 6.39037
4ea2 6.94496
2zcr 6.29840
2zy1 6.35498
2zcq 6.31917
1bcu 5.11717
3bv9 8.00248
1oyt 6.85046
2zda 7.12879
3utu 8.50452
3u9q 5.28962
2yfe 6.08413
3fur 8.21683
3b1m 7.07159
2p4y 8.75214
3uo4 7.37580
3up2 7.21721
3e5a 8.10414
2wtv 8.26689
3myg 7.43475
3kgp 4.76452
1c5z 4.96555
1o5b 5.81834
1owh 5.67838
1sqa 6.78175
4jsz 3.27990
3kwa 4.61490
2weg 5.37120
3ryj 5.66425
3dd0 6.13626
2xdl 5.51346
3b27 6.04440
1yc1 6.67851
3rlr 7.07797
2yki 8.28003
1z95 7.45043
3b68 7.54633
3b5r 7.95041
3b65 7.72500
3g0w 7.58286
4u4s 5.33882
1p1q 5.35129
1syi 6.29984
1p1n 5.45213
2al5 6.17768
3g2z 4.28870
3g31 3.96504
4de2 5.75153
4de3 5.63898
4de1 5.69534
1vso 5.29478
4dld 5.91720
3gbb 6.02470
3fv2 5.90715
3fv1 6.45040
4mgd 7.14683
2qe4 6.82373
1qkt 6.53550
2pog 6.80590
2p15 8.62995
2y5h 7.12041
1lpg 7.32750
2xbv 7.72738
1z6e 8.21585
1mq6 8.03913
1nc3 6.90037
1nc1 6.71976
1y6r 7.60203
4f2w 7.85963
4f3c 8.21860
1uto 4.43109
4abg 5.29751
3gy4 4.89477
1k1i 6.96504
1o3f 6.10030
2yge 7.17419
2fxs 5.55708
2iwx 6.20590
2wer 5.90367
2vw5 7.50365
4kzq 5.76290
4kzu 6.00953
4j21 6.48535
4j3l 6.60914
3kr8 6.61963
2ymd 5.62997
2wnc 5.95464
2xys 6.81021
2wn9 5.92201
2x00 7.82350
3ozt 6.45500
3ozs 6.49110
3oe5 6.63237
3oe4 6.48602
3nw9 6.96593
3ao4 5.45152
3zt2 5.47766
3zsx 5.98338
4cig 6.45684
3zso 7.35264
3n7a 5.17272
4ciw 5.53343
3n86 6.82720
3n76 6.49016
2xb8 6.29320
4bkt 4.89038
4w9c 6.02850
4w9l 7.08039
4w9i 6.43095
4w9h 6.52544
3nq9 4.25193
3ueu 5.38491
3uev 5.76493
3uew 5.83568
3uex 6.13392
3lka 4.41825
3ehy 4.95193
3tsk 6.77027
3nx7 5.16669
4gr0 7.66383
3dxg 4.11106
3d6q 4.60515
1w4o 4.62318
1o0h 5.27462
1u1b 6.83264
